Camelina_sativa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_010412501.1	265	AT2G05070.1, AT2G05100.2	AT2G05070.1	orthologue	GO:0071215;GO:0009517;GO:0005739;GO:0016168;GO:0009535;GO:0009768;GO:0009769;GO:0009765;GO:0009507;GO:0042631;GO:0010114;GO:0009941;GO:0090333;GO:0009409;GO:0009269;GO:0009416;GO:1903428;GO:0009522;GO:0010218;GO:0009579;GO:0009645;GO:0009644;GO:0009523;GO:0010287;GO:0009534;GO:0003729;GO:0000325;GO:0046872;GO:0019904;GO:0016020	Chlorophyll a-b binding protein 2.1, chloroplastic (Photosystem II light harvesting complex gene 2.1) (Protein LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2.1);Chlorophyll a-b binding protein 2.2, chloroplastic (Photosystem II light harvesting complex gene 2.2) (Protein LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2.2);Chlorophyll a-b binding protein, chloroplastic
XP_010412502.1	361	AT1G43722.1	AT1G43722.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0004518;GO:0016787;GO:0046872	Nuclease
XP_010412505.1	919				GO:0003676	
XP_010412507.1	156	AT3G44170.1	AT3G44170.1	orthologue	GO:0005576;GO:0008150;GO:0003674	Plant self-incompatibility protein S1 family protein
XP_010412508.1	298	AT3G44240.1	AT3G44240.1	orthologue	GO:0000288;GO:0004535;GO:0030015;GO:0000932;GO:0005634;GO:0030014;GO:0003723;GO:0005737;GO:0046872;GO:0003676	Putative CCR4-associated factor 1 homolog 8 (EC 3.1.13.4)
XP_010412509.1	1302	AT2G05120.2	AT2G05120.2	orthologue	GO:0017056;GO:0016973;GO:0006606;GO:0031080;GO:0005634;GO:0005515;GO:0000972;GO:0005643;GO:0015031;GO:0051028	Nuclear pore complex protein NUP133 (Nucleoporin 133) (Nucleoporin Nup155-like);Nucleoporin, Nup133/Nup155-like protein
XP_010412510.1	300					
XP_010412511.1	209	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_010412512.1	298	AT3G44240.1	AT3G44240.1	orthologue	GO:0000288;GO:0004535;GO:0030015;GO:0000932;GO:0005634;GO:0030014;GO:0003723;GO:0005737;GO:0046872;GO:0003676	Putative CCR4-associated factor 1 homolog 8 (EC 3.1.13.4)
XP_010412513.1	220	AT3G44260.1	AT3G44260.1	other	GO:0000289;GO:0005634;GO:0000932;GO:0004535;GO:0002213;GO:0008408;GO:0009611;GO:0000288;GO:0042742;GO:0030015;GO:0030014;GO:0005515;GO:0003723;GO:0005737;GO:0046872;GO:0003676	Probable CCR4-associated factor 1 homolog 9 (EC 3.1.13.4)
XP_010412515.1	130	AT3G44260.1	AT3G44260.1	other	GO:0000289;GO:0005634;GO:0000932;GO:0004535;GO:0002213;GO:0008408;GO:0009611;GO:0000288;GO:0042742;GO:0030015;GO:0030014;GO:0005515;GO:0003723;GO:0005737;GO:0046872;GO:0003676	Probable CCR4-associated factor 1 homolog 9 (EC 3.1.13.4)
XP_010412516.1	312	AT3G55680.1	AT3G55680.1	orthologue	GO:0043086;GO:0046910;GO:0009507;GO:0004857	Plant invertase/pectin methylesterase inhibitor superfamily protein
XP_010412517.1	137					
XP_010412518.1	527	AT2G05160.1	AT2G05160.1	orthologue	GO:0005634;GO:0005737;GO:0003674;GO:0003677;GO:0003723;GO:0004518;GO:0008270;GO:0046872;GO:0003676	CCCH-type zinc fingerfamily protein with RNA-binding domain-containing protein;Zinc finger CCCH domain-containing protein 18 (AtC3H18) (EC 3.1.-.-)
XP_010412519.1	138				GO:0008270	
XP_010412520.1	1096	AT3G44340.1	AT3G44340.1	orthologue	GO:0030127;GO:0006888;GO:0005737;GO:0090110;GO:0010494;GO:0000149;GO:0006886;GO:0008270;GO:0070971;GO:0006979;GO:0000139;GO:0005789	Protein transport protein SEC24 B (Lst1-homolog protein A) (AtLst1A) (Protein of the clone eighty-four);Protein transport protein Sec24-like CEF
XP_010412522.2	339	AT3G44370.1	AT3G44370.1	other	GO:0032979;GO:0005739;GO:0005743;GO:0009507;GO:0051205;GO:0032977;GO:0033617;GO:0005515;GO:0016020	ALBINO3-like protein 3, mitochondrial;Membrane insertion protein, OxaA/YidC with tetratricopeptide repeat domain-containing protein
XP_010412524.1	932	AT2G05170.1	AT2G05170.1	orthologue	GO:0006904;GO:0005768;GO:0009705;GO:0005515;GO:0007033;GO:0048284;GO:0005739;GO:0006886;GO:0030897;GO:0030674;GO:0016192;GO:0005634;GO:0032991;GO:0007032;GO:0033263;GO:0008270	Vacuolar protein-sorting-associated protein 11 homolog (AtVPS11)
XP_010412526.1	212	AT4G30640.1	AT4G30640.1	other	GO:0003674;GO:0006511;GO:0019005;GO:0005737;GO:0031146;;GO:0005515	Putative F-box/LRR-repeat protein 19
XP_010412527.1	959	AT3G44530.1	AT3G44530.1	orthologue	GO:0005730;GO:0000417;GO:0006334;GO:0006351;GO:0045814;GO:0005634;GO:0000785;GO:0031491;GO:0030875;GO:0006338;GO:0006355;GO:0005515;GO:0006325	Protein HIRA;Protein HIRA (Histone regulator protein)
XP_010412528.1	782					
XP_010412529.1	141	AT1G36030.1, AT2G35280.1, AT3G30430.1, AT5G17167.1	AT2G35280.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005739	At3g30430 (F-box family protein);F-box family protein;F-box protein At2g35280;Nucleic acid-binding, OB-fold-like protein
XP_010412531.1	520	AT5G28780.1	AT5G28780.1	orthologue	GO:0006260;GO:0005657;GO:0032508;GO:0005634;GO:0004386;GO:0000723;GO:0003678;GO:0006281	PIF1 helicase
XP_010412532.1	667					
XP_010412533.1	288	AT4G03740.1	AT4G03740.1	other	GO:0005739;GO:0003674;GO:0008150	Uncharacterized protein AT4g03740 (Uncharacterized protein T5L23.25)
XP_010412534.1	251	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_010412535.1	394	AT3G44720.1	AT3G44720.1	orthologue	GO:0006952;GO:0009507;GO:0009094;GO:0047769;GO:0005737;GO:0004664;GO:0009570	Arogenate dehydratase 4, chloroplastic (AtADT4) (EC 4.2.1.91)
XP_010412536.1	241	AT3G44780.1	AT3G44780.1	orthologue	GO:0003674;GO:0005575;GO:0008150;;GO:0006508;GO:0008234	Cysteine proteinases superfamily protein
XP_010412537.1	287				GO:0003676;GO:0008270	
XP_010412539.1	378	ATMG00810.1	ATMG00810.1	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739	Uncharacterized mitochondrial protein AtMg00810 (ORF240b)
XP_010412541.1	187	AT3G44880.1	AT3G44880.1	other	GO:0015996;GO:0009908;GO:0005829;GO:0042742;GO:0009941;GO:0005737;GO:0032441;GO:0009706;GO:0009534;GO:0010277;GO:0010154;GO:0012501;GO:0009507;GO:0051536;GO:0008219;GO:0009535;GO:0046872;GO:0051537;GO:0016491	Pheophorbide a oxygenase, chloroplastic (AtPaO) (Pheide a oxygenase) (EC 1.14.15.17) (Accelerated cell death 1) (Lethal leaf-spot 1 homolog) (Lls1)
XP_010412544.1	899					
XP_010412547.1	269	AT3G44960.2	AT3G44960.2	orthologue	GO:0045144;GO:0034090;GO:0005634;GO:0003674;GO:0000775	Shugoshin
XP_010412548.1	363	AT2G06105.1	AT2G06105.1	other	GO:0008150;GO:0005739;GO:0003674;GO:0006508;GO:0008233	Aspartyl protease gag-polyprotein
XP_010412550.1	469	AT2G04395.1, AT2G05210.1	AT2G05210.1	orthologue	GO:0032206;GO:0042162;GO:0003723;GO:0032212;GO:0032210;GO:0098505;GO:0043047;GO:0000783;GO:0016233;GO:0000723;GO:0010521;GO:0005515;GO:0005634;GO:0000781;GO:0005730;GO:0005737;GO:0051974;GO:0003677	Nucleic acid-binding, OB-fold-like protein;Protection of telomeres protein 1a (AtPOT1a) (AtPot1) (Protection of telomeres protein 1);Protection of telomeres protein 1c (AtPOT1c) (Protection of telomeres protein 3)
XP_010412551.1	135	AT3G46080.1	AT3G46080.1	other	GO:0071456;GO:0003700;GO:0006355;GO:0010200;GO:0006950;GO:0005634;GO:0008270	Zinc finger protein ZAT8
XP_010412552.1	489	AT4G39280.1	AT4G39280.1	other	GO:0005524;GO:0000049;GO:0006432;GO:0005737;GO:0009328;GO:0000287;GO:0004826;GO:0005886;GO:0005829;GO:0046872;GO:0000166;GO:0004812;GO:0043039	Phenylalanine--tRNA ligase alpha subunit, cytoplasmic (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS);phenylalanine--tRNA ligase (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit)
XP_010412553.1	212	AT4G27540.1	AT4G27540.1	other	GO:0005783;GO:0016192;GO:0005794;GO:0003674;GO:0005789;GO:0016020	PRA1 family protein;PRA1 family protein H (AtPRA1.H)
XP_010412555.1	175	AT3G45150.1	AT3G45150.1	orthologue	GO:0005515;GO:0000976;GO:0008150;GO:0005634;GO:0003700;GO:0043565	Transcription factor TCP16
XP_010412556.1	293	AT3G45200.1	AT3G45200.1	orthologue	GO:0005575;GO:0003674;GO:0008150	Uncharacterized protein T14D3.140
XP_010412558.1	85	AT3G45243.1	AT3G45243.1	orthologue	GO:0005739;GO:0008150;GO:0003674	ECA1 gametogenesis related family protein
XP_010412560.1	116	AT3G45245.1	AT3G45245.1	orthologue	GO:0005576;GO:0003674;GO:0009567;GO:2000008;GO:0080155;GO:0009507;GO:0031982	ECA1 gametogenesis related family protein
XP_010412561.1	703	AT2G05230.1, AT2G05250.1	AT2G05250.1	orthologue	GO:0005737;GO:0003674;GO:0008150	At2g05250/F5G3.15 (DNAJ heat shock N-terminal domain-containing protein) (Expressed protein)
XP_010412564.1	704	AT3G45430.1	AT3G45430.1	orthologue	GO:0140426;GO:0002229;GO:0045028;GO:0016301;GO:0004674;GO:0042742;GO:0009507;GO:0004675;GO:0006468;GO:0005524;GO:0005515;GO:0005886;GO:0030246;GO:0106310;GO:0004672	Probable L-type lectin-domain containing receptor kinase I.5 (LecRK-I.5) (EC 2.7.11.1)
XP_010412565.1	200	AT1G53325.1, AT1G59630.1, AT5G37040.1, AT1G58090.1	AT1G58090.1	other	GO:0003674;GO:0008150;GO:0005575;;GO:0005515	F-box associated ubiquitination effector family protein;F-box associated ubiquitination effector family protein (F-box family protein-related);Putative F-box protein At1g58090;Putative F-box protein At5g37040
XP_010412566.1	553				GO:0003676;GO:0004523	
XP_010412568.1	391	AT3G45460.1	AT3G45460.1	orthologue	GO:0004842;GO:0006511;GO:0061630;GO:0004523;GO:0005737;GO:0003676;GO:0016567;GO:0031624;GO:0000151;GO:0008270;GO:0016020	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)
XP_010412569.1	358	AT2G05260.1	AT2G05260.1	orthologue	GO:0006629;GO:0005634;GO:0003674	Alpha/beta-Hydrolases superfamily protein;Alpha/beta-Hydrolases superfamily protein (At2g05260) (Expressed protein)
XP_010412571.1	437	AT3G45470.1	AT3G45470.1	orthologue	GO:0006511;GO:0005737;GO:0016567;GO:0004842;GO:0008270;GO:0000151;GO:0061630;GO:0031624;GO:0003676;GO:0004523	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)
XP_010412572.1	128	AT4G13500.1, AT2G05310.1	AT2G05310.1	orthologue	GO:0009507;GO:0003674;GO:0005739;GO:0009534;GO:0005829;GO:0016020	At4g13500 (Transmembrane protein);Expressed protein (Transmembrane protein);Transmembrane protein
XP_010412573.1	200	AT5G41220.1	AT5G41220.1	other	GO:0009407;GO:0005737;GO:0009536;GO:0004364;GO:0005634	Glutathione S-transferase T3 (AtGSTT3) (EC 2.5.1.18) (GST class-theta member 3) (Glutathione S-transferase 10C);glutathione transferase (EC 2.5.1.18)
XP_010412574.1	463				GO:0005515	
XP_010412575.1	371	AT1G34070.1, AT5G48050.1	AT5G48050.1	other	GO:0003674;GO:0005575;GO:0008150	Copia-like polyprotein/retrotransposon (F12G12.10 protein);Copia-like polyprotein/retrotransposon (Gb|AAF63108.1)
XP_010412577.1	226	AT3G44370.1	AT3G44370.1	orthologue	GO:0032979;GO:0005739;GO:0005743;GO:0009507;GO:0051205;GO:0032977;GO:0033617;GO:0005515;GO:0016020	ALBINO3-like protein 3, mitochondrial;Membrane insertion protein, OxaA/YidC with tetratricopeptide repeat domain-containing protein
XP_010412578.1	394	AT3G45950.1	AT3G45950.1	orthologue	GO:0008380;GO:0005634;GO:0005681;GO:0003674;GO:0000398;GO:0030628	Pre-mRNA-splicing factor SLU7
XP_010412581.1	709					
XP_010412582.1	274	AT3G46190.2	AT3G46190.2	orthologue	GO:0005634;GO:0003674;;GO:0005515	TRAF-like family protein
XP_010412583.2	591	AT5G28810.1	AT5G28810.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0006508;GO:0008233	Ulp1 protease family protein
XP_010412584.1	299	AT3G46190.2	AT3G46190.2	orthologue	GO:0005634;GO:0003674;;GO:0005515	TRAF-like family protein
XP_010412587.1	252	AT3G13680.1	AT3G13680.1	other	GO:0003674;GO:0005575;GO:0008150	F-box/kelch-repeat protein At3g13680
XP_010412589.1	483	AT3G46240.1	AT3G46240.1	other	GO:0005575;GO:0003674;GO:0016020	ER protein carbohydrate-binding protein
XP_010412590.1	510	AT3G46270.2, AT3G46260.1, AT3G46280.1	AT3G46280.1	other	GO:0003674;GO:0005576;GO:0008150;GO:0016020;GO:0016301	Kinase-like protein;Receptor protein kinase-like protein
XP_010412591.2	612	AT3G46350.1	AT3G46350.1	orthologue	GO:0016310;GO:0005575;GO:0016301;GO:0016020;GO:0005524	LRR receptor-like Serine/Threonine-kinase
XP_010412594.1	273					
XP_010412595.1	675				GO:0003676;GO:0008270	
XP_010412596.1	554	AT3G46510.1	AT3G46510.1	other	GO:0005634;GO:2000028;GO:0005515;GO:0070696;GO:0042742;GO:0016567;GO:0005829;GO:0004842;GO:0043066;GO:0050777;GO:0005737;GO:0007166	U-box domain-containing protein 13 (EC 2.3.2.27) (Plant U-box protein 13) (RING-type E3 ubiquitin transferase PUB13)
XP_010412597.1	364	AT1G47730.1, AT1G47765.1, AT1G47790.1, AT1G48060.1, AT1G50870.1, AT1G59675.1, AT1G59690.1, AT3G10240.1, AT4G09190.1, AT5G18160.1	AT1G50870.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0005739;GO:0005575;GO:0005737;GO:0005515	F-box associated ubiquitination effector family protein;F-box protein At1g48060;F-box protein At5g18160;Putative F-box protein At1g47730;Putative F-box protein At1g47765;Putative F-box protein At1g47790;Putative F-box protein At1g50870;Putative F-box protein At1g59675;Putative F-box protein At3g10240;Putative F-box protein At4g09190
XP_010412599.2	384	AT3G46760.1	AT3G46760.1	other	GO:0004674;GO:0005739;GO:0042742;GO:0016310;GO:0004675;GO:0002229;GO:0005886;GO:0005524;GO:0051707;GO:0106310;GO:0004672;GO:0006468	Receptor like protein kinase S.3 (LecRK-S.3) (EC 2.7.11.1)
XP_010412600.1	512	AT2G06541.1, AT3G29763.1, AT3G29450.1, AT1G41920.1, AT3G30235.1, AT3G29765.1, AT3G31402.1, AT1G19260.1, AT4G09660.1	AT3G31402.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0046983;GO:0009506;GO:0016020	General transcription factor 2-related zinc finger protein;TTF-type zinc finger protein with HAT dimerization domain-containing protein;Zinc finger MYM-type-like protein
XP_010412601.1	666	AT3G46800.1	AT3G46800.1	orthologue	GO:0008150;GO:0003674;GO:0005576;GO:0008270	Cysteine/Histidine-rich C1 domain family protein
XP_010412604.1	374	AT3G47150.1	AT3G47150.1	orthologue	GO:0005634;GO:0003674;GO:0008150;;GO:0005515	Putative F-box protein At3g47150
XP_010412605.1	432	AT2G05320.1	AT2G05320.1	orthologue	GO:0009312;GO:0006486;GO:0005794;GO:0005795;GO:0000139;GO:0008455;GO:0006487;GO:0046872;GO:0016020	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.143) (Beta-1,2-N-acetylglucosaminyltransferase II) (GlcNAc-T II) (GNT-II) (Mannoside acetylglucosaminyltransferase 2) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II)
XP_010412606.1	615	AT1G40390.1, AT1G43760.1	AT1G43760.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634	DNAse I-like superfamily protein
XP_010412610.1	475					
XP_010412613.1	188	AT2G05430.1	AT2G05430.1	orthologue	GO:0003674;GO:0005634;GO:0006508;GO:0008233	Ubiquitin-specific protease family C19-related protein
XP_010412614.1	248	AT3G47410.1	AT3G47410.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0016020	Hypthetical protein
XP_010412615.1	375					
XP_010412616.1	514					
XP_010412618.1	125	AT2G05440.2	AT2G05440.2	orthologue	GO:0003674;GO:0005575	AT2G05440 protein (GLYCINE RICH PROTEIN 9);GLYCINE RICH PROTEIN 9;GLYCINE RICH PROTEIN 9 (Putative glycine-rich protein)
XP_010412619.1	311	AT3G56700.2	AT3G56700.2	other	GO:0009507;GO:0035336;GO:0043231;GO:0010345;GO:0009611;GO:0102965;GO:0080019;GO:0006629	Fatty acyl-CoA reductase 6, chloroplastic (AtFAR6) (EC 1.2.1.84)
XP_010412620.1	210	AT2G24285.2, AT3G42940.1	AT3G42940.1	orthologue	GO:0003674;GO:0005634;GO:0008150;;GO:0006511;GO:0061630	C3HC4-type RING finger protein;Zinc finger, C3HC4 type (RING finger) family protein
XP_010412621.1	1135	AT3G47910.2	AT3G47910.2	orthologue	GO:0005634;GO:0004843;GO:0005737;GO:0016579;GO:0005515	Ubiquitin carboxyl-terminal hydrolase-related protein
XP_010412622.1	567				GO:0003676	
XP_010412625.1	342	AT3G48220.1	AT3G48220.1	orthologue	GO:0003674;GO:0005737;GO:0008150	F-box protein
XP_010412626.1	342	AT3G48220.1	AT3G48220.1	orthologue	GO:0003674;GO:0005737;GO:0008150	F-box protein
XP_010412627.1	127	AT3G48230.1	AT3G48230.1	other	GO:0005576;GO:0008150;GO:0003674	At3g48230 (Carboxyl-terminal peptidase (DUF239))
XP_010412628.1	437	AT3G48270.1	AT3G48270.1	orthologue	GO:0008150;GO:0016705;GO:0005575;GO:0005506;GO:0020037;GO:0004497;GO:0016020	Cytochrome P450 71A26 (EC 1.14.-.-)
XP_010412635.1	634	AT3G48835.1, AT5G41690.1, AT3G10845.1, AT1G45100.1	AT5G41690.1	other	GO:0005634;GO:0000398;GO:0005685;GO:0071004;GO:0003729;GO:0030619;GO:0008150;GO:0005737;GO:0016779;GO:0009507;GO:1990904;GO:0003723;GO:0003676;GO:0017069;GO:0071011	Polynucleotide adenylyltransferase domain/RNA recognition motif protein;RNA-binding (RRM/RBD/RNP motifs) family protein
XP_010412636.1	201	AT1G46408.1	AT1G46408.1	orthologue	GO:0006357;GO:0000987;GO:0045944;GO:0000978;GO:0003700;GO:0046983;GO:0005634;GO:0000981;GO:0005515;GO:0003677	Agamous-like MADS-box protein AGL97
XP_010412637.1	293	AT2G36920.1	AT2G36920.1	orthologue	GO:0008150;GO:0003674;GO:0005634	B3 domain protein
XP_010412639.1	158	AT3G48740.1	AT3G48740.1	other	GO:0008515;GO:0016020;GO:0005515;GO:0010431;GO:0015770;GO:0051260;GO:0051119;GO:0005886;GO:0009507;GO:0009793;GO:0008643	Bidirectional sugar transporter SWEET11 (AtSWEET11) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 11)
XP_010412640.1	201	AT1G46408.1	AT1G46408.1	orthologue	GO:0006357;GO:0000987;GO:0045944;GO:0000978;GO:0003700;GO:0046983;GO:0005634;GO:0000981;GO:0005515;GO:0003677	Agamous-like MADS-box protein AGL97
XP_010412643.1	96	AT2G05380.3, AT2G05440.2, AT2G05510.1, AT2G05520.1, AT2G05530.1	AT2G05530.1	other	GO:0003674;GO:0005575;GO:0005576;GO:0005515;GO:0005739;GO:0008150;GO:0009826;GO:0009269;GO:0009723;GO:0008361;GO:0009737;GO:0009751;GO:0048364;GO:0010044	AT2G05380 protein (Glycine-rich protein 3 short isoform);AT2G05440 protein (GLYCINE RICH PROTEIN 9);At2g05510 (Glycine-rich protein family) (Putative glycine-rich protein);GLYCINE RICH PROTEIN 9;GLYCINE RICH PROTEIN 9 (Putative glycine-rich protein);Glycine-rich protein 3;Glycine-rich protein 3 (AtGRP-3);Glycine-rich protein 3 short isoform;Glycine-rich protein family;Glycine-rich protein family (Putative glycine-rich protein)
XP_010412644.1	265	AT5G58560.1	AT5G58560.1	orthologue	GO:0052671;GO:0052668;GO:0006720;GO:0009507;GO:0016301;GO:0048440;GO:0010189;GO:0009737;GO:0016487;GO:0102243;GO:0052670;GO:0102237;GO:0052672;GO:0031969;GO:0102238	Farnesol kinase, chloroplastic (EC 2.7.1.216)
XP_010412645.1	186	AT3G48940.1	AT3G48940.1	orthologue	GO:0003674;GO:0008150;GO:0005829;GO:0005886	Remorin family protein (Remorin-like protein)
XP_010412646.1	169	AT1G11490.1	AT1G11490.1	orthologue	GO:0006355;GO:0003700;GO:0005575	Zinc finger (C2H2 type) family protein
XP_010412647.1	449	AT3G26922.1, AT3G49020.1, AT3G49030.1, AT2G04230.1, AT3G49040.1, AT3G51530.1, AT3G52690.1, AT3G52680.1, AT4G00160.1	AT3G49020.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005515;GO:0005634;GO:0005739	F-box/FBD/LRR protein;F-box/FBD/LRR-repeat protein At2g04230;F-box/FBD/LRR-repeat protein At3g51530;F-box/FBD/LRR-repeat protein At3g52680;F-box/FBD/LRR-repeat protein At4g00160;F-box/LRR-repeat protein At3g26922;F-box/RNI-like superfamily protein;F-box/RNI-like/FBD-like domains-containing protein;FBD, F-box and Leucine Rich Repeat domains containing protein;FBD-associated F-box protein At3g49020;Putative F-box/FBD/LRR-repeat protein At3g49030;Putative F-box/FBD/LRR-repeat protein At3g49040;RNI-like superfamily protein
XP_010412651.1	1215	ATMG00240.1	ATMG00240.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005739;GO:0003676;GO:0008270;GO:0015074	Uncharacterized mitochondrial protein AtMg00240 (ORF111a)
XP_010412652.1	139	AT2G05380.3, AT2G05440.2, AT2G05510.1, AT2G05520.1, AT2G05530.1	AT2G05520.1	other	GO:0003674;GO:0005575;GO:0005576;GO:0005515;GO:0005739;GO:0008150;GO:0009826;GO:0009269;GO:0009723;GO:0008361;GO:0009737;GO:0009751;GO:0048364;GO:0010044	AT2G05380 protein (Glycine-rich protein 3 short isoform);AT2G05440 protein (GLYCINE RICH PROTEIN 9);At2g05510 (Glycine-rich protein family) (Putative glycine-rich protein);GLYCINE RICH PROTEIN 9;GLYCINE RICH PROTEIN 9 (Putative glycine-rich protein);Glycine-rich protein 3;Glycine-rich protein 3 (AtGRP-3);Glycine-rich protein 3 short isoform;Glycine-rich protein family;Glycine-rich protein family (Putative glycine-rich protein)
XP_010412653.1	426	AT5G23960.1	AT5G23960.1	other	GO:0080027;GO:0051762;GO:0009507;GO:0016106;GO:0016102;GO:0080017;GO:0080016;GO:0000287;GO:0005737;GO:0010333;GO:0016829;GO:0016114	Alpha-humulene/(-)-(E)-beta-caryophyllene synthase (EC 4.2.3.-) ((E)-beta-caryophyllene synthase) (EC 4.2.3.57) (Alpha-copaene synthase) (EC 4.2.3.133) (Alpha-humulene synthase) (EC 4.2.3.104) (Terpenoid synthase 21) (AtTPS21)
XP_010412656.2	309	AT3G49160.1	AT3G49160.1	other	GO:0004743;GO:0000287;GO:0006096;GO:0005737;GO:0030955;GO:0009507;GO:0005524;GO:0009570;GO:0016301;GO:0003824	Plastidial pyruvate kinase 4, chloroplastic (PKp4) (EC 2.7.1.40);pyruvate kinase (EC 2.7.1.40)
XP_010412662.1	583				GO:0003676;GO:0008270	
XP_010412663.1	151	AT3G10130.1	AT3G10130.1	orthologue	GO:0010287;GO:0009535;GO:0008150;GO:0020037;GO:0009507	Heme-binding-like protein At3g10130, chloroplastic
XP_010412664.1	583				GO:0003676;GO:0008270	
XP_010412665.1	363					
XP_010412666.1	312	AT2G47250.1	AT2G47250.1	other	GO:0003729;GO:0003724;GO:0004386;GO:0003723;GO:0009941;GO:0005634;GO:0005681;GO:0008150;GO:0005524;GO:0006397;GO:0008380;GO:0016887;GO:0003676;GO:0005622	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH3 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP43)
XP_010412667.1	365				GO:0005515	
XP_010412668.1	614					
XP_010412670.1	377	AT2G31470.1	AT2G31470.1	other	GO:0005634;GO:0009788;GO:0009737;GO:0009414;GO:0042631;GO:0005515;GO:0016567;GO:0010118;GO:0010119;GO:0009738	F-box and associated interaction domains-containing protein;F-box protein DOR (Protein DROUGHT TOLERANCE REPRESSOR)
XP_010412671.1	402	AT3G49450.1	AT3G49450.1	orthologue	GO:0005575;GO:0003674;;GO:0005515	F-box protein At3g49450
XP_010412672.1	106	AT2G05530.1, AT2G05520.1	AT2G05530.1	orthologue	GO:0005739;GO:0005576;GO:0003674;GO:0008150;GO:0009826;GO:0005515;GO:0009269;GO:0009723;GO:0008361;GO:0009737;GO:0009751;GO:0048364;GO:0010044	Glycine-rich protein 3;Glycine-rich protein 3 (AtGRP-3);Glycine-rich protein family;Glycine-rich protein family (Putative glycine-rich protein)
