Odontarrhena_muralis	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Om001G001360	233	AT4G18040.1	AT4G18040.1	orthologue	GO:0005515;GO:0006413;GO:0005737;GO:0005634;GO:0010494;GO:0048573;GO:0007623;GO:0009615;GO:0003743;GO:0000339;GO:0005730;GO:0005829;GO:0000932;GO:0016281;GO:0000340;GO:0003723;GO:0006417;GO:0006952	Eukaryotic translation initiation factor 4E-1 (eIF-4E-1) (eIF4E-1) (Protein cucumovirus multiplication 1) (eIF-4F 25 kDa subunit) (eIF-4F p26 subunit) (mRNA cap-binding protein)
Om001G001370	1257	AT4G18050.2	AT4G18050.2	orthologue	GO:0042626;GO:0016020;GO:0005634;GO:0016887;GO:0055085;GO:0140359;GO:0005829;GO:0005524;GO:0005886;GO:0010328;GO:0010329	ABC transporter B family member 9 (ABC transporter ABCB.9) (AtABCB9) (Multidrug resistance protein 9) (P-glycoprotein 9);p-glycoprotein 9
Om001G001380	351	AT4G18060.1	AT4G18060.1	orthologue	GO:0005515;GO:0005829;GO:0030136	SH3 domain-containing protein 3 (AtSH3P3)
Om001G001390	261	AT4G18070.1	AT4G18070.1	orthologue	GO:0005829;GO:0005634;GO:0003674	At4g18070 (Suppressor);Suppressor
Om001G001400	483	AT4G18080.1, AT4G18090.1	AT4G18080.1	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0016020	Transmembrane protein;Uncharacterized protein AT4g18090 (Uncharacterized protein F15J5.60)
Om001G001410	521	AT4G18080.1, AT4G18090.1	AT4G18080.1	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0016020	Transmembrane protein;Uncharacterized protein AT4g18090 (Uncharacterized protein F15J5.60)
Om001G001420	158	AT5G48950.1	AT5G48950.1	orthologue	GO:0005777;GO:0042372;GO:0051289;GO:0009507;GO:0061522;GO:0016787	1,4-dihydroxy-2-naphthoyl-CoA thioesterase 2 (AtDHNAT2) (DHNA-CoA thioesterase 2) (EC 3.1.2.-);Thioesterase superfamily protein
Om001G001430	424					
Om001G001440	133	AT5G46430.1	AT5G46430.1	other	GO:0022625;GO:0005737;GO:0006412;GO:0009536;GO:0003729;GO:0003735;GO:0005840	Large ribosomal subunit protein eL32y (60S ribosomal protein L32-2)
Om001G001450	1255	AT5G36930.2	AT5G36930.2	orthologue	GO:0005737;GO:0043531;GO:0006952;GO:0007165;GO:0016020;GO:0005515	Disease resistance protein (TIR-NBS-LRR class) family
Om001G001460	985	AT5G13010.1	AT5G13010.1	other	GO:0010467;GO:0009793;GO:0048767;GO:0008380;GO:0003723;GO:0031053;GO:0048364;GO:0031334;GO:0005634;GO:0000398;GO:0005681;GO:0035194;GO:0033120;GO:0003676;GO:0003724;GO:0004386;GO:0010051;GO:0005524;GO:0016887;GO:0045087;GO:0050832;GO:0005622	Pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH7 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP16) (Protein CLUMSY VEIN) (Protein EMBRYO DEFECTIVE 3011) (Protein PSR1-INTERACTING PROTEIN 1)
Om001G001470	740	AT1G29400.1	AT1G29400.1	other	GO:0045836;GO:0003729;GO:0003723;GO:0045927;GO:0005575;GO:0051321;GO:0003676	Protein MEI2-like 5 (AML5) (MEI2-like protein 5)
Om001G001490	962	AT2G25140.1	AT2G25140.1	orthologue	GO:0005737;GO:0042026;GO:0009408;GO:0009941;GO:0034605;GO:0009570;GO:0016887;GO:0009507;GO:0005739;GO:0005524	Chaperone protein ClpB4, mitochondrial (ATP-dependent Clp protease ATP-binding subunit ClpB homolog 4) (Casein lytic proteinase B4)
Om001G001500	1115	AT4G18130.1	AT4G18130.1	orthologue	GO:0000155;GO:0042803;GO:0009585;GO:0005515;GO:0006355;GO:0004673;GO:0005634;GO:0009584;GO:0005886;GO:0009881;GO:0043231;GO:0007165;GO:0017006	Phytochrome E
Om001G001510	462	AT4G18140.1	AT4G18140.1	orthologue	GO:0005739;GO:0016791;GO:0008420;GO:0006470;GO:0004721;GO:0005634	SCP1-like small phosphatase 4b
Om001G001530	494					
Om001G001540	901	AT1G59780.1	AT1G59780.1	orthologue	GO:0098542;GO:0043531;GO:0005575;GO:0005524;GO:0006952;GO:0051707	NB-ARC domain-containing disease resistance protein;Putative disease resistance protein At1g59780
Om001G001550	388				GO:0003676;GO:0004523	
Om001G001590	210	AT4G16095.1	AT4G16095.1	orthologue	GO:0003674;GO:0008150;GO:0005575	RNI-like superfamily protein
Om001G001600	913	AT1G59780.1	AT1G59780.1	orthologue	GO:0098542;GO:0043531;GO:0005575;GO:0005524;GO:0006952;GO:0051707	NB-ARC domain-containing disease resistance protein;Putative disease resistance protein At1g59780
Om001G001610	119	AT1G59780.1	AT1G59780.1	other	GO:0098542;GO:0043531;GO:0005575;GO:0005524;GO:0006952;GO:0051707	NB-ARC domain-containing disease resistance protein;Putative disease resistance protein At1g59780
Om001G001620	777	AT1G59780.1	AT1G59780.1	orthologue	GO:0098542;GO:0043531;GO:0005575;GO:0005524;GO:0006952;GO:0051707	NB-ARC domain-containing disease resistance protein;Putative disease resistance protein At1g59780
Om001G001630	160					
Om001G001640	123	AT1G52603.1, AT5G33393.1, AT1G67235.1	AT1G67235.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0009507;GO:0008270;GO:0016020	GRF zinc finger protein;Transmembrane protein;Zinc finger GRF-type domain-containing protein
Om001G001650	733	AT3G01680.1	AT3G01680.1	orthologue	GO:0005634;GO:0010088;GO:0042803	Protein SIEVE ELEMENT OCCLUSION B (AtSEOb) (Protein SIEVE ELEMENT OCCLUSION-RELATED 1) (AtSEOR1)
Om001G001670	75					
Om001G001680	303	AT1G59780.1	AT1G59780.1	other	GO:0098542;GO:0043531;GO:0005575;GO:0005524;GO:0006952;GO:0051707	NB-ARC domain-containing disease resistance protein;Putative disease resistance protein At1g59780
Om001G001700	527					
Om001G001710	910	AT1G59780.1	AT1G59780.1	orthologue	GO:0098542;GO:0043531;GO:0005575;GO:0005524;GO:0006952;GO:0051707	NB-ARC domain-containing disease resistance protein;Putative disease resistance protein At1g59780
Om001G001730	455	AT1G58390.1, AT1G58400.2, AT1G58410.1, AT1G58602.1, AT1G58807.1, AT1G58848.1, AT1G59124.2, AT1G59218.1, AT1G59620.1, AT1G59780.1	AT1G59780.1	other	GO:0005634;GO:0098542;GO:0043531;GO:0005575;GO:0002229;GO:0009507;GO:0005524;GO:0006952;GO:0051707	Disease resistance protein (CC-NBS-LRR class) family;NB-ARC domain-containing disease resistance protein;Probable disease resistance protein At1g58390;Probable disease resistance protein At1g59620 (CW9);Probable disease resistance protein RDL5;Probable disease resistance protein RDL6;Probable disease resistance protein RF45;Probable disease resistance protein RF9;Probable disease resistance protein RXW24L;Protein RECOGNITION OF PERONOSPORA PARASITICA 7;Putative disease resistance protein At1g58400;Putative disease resistance protein At1g59780
Om001G001750	407	AT4G18160.1	AT4G18160.1	orthologue	GO:0009533;GO:1990573;GO:0009705;GO:0022841;GO:0097623;GO:0015271;GO:0071805;GO:0071257;GO:0005267;GO:0005773;GO:0005886;GO:0010196;GO:0010027;GO:0034705;GO:0046872;GO:0016020;GO:0030322	Two-pore potassium channel 3 (AtTPK3) (Calcium-activated outward-rectifying potassium channel 6) (AtKCO6)
Om001G001760	319	AT4G18170.1	AT4G18170.1	orthologue	GO:0042659;GO:0003700;GO:0006355;GO:1900057;GO:0043565;GO:0005634	WRKY transcription factor 28 (WRKY DNA-binding protein 28)
Om001G001770	442	AT4G18180.1	AT4G18180.1	orthologue	GO:0005975;GO:0005576;GO:0004650;GO:0016829;GO:0071555	Pectin lyase-like superfamily protein
Om001G001780	852	AT1G63350.2, AT1G62630.1, AT1G63360.1	AT1G63350.2	orthologue	GO:0005634;GO:0043531;GO:0006499;GO:0098542;GO:0005575;GO:0005524;GO:0006952;GO:0005886;GO:0005515	Disease resistance protein (CC-NBS-LRR class) family;Probable disease resistance protein At1g62630 (pNd4);Probable disease resistance protein At1g63360;Putative disease resistance protein At1g63350
Om001G001790	383	AT4G18195.1	AT4G18195.1	orthologue	GO:0015211;GO:0006863;GO:0005345;GO:0016020	Probable purine permease 8 (AtPUP8)
Om001G001800	376	AT4G18205.1, AT4G18197.1	AT4G18205.1	orthologue	GO:0005575;GO:0015211;GO:0006863;GO:0005345;GO:0016020	Probable purine permease 22 (AtPUP22);Probable purine permease 7 (AtPUP7) (Peroxisomal biogenesis protein 17)
Om001G001810	259	AT4G18195.1	AT4G18195.1	other	GO:0015211;GO:0006863;GO:0005345;GO:0016020	Probable purine permease 8 (AtPUP8)
Om001G001820	401	AT4G18220.1, AT4G18210.1	AT4G18220.1	other	GO:0005737;GO:0005345;GO:0015211;GO:0006863;GO:0016020;GO:0009624	Probable purine permease 10 (AtPUP10);Purine permease 21 (AtPUP21)
Om001G001830	393	AT4G18220.1, AT4G18210.1	AT4G18220.1	orthologue	GO:0005737;GO:0005345;GO:0015211;GO:0006863;GO:0016020;GO:0009624	Probable purine permease 10 (AtPUP10);Purine permease 21 (AtPUP21)
Om001G001840	233	AT4G18230.1	AT4G18230.1	orthologue	GO:0043541;GO:0005739;GO:0006488;GO:0005789;GO:0016740;GO:0004577	UDP-N-acetylglucosamine transferase subunit ALG14
Om001G001850	1040	AT4G18240.1	AT4G18240.1	orthologue	GO:0019252;GO:0009507;GO:0004373;GO:0016757;GO:0005982;GO:0005515;GO:0033840;GO:0009011;GO:0009501;GO:0009570	Probable starch synthase 4, chloroplastic/amyloplastic (AtSS4) (EC 2.4.1.21) (Soluble starch synthase IV) (SSIV)
Om001G001860	650	AT4G18250.1	AT4G18250.1	orthologue	GO:0006468;GO:0005575;GO:0016301;GO:0016310;GO:0004674;GO:0005524;GO:0016020;GO:0004672	Receptor Serine/Threonine kinase-like protein
Om001G001870	391	AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1	AT4G18250.1	other	GO:0004674;GO:0044024;GO:0005576;GO:0006468;GO:0030247;GO:0016310;GO:0004675;GO:0009620;GO:0004672;GO:0016301;GO:0009506;GO:0005634;GO:0005575;GO:0005886;GO:0005524;GO:0016020;GO:0106310	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.2 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.2);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.3 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.3);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.4 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.4);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.5 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.5);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.7 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.7);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.8 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.8);PR5-like receptor kinase;PR5-like receptor kinase (EC 2.7.11.1);Protein kinase family protein;Receptor Serine/Threonine kinase-like protein;non-specific serine/threonine protein kinase (EC 2.7.11.1)
Om001G001880	155	AT4G18253.1	AT4G18253.1	other	GO:0006952;GO:0003674;GO:0005576;GO:0016301	Receptor Serine/Threonine kinase-like protein
Om001G001890	367	AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1	AT4G18250.1	other	GO:0004674;GO:0044024;GO:0005576;GO:0006468;GO:0030247;GO:0016310;GO:0004675;GO:0009620;GO:0004672;GO:0016301;GO:0009506;GO:0005634;GO:0005575;GO:0005886;GO:0005524;GO:0016020;GO:0106310	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.2 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.2);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.3 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.3);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.4 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.4);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.5 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.5);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.7 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.7);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.8 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.8);PR5-like receptor kinase;PR5-like receptor kinase (EC 2.7.11.1);Protein kinase family protein;Receptor Serine/Threonine kinase-like protein;non-specific serine/threonine protein kinase (EC 2.7.11.1)
Om001G001900	412	AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1	AT4G18250.1	other	GO:0004674;GO:0044024;GO:0005576;GO:0006468;GO:0030247;GO:0016310;GO:0004675;GO:0009620;GO:0004672;GO:0016301;GO:0009506;GO:0005634;GO:0005575;GO:0005886;GO:0005524;GO:0016020;GO:0106310	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.2 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.2);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.3 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.3);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.4 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.4);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.5 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.5);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.7 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.7);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.8 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.8);PR5-like receptor kinase;PR5-like receptor kinase (EC 2.7.11.1);Protein kinase family protein;Receptor Serine/Threonine kinase-like protein;non-specific serine/threonine protein kinase (EC 2.7.11.1)
Om001G001920	262				GO:0005634	
Om001G001930	287	AT4G18260.1	AT4G18260.1	orthologue	GO:0140575;GO:0005575;GO:0020037;GO:0016491;GO:0016020;GO:0046872	Cytochrome b561 domain-containing protein At4g18260 (Protein b561A.tha13)
Om001G001940	477	AT4G18270.1	AT4G18270.1	orthologue	GO:0071555;GO:0009507;GO:0006486;GO:0044038;GO:0008963;GO:0005886;GO:0016020;GO:0016780;GO:0015450	Phospho-N-acetylmuramoyl-pentapeptide-transferase homolog (Translocase I)
Om001G001950	86	AT5G21482.1	AT5G21482.1	orthologue	GO:0019139;GO:0005576;GO:0071949;GO:0009823;GO:0016491;GO:0005829	Cytokinin dehydrogenase 7 (EC 1.5.99.12) (Cytokinin oxidase 7) (AtCKX5) (AtCKX7) (CKO7)
Om001G001960	155	AT5G61660.1	AT5G61660.1	other	GO:0008150;GO:0003674;GO:0005575	At5g61660 (Glycine-rich protein) (Structural protein-like)
Om001G001970	682	AT4G18290.2	AT4G18290.2	orthologue	GO:0007623;GO:0009644;GO:0009507;GO:0005515;GO:0005242;GO:0005634;GO:0005249;GO:0010118;GO:0034702;GO:0005216;GO:0006811;GO:0016020;GO:0055085;GO:0006813	Potassium channel;Potassium channel KAT2
Om001G001980	162	AT4G18335.1	AT4G18335.1	orthologue	GO:0005739;GO:0003674;GO:0008150	Uncharacterized protein
Om001G001990	410	AT4G18340.1	AT4G18340.1	orthologue	GO:0005886;GO:0009507;GO:0005576;GO:0042973;GO:0005975;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
Om001G002000	786	AT5G46210.1	AT5G46210.1	orthologue	GO:0005515;GO:0048366;GO:0016567;GO:0010100;GO:0048575;GO:0009755;GO:0000209;GO:0048825;GO:0009640;GO:0031625;GO:0006511;GO:0010182;GO:0048367;GO:0004842;GO:0006281;GO:0031461;GO:0005634;GO:0009507;GO:0080008;GO:0009908;GO:0000151;GO:0010154;GO:0009738	Cullin-4 (AtCUL4)
Om001G002010	174	AT5G43030.1, AT5G43040.1	AT5G43030.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0008270	CHP-rich zinc finger protein-like (Cysteine/Histidine-rich C1 domain family protein)
Om001G002020	550	AT5G43030.1, AT5G43040.1	AT5G43030.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0008270	CHP-rich zinc finger protein-like (Cysteine/Histidine-rich C1 domain family protein)
Om001G002030	585	AT4G18350.1	AT4G18350.1	orthologue	GO:0009535;GO:0009570;GO:0009688;GO:0016121;GO:0045549;GO:0009507;GO:0010436;GO:0046872;GO:0016702	9-cis-epoxycarotenoid dioxygenase NCED2, chloroplastic (AtNCED2) (EC 1.13.11.51)
Om001G002040	369	AT4G18360.1	AT4G18360.1	orthologue	GO:0050665;GO:0003973;GO:0005777;GO:0042742;GO:0010181;GO:0009854;GO:0016491	Aldolase-type TIM barrel family protein;Glycolate oxidase 3 (GOX 3) (EC 1.1.3.15) (AtGLO5) (Peroxisomal (S)-2-hydroxy-acid oxidase GLO5) (Short chain alpha-hydroxy acid oxidase GLO5)
Om001G002060	59	AT3G15395.1	AT3G15395.1	orthologue	GO:0003674;GO:0005575;GO:0016020	At3g15395 (HrpN-interacting protein from malus protein)
Om001G002070	128	AT4G25315.1	AT4G25315.1	orthologue	GO:0005634;GO:0003674	At4g25315 (Expressed protein);Expressed protein
Om001G002090	242	AT2G44120.2	AT2G44120.2	orthologue	GO:0009507;GO:0022625;GO:0022626;GO:0000463;GO:0005737;GO:0003735;GO:0003729;GO:0005773;GO:0003723;GO:0005829;GO:0009506;GO:0005730;GO:0005840;GO:1990904	Large ribosomal subunit protein uL30x (60S ribosomal protein L7-3);Ribosomal protein L30/L7 family protein
Om001G002100	242	AT2G44120.2	AT2G44120.2	orthologue	GO:0009507;GO:0022625;GO:0022626;GO:0000463;GO:0005737;GO:0003735;GO:0003729;GO:0005773;GO:0003723;GO:0005829;GO:0009506;GO:0005730;GO:0005840;GO:1990904	Large ribosomal subunit protein uL30x (60S ribosomal protein L7-3);Ribosomal protein L30/L7 family protein
Om001G002110	389	AT1G61580.1	AT1G61580.1	orthologue	GO:0042742;GO:0022625;GO:0006412;GO:0005634;GO:0005737;GO:0003735;GO:0003723;GO:0005840	Large ribosomal subunit protein uL3y (60S ribosomal protein L3-2)
Om001G002130	317	AT4G18370.1	AT4G18370.1	orthologue	GO:0005576;GO:0009543;GO:0010206;GO:0031977;GO:0009579;GO:0009507;GO:0005829;GO:0004252;GO:0006508	DEGP protease 5;Protease Do-like 5, chloroplastic (EC 3.4.21.-)
Om001G002140	112	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Om001G002150	596	AT3G48835.1, AT5G41690.1, AT3G10845.1, AT1G45100.1	AT5G41690.1	other	GO:0005634;GO:0000398;GO:0005685;GO:0071004;GO:0003729;GO:0030619;GO:0008150;GO:0005737;GO:0016779;GO:0009507;GO:1990904;GO:0003723;GO:0003676;GO:0017069;GO:0071011	Polynucleotide adenylyltransferase domain/RNA recognition motif protein;RNA-binding (RRM/RBD/RNP motifs) family protein
Om001G002160	380	AT4G18190.1	AT4G18190.1	orthologue	GO:0015211;GO:0006863;GO:0005345;GO:0016020	Probable purine permease 6 (AtPUP6)
Om001G002180	387	AT4G18380.1	AT4G18380.1	orthologue	GO:0003674;GO:0009507;;GO:0005515	F-box protein At4g18380
Om001G002190	366	AT4G18390.1	AT4G18390.1	orthologue	GO:0043565;GO:0045944;GO:0005515;GO:0006355;GO:0045962;GO:0003700;GO:2000306;GO:0005634;GO:0048366;GO:0030154;GO:2000032;GO:0009637;GO:0009965;GO:0003677	Transcription factor TCP2 (Protein TEOSINTE-LIKE1, CYCLOIDEA, and PROLIFERATING CELL FACTOR 2)
Om001G002200	117	AT4G18395.1	AT4G18395.1	orthologue	GO:0005634;GO:0003674	Uncharacterized protein
Om001G002210	110	AT4G18400.1	AT4G18400.1	orthologue	GO:0008150;GO:0003674;GO:0005634;GO:0031011	At4g18400
Om001G002220	508	AT3G26230.1, AT3G26220.1, AT3G26280.2, AT3G26270.1	AT3G26280.2	other	GO:0005506;GO:0016705;GO:0009507;GO:0020037;GO:0008150;GO:0004497;GO:0016020	Cytochrome P450 71B24 (EC 1.14.-.-);Cytochrome P450 71B25 (EC 1.14.-.-);Cytochrome P450 71B3 (EC 1.14.-.-);Cytochrome P450 71B4 (EC 1.14.-.-);Cytochrome P450, family 71, subfamily B, polypeptide 4
Om001G002230	88	AT4G18422.1	AT4G18422.1	orthologue	GO:0005739;GO:0003674;GO:0016020	Transmembrane protein
Om001G002260	499	AT4G13510.1	AT4G13510.1	orthologue	GO:0010311;GO:0008519;GO:0005886;GO:0051258;GO:0080181;GO:0072488;GO:0009506;GO:0009413;GO:0097272;GO:0005515;GO:0110067;GO:0016020	Ammonium transporter 1 member 1 (AtAMT1;1)
Om001G002280	922					
Om001G002300	228	AT4G18425.1	AT4G18425.1	orthologue	GO:0005739;GO:0010256;GO:0003674;GO:0009838;GO:0009705;GO:0090693	Protein DMP4 (AtDMP4)
Om001G002310	224	AT4G18430.1	AT4G18430.1	orthologue	GO:0005525;GO:0005829;GO:0003924;GO:0005768;GO:0016192;GO:0005886;GO:0015031	Ras-related protein RABA1e (AtRABA1e)
Om001G002320	525	AT4G18440.1, AT1G36280.1	AT1G36280.1	orthologue	GO:0004018;GO:0009570;GO:0006189;GO:0044208;GO:0070626;GO:0009507;GO:0005634;GO:0006163;GO:0003824;GO:0006188;GO:0009152	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)
Om001G002330	294	AT4G18450.1	AT4G18450.1	orthologue	GO:0000976;GO:0003700;GO:0005622;GO:0006355;GO:0003677;GO:0005634;GO:0009873	Ethylene-responsive transcription factor ERF091
Om001G002340	430	AT4G18470.1	AT4G18470.1	orthologue	GO:0045892;GO:0005634;GO:0010113;GO:0030915;GO:0002215;GO:0000976;GO:0006338;GO:0031348;GO:0006974;GO:0009627;GO:0005515;GO:0016444;GO:0006281;GO:0009626	Negative regulator of systemic acquired resistance SNI1 (Non-structural maintenance of chromosome element 5) (Non-SMC element 5) (Protein SUPPRESSOR OF NPR1, INDUCIBLE 1) (Suppressor of npr1-1)
Om001G002350	198	AT4G18460.1	AT4G18460.1	orthologue	GO:0006399;GO:0005737;GO:0051499;GO:0051500;GO:0009507;GO:0000049;GO:0004386;GO:0106026;GO:0002161	D-aminoacyl-tRNA deacylase (EC 3.1.1.96)
Om001G002360	697	AT4G18465.1	AT4G18465.1	orthologue	GO:0005634;GO:0071013;GO:0003723;GO:0005829;GO:0003724;GO:0009506;GO:0004386;GO:0005524;GO:0005681;GO:0006397;GO:0008380;GO:0016887;GO:0003676;GO:0005622	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH9 (EC 3.6.4.13) (DEAH RNA helicase homolog DDX35)
Om001G002370	422	AT4G18480.1	AT4G18480.1	orthologue	GO:0009570;GO:0009507;GO:0015995;GO:0016887;GO:0010007;GO:0016851;GO:0005829;GO:0009505;GO:0005524;GO:0015979	Magnesium-chelatase subunit ChlI-1, chloroplastic (Mg-chelatase subunit I-1) (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase subunit ChlI-1) (Protein CHLORINA 42)
Om001G002390	96	AT5G45500.1	AT5G45500.1	other	GO:0098542;GO:0003674;GO:0005634;GO:0005886;GO:0006952	RNI-like superfamily protein
Om001G002400	56					
Om001G002410	71	AT4G18490.3	AT4G18490.3	other	GO:0005576;GO:0003674;GO:0005634	Uncharacterized protein;Uncharacterized protein At4g18490
Om001G002420	29					
Om001G002430	107	AT4G18465.1	AT4G18465.1	other	GO:0005634;GO:0071013;GO:0003723;GO:0005829;GO:0003724;GO:0009506;GO:0004386;GO:0005524;GO:0005681;GO:0006397;GO:0008380;GO:0016887	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH9 (EC 3.6.4.13) (DEAH RNA helicase homolog DDX35)
