Cochlearia_excelsa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
g10109	365	AT5G26680.1	AT5G26680.1	orthologue	GO:0048256;GO:0005634;GO:0017108;GO:0008409;GO:0009411;GO:0000287;GO:0003677;GO:0005654;GO:0005730;GO:0005739;GO:0006284;GO:0043137;GO:0016788;GO:0004518;GO:0003824	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)
g1011	351	AT5G55380.1	AT5G55380.1	orthologue	GO:0005575;GO:0047196;GO:0006629;GO:0016020;GO:0008374	Probable long-chain-alcohol O-fatty-acyltransferase 1 (EC 2.3.1.75) (Wax synthase 1)
g10110	411	AT5G26670.1, AT3G05910.1	AT5G26670.1	orthologue	GO:0009505;GO:0005576;GO:0071555;GO:0052793;GO:0016787	Pectin acetylesterase (EC 3.1.1.-);Pectin acetylesterase 10 (EC 3.1.1.-);Pectin acetylesterase 12 (EC 3.1.1.-)
g10111	359	AT5G26660.1	AT5G26660.1	orthologue	GO:0005634;GO:0000976;GO:0006355;GO:0045892	Myb domain protein 86;Transcription factor MYB86 (Myb homolog 4) (AtMyb4) (Myb-related protein 86) (AtMYB86)
g10112	219	AT5G26630.1	AT5G26630.1	orthologue	GO:0006355;GO:0006357;GO:0000981;GO:0046983;GO:0005634;GO:0003700;GO:0000976;GO:0000978;GO:0003677;GO:0000987;GO:0045944	MADS-box protein AGL35 (MADS-box transcription factor family protein)
g10113	736	AT3G29765.1	AT3G29765.1	other	GO:0008150;GO:0005634;;GO:0046983	General transcription factor 2-related zinc finger protein
g10114	107	AT5G26620.1	AT5G26620.1	other	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein
g10115	460	AT5G26600.1	AT5G26600.1	orthologue	GO:0009507;GO:0003674;GO:0016829	Probable L-cysteine desulfhydrase, chloroplastic (EC 4.4.1.-) (Chloroplastic cysteine desulfurase-like protein 3) (NIFS-like protein 3) (CpNifS3)
g10116	141	AT5G26749.2	AT5G26749.2	orthologue	GO:0005515;GO:0003676;GO:0005634;GO:0005689;GO:0008270;GO:0003677;GO:0046872	C2H2 and C2HC zinc fingers superfamily protein
g10117	111	AT3G05810.1	AT3G05810.1	orthologue	GO:0009507;GO:0003674	IGR motif protein
g10118	983	AT5G26860.1	AT5G26860.1	orthologue	GO:0006515;GO:0005515;GO:0051131;GO:0005759;GO:0005739;GO:0003697;GO:0007005;GO:0004176;GO:0005524;GO:0004252;GO:0016887;GO:0034599;GO:0043565;GO:0070407;GO:0006508;GO:0030163	Lon protease homolog 1, mitochondrial (EC 3.4.21.53);Lon protease homolog, mitochondrial (EC 3.4.21.53)
g10119	155	AT5G26930.1	AT5G26930.1	orthologue	GO:0006355;GO:0009416;GO:0005634;GO:0008270;GO:0000976;GO:0048527;GO:0043565	GATA transcription factor 23
g1012	1318	AT5G55390.1	AT5G55390.1	orthologue	GO:0006355;GO:0031452;GO:0141005;GO:0043565;GO:0050832;GO:0010228;GO:0009911;GO:0090436;GO:0010440;GO:0005515;GO:0040029;GO:2000024;GO:0005634;GO:0060147;GO:0035064;GO:1902290;GO:0000792;GO:0007165;GO:0031347;GO:0003700;GO:0032991;GO:0140566;GO:0008270;GO:0062072	Protein ENHANCED DOWNY MILDEW 2
g10120	317	AT5G26940.1	AT5G26940.1	orthologue	GO:0008296;GO:0009507;GO:0006308;GO:0004527;GO:0008408;GO:0003676;GO:0009536;GO:0005737;GO:0005739;GO:0046872	Exonuclease DPD1, chloroplastic/mitochondrial (EC 3.1.11.-) (Mg2+-dependent DNA exonuclease) (Protein DEFECTIVE IN POLLEN DNA DEGRADATION 1)
g10121	81	AT5G26980.1	AT5G26980.1	other	GO:0048278;GO:0006906;GO:0005515;GO:0005484;GO:0009863;GO:0005802;GO:0006896;GO:0050832;GO:0006886;GO:0031201;GO:0009658;GO:0005794;GO:0000149;GO:0007030;GO:0098629;GO:0012505;GO:0043001;GO:0030140;GO:0061025;GO:0016020;GO:0016192	Tlg2p-like protein a (AtTLG2a) (Syntaxin-41) (AtSYP41)
g10122	221	AT5G26990.1	AT5G26990.1	orthologue	GO:0005634;GO:0003674	Protein DEHYDRATION-INDUCED 19 homolog 6 (AtDi19-6)
g10123	170	AT5G27020.1	AT5G27020.1	orthologue	GO:0003674;GO:0008150;GO:0005739	F2P16.13 protein
g10124	1113	AT5G27030.2	AT5G27030.2	orthologue	GO:0005515;GO:0006355;GO:0010072;GO:0005737;GO:0005634	TOPLESS-related 3;Topless-related protein 3
g10125	277	AT5G27880.1	AT5G27880.1	orthologue	GO:0003700;GO:0006355;GO:0009507;GO:0008270	C2H2 and C2HC zinc fingers superfamily protein
g10126	187	AT3G05590.1, AT5G27850.1	AT5G27850.1	other	GO:0003729;GO:0005773;GO:0022625;GO:0022626;GO:0006412;GO:0003723;GO:0003735;GO:0009536;GO:0005737;GO:0009506;GO:0015934;GO:0005515;GO:0009507;GO:0000325;GO:0005829;GO:0005840;GO:1990904	Large ribosomal subunit protein eL18x (60S ribosomal protein L18-3);Large ribosomal subunit protein eL18y (60S ribosomal protein L18-2);Ribosomal protein L18;Ribosomal protein L18e/L15 superfamily protein
g10127	439	AT5G27620.2	AT5G27620.2	orthologue	GO:0006367;GO:0005515;GO:0006355;GO:0005634;GO:0016538;GO:0009637;GO:0009414;GO:0004672;GO:2000070;GO:0006357;GO:1990069;GO:0070985;GO:0005737;GO:0010119;GO:0072593;GO:0051301;GO:0003735;GO:0005840;GO:0006412	Cyclin-H1-1;Cyclin-H1-1 (CycH1;1)
g10128	114	AT5G27820.1	AT5G27820.1	orthologue	GO:0009507;GO:0008097;GO:0003735;GO:0006412;GO:0005840;GO:1990904	At5g27820 (Ribosomal L18p/L5e family protein)
g10129	96	AT5G27760.1	AT5G27760.1	orthologue	GO:0005739;GO:0033617;GO:0003674;GO:0098803;GO:0005746	Hypoxia-responsive family protein
g1013	698	AT5G55400.1	AT5G55400.1	orthologue	GO:0005737;GO:0051017;GO:0051639;GO:0005884;GO:0051015;GO:0032432;GO:0000325;GO:0005856;GO:0046872;GO:0005515	Fimbrin-3 (AtFIM3) (Fimbrin3)
g10130	354	AT5G27740.1	AT5G27740.1	orthologue	GO:0006261;GO:0006281;GO:0016887;GO:0009793;GO:0005634;GO:0003689;GO:0005663;GO:0003677;GO:0005524;GO:0006260	Replication factor C subunit 3 (AtRFC3) (Activator 1 subunit 3) (Protein EMBRYO DEFECTIVE 161) (Protein EMBRYO DEFECTIVE 251) (Protein EMBRYO DEFECTIVE 2775)
g10131	1203	AT5G27730.1	AT5G27730.1	orthologue	GO:0005739;GO:0003674;GO:0016020;GO:0003676;GO:0015074	Heparan-alpha-glucosaminide N-acetyltransferase-like protein (DUF1624)
g10132	172	AT5G27720.1	AT5G27720.1	orthologue	GO:0009536;GO:0000932;GO:0000387;GO:0005829;GO:0009793;GO:0005634;GO:0005688;GO:0005515;GO:0033962;GO:0097526;GO:0017070;GO:0000290;GO:0000398;GO:0003723;GO:0005681;GO:0120115;GO:1990726;GO:0000956;GO:0006396	Sm-like protein LSM4 (AtLSM4) (Protein EMBRYO DEFECTIVE 1644) (U6 snRNA-associated Sm-like protein LSM4)
g10133	82	AT5G27700.1, AT3G53890.1	AT5G27700.1	orthologue	GO:0005829;GO:0006412;GO:0022627;GO:0000461;GO:0003735;GO:0000447;GO:0005737;GO:0009536;GO:0005634;GO:0022626;GO:0009658;GO:0005840	Small ribosomal subunit protein eS21y (40S ribosomal protein S21-2);Small ribosomal subunit protein eS21z (40S ribosomal protein S21-1)
g10134	365	AT5G27690.1	AT5G27690.1	orthologue	GO:0005515;GO:0005634;GO:0046872	Heavy metal-associated isoprenylated plant protein 36 (AtHIP36)
g10135	153	AT5G27670.1	AT5G27670.1	orthologue	GO:0031507;GO:0030527;GO:0070828;GO:0009536;GO:0000786;GO:0003682;GO:0005634;GO:0046982;GO:0000792;GO:0005730;GO:0003677	Probable histone H2A.5 (HTA7)
g10136	1045	AT5G27650.1	AT5G27650.1	orthologue	GO:0035098;GO:0006355;GO:2000028;GO:0040029;GO:0005634;GO:0005515;GO:0009908	PWWP domain-containing protein 1
g10137	333	AT5G27620.2	AT5G27620.2	orthologue	GO:0006367;GO:0005515;GO:0006355;GO:0005634;GO:0016538;GO:0009637;GO:0009414;GO:0004672;GO:2000070;GO:0006357;GO:1990069;GO:0070985;GO:0005737;GO:0010119;GO:0072593;GO:0051301	Cyclin-H1-1;Cyclin-H1-1 (CycH1;1)
g10138	463	AT3G15910.1	AT3G15910.1	orthologue	GO:0005739;GO:0008150;GO:0003674;;GO:0005515	DUF1618 domain-containing protein
g10139	1383				GO:0003676;GO:0015074;GO:0008270	
g1014	83				GO:0005515	
g10140	719	AT5G27610.1	AT5G27610.1	other	GO:0070176;GO:0051726;GO:0022414;GO:0006357;GO:0006351;GO:0003677;GO:0005654;GO:0005634;GO:0000003;GO:0017053;GO:0003676	Protein ALWAYS EARLY 1 (AtALY1)
g10141	697	AT5G27600.1	AT5G27600.1	orthologue	GO:0005777;GO:0004467;GO:0006631;GO:0005515;GO:0009651;GO:0016020;GO:0005783;GO:0010193;GO:0001676;GO:0009536;GO:0005634;GO:0005524;GO:0102391	Long chain acyl-CoA synthetase 7, peroxisomal (AtLACS7) (EC 6.2.1.3)
g10142	339	AT5G27560.1	AT5G27560.1	orthologue	GO:0009507;GO:0005515;GO:0009536	DUF1995 domain protein, putative (DUF1995)
g10143	675	AT5G27540.1	AT5G27540.1	orthologue	GO:0005525;GO:0003924;GO:0009536;GO:0009860;GO:0009793;GO:0005739;GO:0005509;GO:0007005;GO:0005741	Mitochondrial Rho GTPase 1 (AtMIRO1) (EC 3.6.5.-) (Miro-related GTPase 1)
g10144	321	AT5G27520.1	AT5G27520.1	orthologue	GO:0005778;GO:0006635;GO:0005739;GO:0015866;GO:0015867;GO:0090351;GO:0005347;GO:0005777;GO:0080024;GO:0015217;GO:0007031;GO:0015297	Peroxisomal adenine nucleotide carrier 2
g10145	451	AT5G27470.1	AT5G27470.1	orthologue	GO:0006434;GO:0004828;GO:0005829;GO:0002181;GO:0009536;GO:0005737;GO:0000049;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser) synthetase)
g10146	486	AT5G27460.1	AT5G27460.1	orthologue	GO:0005739;GO:0008150;GO:0003674;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At5g27460
g10147	423	AT5G27450.1	AT5G27450.1	orthologue	GO:0019287;GO:0005524;GO:0005829;GO:0004496;GO:0016310;GO:0005737;GO:0000287;GO:0016126;GO:0008299	Mevalonate kinase (MK) (EC 2.7.1.36)
g10148	218	AT5G27440.1	AT5G27440.1	orthologue	GO:0005739;GO:0008150;GO:0003674;GO:0016020	At5g27440 (Transmembrane protein)
g10149	167	AT5G27430.1	AT5G27430.1	orthologue	GO:0006465;GO:0009505;GO:0003674;GO:0005787;GO:0005576;GO:0045047;GO:0016020	Signal peptidase complex subunit 3B (Microsomal signal peptidase 22 kDa subunit) (SPC22) (SPase 22 kDa subunit)
g1015	87					
g10150	380	AT5G27420.1	AT5G27420.1	orthologue	GO:0009507;GO:0071456;GO:0016567;GO:0098542;GO:0042742;GO:0004842;GO:0016020;GO:0043562;GO:0009737;GO:0008270	E3 ubiquitin-protein ligase ATL31 (EC 2.3.2.27) (Protein CARBON/NITROGEN INSENSITIVE 1) (Protein SUPER SURVIVAL 1) (RING-H2 finger protein ATL31) (RING-type E3 ubiquitin transferase ATL31)
g10151	378	AT5G27400.1	AT5G27400.1	orthologue	GO:0008276;GO:0005737;GO:0032259	At5g27400 (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein)
g10152	474	AT5G27350.1, AT5G27360.3	AT5G27360.3	orthologue	GO:0009624;GO:0005737;GO:0051119;GO:0055085;GO:0015144;GO:0016020;GO:0022857;GO:0009507;GO:0005739;GO:0005886;GO:0008643	Major facilitator superfamily protein;Sugar transporter ERD6-like 17 (Sugar-porter family protein 1);Sugar transporter ERD6-like 18 (Sugar-porter family protein 2)
g10153	777	AT5G27330.1	AT5G27330.1	orthologue	GO:0005783;GO:0003723;GO:0003735;GO:0022625;GO:0006412;GO:0000137;GO:0016020	Prefoldin chaperone subunit family protein
g10154	544	AT5G27150.1	AT5G27150.1	orthologue	GO:0090333;GO:0015386;GO:0015385;GO:0005576;GO:0035725;GO:0005886;GO:0055075;GO:0098719;GO:0071805;GO:0005774;GO:0006814;GO:1902600;GO:0015081;GO:0048366;GO:0006885;GO:0009651;GO:0010351;GO:0009536;GO:0005773;GO:0000325;GO:0051453;GO:0005515;GO:0000139;GO:0005516;GO:0005789;GO:0006813;GO:0016020;GO:0055085;GO:0006812;GO:0015297	Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1)
g10155	109					
g10156	698	AT5G27110.1	AT5G27110.1	orthologue	GO:0005739;GO:0043231;GO:0009451;GO:0003723;GO:0005515	Pentatricopeptide repeat-containing protein At5g27110
g10157	200	AT5G27990.1	AT5G27990.1	orthologue	GO:0000462;GO:0003674;GO:0005634	At5g27990 (Pre-rRNA-processing protein TSR2, conserved region)
g10158	338	AT5G28030.1	AT5G28030.1	orthologue	GO:0006979;GO:0005737;GO:0080146;GO:0009507;GO:0044540;GO:1990170;GO:0030170;GO:0004124;GO:0080145;GO:0006535;GO:0004123;GO:0016740	Bifunctional cystathionine gamma-lyase/cysteine synthase (EC 2.5.1.47) (EC 4.4.1.1) (Beta-substituted Ala synthase 4;3) (ARAth-Bsas4;3) (L-cysteine desulfhydrase 1) (DES1) (O-acetylserine (thiol)-lyase) (OASTL) (Protein CS-LIKE);cysteine synthase (EC 2.5.1.47)
g10159	426	AT5G28040.1	AT5G28040.1	orthologue	GO:0042742;GO:0005515;GO:0005737;GO:0006355;GO:0000976;GO:0005634	Probable transcription factor At5g28040 (Storekeeper-like protein At5g28040)
g1016	585	AT5G55490.1	AT5G55490.1	orthologue	GO:0009555;GO:0009507;GO:0042802;GO:0009793;GO:0009553;GO:0005886;GO:0016020	Gamete expressed protein 1;Protein GAMETE EXPRESSED 1
g10160	353	AT5G28050.3	AT5G28050.3	other	GO:0005737;GO:0047974;GO:0008270;GO:0016787;GO:0006152;GO:0009536;GO:0005829;GO:0005634;GO:0005576;GO:0003735;GO:0005840;GO:0006412;GO:0003824	Cytidine/deoxycytidylate deaminase family protein;Guanosine deaminase (EC 3.5.4.15) (tRNA-specific adenosine deaminase TAD4) (AtTAD4)
g10161	480	AT5G28080.2	AT5G28080.2	orthologue	GO:0006468;GO:0004674;GO:0005634;GO:0004672;GO:0005737;GO:0035556;GO:0005524;GO:0106310	Probable serine/threonine-protein kinase WNK9 (AtWNK9) (EC 2.7.11.1) (Protein kinase with no lysine 9);non-specific serine/threonine protein kinase (EC 2.7.11.1)
g10162	295	AT5G28150.1	AT5G28150.1	orthologue	GO:0003674;GO:0005634	AT5g28150/T24G3_80
g10163	303	AT5G28220.1	AT5G28220.1	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0072546;GO:0005515	ER membrane protein complex subunit 2
g10164	571	AT5G28290.1	AT5G28290.1	orthologue	GO:0005886;GO:0004672;GO:0004674;GO:0005634;GO:0016310;GO:0005524;GO:0106310;GO:0006468	Serine/threonine-protein kinase Nek3 (EC 2.7.11.1) (NimA-related protein kinase 3) (AtNek3);non-specific serine/threonine protein kinase (EC 2.7.11.1)
g10165	597	AT5G28300.1	AT5G28300.1	orthologue	GO:0045893;GO:0006355;GO:0005516;GO:0005634;GO:0000987;GO:0003700	Trihelix transcription factor GTL2 (GT2-LIKE protein 2) (AtGTL2) (Trihelix DNA-binding protein GTL2)
g10166	420				GO:0016747	
g10167	203	AT5G28490.1	AT5G28490.1	orthologue	GO:0005634;GO:0009299;GO:0010218;GO:0009826;GO:0009416;GO:0010114;GO:0090698;GO:0009637;GO:0003674;GO:0003677	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 1 (Protein ORGAN BOUNDARY 2)
g10168	372	AT5G28590.1	AT5G28590.1	orthologue	GO:0005575;GO:0003674;GO:0008150;GO:0003680;GO:0005634	AT-hook motif nuclear-localized protein
g10169	141	AT5G28610.1, AT5G28630.1	AT5G28610.1	other	GO:0003674;GO:0005575;GO:0004386	Glycine-rich protein;LOW protein: ATP-dependent RNA helicase DRS1-like protein
g1017	540	AT5G55500.1	AT5G55500.1	orthologue	GO:0006487;GO:0018279;GO:0005576;GO:0000139;GO:0000138;GO:0035252;GO:0031204;GO:0005797;GO:0050513;GO:0005794;GO:0042285;GO:0048367;GO:0016757	Beta-1,2-xylosyltransferase (AtXYLT) (EC 2.4.2.38)
g10170	206	AT5G28640.1	AT5G28640.1	other	GO:0005515;GO:0003713;GO:0010468;GO:0048825;GO:0045944;GO:0048366;GO:0005634;GO:0051301;GO:0008283;GO:0009955;GO:0010449	GRF1-interacting factor 1 (AtGIF1) (Protein ANGUSTIFOLIA 3) (Transcription coactivator GIF1);SSXT family protein
g10171	110					
g10172	191	AT5G28646.1	AT5G28646.1	orthologue	GO:0055028;GO:0001578;GO:0000226;GO:0005634;GO:0010091;GO:0009825;GO:0007163;GO:0008017;GO:0005737;GO:0005874	Protein WAVE-DAMPENED 2 (AtWVD2);TPX2 (Targeting protein for Xklp2) protein family
g10173	336	AT5G28650.1	AT5G28650.1	orthologue	GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005516	Probable WRKY transcription factor 74 (WRKY DNA-binding protein 74)
g10174	864	AT5G28680.1	AT5G28680.1	orthologue	GO:0004714;GO:0016324;GO:0009860;GO:0004672;GO:0004674;GO:0005886;GO:0090404;GO:0005576;GO:0005515;GO:0005524;GO:0106310;GO:0006468	Receptor-like protein kinase ANXUR2 (EC 2.7.11.1)
g10175	1126	AT5G28740.1	AT5G28740.1	orthologue	GO:0000349;GO:0000398;GO:0009536;GO:0005634;GO:0003674;GO:0071014;GO:0000974;GO:0071007;GO:0005515;GO:0006396	Tetratricopeptide repeat (TPR)-like superfamily protein
g10176	141	AT5G28750.1	AT5G28750.1	orthologue	GO:0009535;GO:0032594;GO:0043953;GO:0009941;GO:0009507;GO:0033281;GO:0016020;GO:0042803;GO:0051260;GO:0015031	Sec-independent protein translocase protein TATA, chloroplastic (Protein THYLAKOID ASSEMBLY 4) (Protein TWIN-ARGININE TRANSLOCATION A)
g10177	318	AT5G28770.2	AT5G28770.2	orthologue	GO:0009267;GO:0006355;GO:0005515;GO:0046982;GO:0071333;GO:0019900;GO:0005634;GO:0071215;GO:0003700;GO:0009649;GO:0042802;GO:0003677;GO:0046983	BZIP transcription factor family protein;Basic leucine zipper 63 (AtbZIP63) (bZIP protein 63) (Basic leucine zipper OPAQUE 2 homolog 3) (Basic leucine zipper O2 homolog 3)
g10178	392	AT5G28840.1	AT5G28840.1	orthologue	GO:0009536;GO:0047918;GO:0019853;GO:0005515;GO:0005829;GO:0010494;GO:0005794;GO:0051287	GDP-mannose 3,5-epimerase (GDP-Man 3,5-epimerase) (EC 5.1.3.18)
g10179	586	AT5G28850.2	AT5G28850.2	other	GO:0005634;GO:0019888;GO:0000159;GO:0005509;GO:0006470	Serine/threonine protein phosphatase 2A regulatory subunit B''beta (AtB''beta) (Serine/threonine protein phosphatase 2A regulatory subunit B'' beta 1 isoform) (PP2A, B'' subunit, beta 1 isoform)
g1018	828	AT5G55520.1	AT5G55520.1	orthologue	GO:0009507;GO:0003674	Kinesin-like protein
g10180	650	AT3G04470.1	AT3G04470.1	other	GO:0003674;GO:0005634;GO:0005737;GO:0005789;GO:0005515	Ankyrin repeat family protein (T27C4.12 protein)
g10181	537	AT5G28960.1, AT5G28910.2	AT5G28910.2	orthologue	GO:0036071;GO:0005739;GO:0006487;GO:0046921;GO:0005575;GO:0016020	Alpha-(1,6)-fucosyltransferase;Alpha-(1,6)-fucosyltransferase (At5g28910)
g10182	417	AT5G30510.1	AT5G30510.1	orthologue	GO:0003729;GO:0009579;GO:0009536;GO:0009570;GO:0009507;GO:0003735;GO:0006412;GO:0005840;GO:1990904;GO:0003676	Small ribosomal subunit protein bS1c (30S ribosomal protein S1, chloroplastic) (Plastid ribosomal protein S1) (PRPS1)
g10183	303	AT5G49620.2	AT5G49620.2	orthologue	GO:0005634;GO:0006355;GO:0000976;GO:0009737;GO:0003700;GO:0043565;GO:0005515;GO:1902074	Transcription factor MYB78 (Myb-related protein 78) (AtMYB78)
g10184	243	AT5G49540.1	AT5G49540.1	orthologue	GO:0000045;GO:0003674;GO:0072546	ER membrane protein complex subunit 6
g10185	367	AT1G34070.1	AT1G34070.1	orthologue	GO:0008150;GO:0003674;GO:0005575	Copia-like polyprotein/retrotransposon (F12G12.10 protein)
g10186	401	AT5G49520.1	AT5G49520.1	orthologue	GO:0009617;GO:0045893;GO:0003677;GO:0003700;GO:0042742;GO:0005634;GO:0000976;GO:0006355;GO:0043565	Probable WRKY transcription factor 48 (WRKY DNA-binding protein 48)
g10187	1362				GO:0003676;GO:0008270;GO:0015074	
g10188	199	AT5G49510.1	AT5G49510.1	orthologue	GO:0007017;GO:0071370;GO:0009651;GO:0006457;GO:0005634;GO:0006397;GO:0005515;GO:0005737;GO:0043622;GO:0007021;GO:0015631;GO:0009631;GO:0016272;GO:0009409	Prefoldin subunit 3 (Gene involved in microtubule biogenesis 2)
g10189	163	AT5G49480.1	AT5G49480.1	orthologue	GO:0009507;GO:0042538;GO:0005829;GO:0009536;GO:0005509	Calcium-binding protein CP1 (NaCl-inducible Ca2+-binding protein) (AtCP1)
g1019	306	AT5G55560.1	AT5G55560.1	orthologue	GO:0016310;GO:0005886;GO:0004674;GO:0005737;GO:0035556;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Probable serine/threonine-protein kinase WNK11 (AtWNK11) (EC 2.7.11.1) (Protein kinase with no lysine 11)
g10190	145	AT5G49450.1	AT5G49450.1	orthologue	GO:0046982;GO:0043565;GO:0000976;GO:0003700;GO:0006970;GO:0071333;GO:0045893;GO:0009617;GO:0005515;GO:0005634;GO:0009651;GO:0009901;GO:0010182;GO:0006521;GO:0009267;GO:0006355	Basic leucine zipper 1 (AtbZIP1) (bZIP protein 1)
g10191	1744	AT5G49430.1	AT5G49430.1	orthologue	GO:0005634;GO:0080008;GO:0008360;GO:0007010;GO:0006357;GO:0003674;GO:0005515	WD40/YVTN repeat and Bromo-WDR9-I-like domain-containing protein
g10192	141	AT5G49410.1	AT5G49410.1	orthologue	GO:0003674;GO:0008150;GO:0005739	At5g49410 (Gb|AAF36742.1) (Thiamine-phosphate synthase)
g10193	280	AT5G49400.1	AT5G49400.1	orthologue	GO:0005634;GO:0003674	At5g49400 (Zinc knuckle (CCHC-type) family protein)
g10194	773	AT5G49360.1	AT5G49360.1	orthologue	GO:0010214;GO:0045493;GO:0005576;GO:0009044;GO:0009832;GO:0048046;GO:0031222;GO:0046556;GO:0009536;GO:0004553;GO:0005975	Beta-D-xylosidase 1 (AtBXL1) (EC 3.2.1.-) (Alpha-L-arabinofuranosidase) (EC 3.2.1.55)
g10195	458	AT5G49340.1	AT5G49340.1	orthologue	GO:0016413;GO:0008150;GO:0005794;GO:0016020;GO:0016740	Protein trichome birefringence-like 4
g10196	71					
g10197	93					
g10198	87					
g10199	304	AT5G49330.1	AT5G49330.1	orthologue	GO:0009416;GO:0005634;GO:0000987;GO:0005515;GO:0010224;GO:0051555;GO:0006355;GO:0003700;GO:1900386;GO:0003677	Transcription factor MYB111 (Myb-related protein 111) (AtMYB111) (Protein PRODUCTION OF FLAVONOL GLYCOSIDES 3)
g102	384	AT5G67480.2	AT5G67480.2	orthologue	GO:0009753;GO:0042542;GO:0009733;GO:0005515;GO:0006355;GO:0000325;GO:0009739;GO:0009611;GO:0005737;GO:0009751;GO:0009651;GO:0005516;GO:0005576;GO:0016567;GO:0008270	BTB/POZ and TAZ domain-containing protein 4 (BTB and TAZ domain protein 4)
g1020	194	AT1G18050.1	AT1G18050.1	orthologue	GO:0003723;GO:0005686;GO:0071004;GO:0045292;GO:0071013;GO:0005634	SWAP/surp RNA-binding domain protein
g10200	504	AT3G06720.1	AT3G06720.1	other	GO:0006607;GO:0005730;GO:0005515;GO:0005635;GO:0006606;GO:0005634;GO:0061608;GO:0008139;GO:0009505;GO:0005737;GO:0009651;GO:0071555;GO:2000280	Importin subunit alpha-1 (IMPa-1) (Karyopherin subunit alpha-1) (KAP-alpha-1)
g10201	143	AT5G49300.1	AT5G49300.1	orthologue	GO:0000976;GO:0006355;GO:0003700;GO:0005634;GO:0008270;GO:0043565	GATA transcription factor 16
g10202	165	AT5G49280.1	AT5G49280.1	orthologue	GO:0016020;GO:0003674	At5g49280 (Extensin like protein) (Hydroxyproline-rich glycoprotein family protein)
g10203	664	AT5G49270.1	AT5G49270.1	orthologue	GO:0048768;GO:0010053;GO:0052324;GO:0010215;GO:0005886;GO:0048765;GO:0009932;GO:0016020;GO:0003674;GO:0098552	COBRA-like protein 9
g10204	422	AT5G49240.1	AT5G49240.1	orthologue	GO:0000160;GO:0009736;GO:0005737;GO:0003700;GO:0000156;GO:0003677;GO:0005634;GO:0006355	Putative two-component response regulator-like APRR4 (Pseudo-response regulator 4)
g10205	419	AT5G49220.1	AT5G49220.1	orthologue	GO:0005634;GO:0003674	Uncharacterized protein At5g49220
g10206	1493	ATMG00860.1	ATMG00860.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0015074;GO:0003676	Uncharacterized mitochondrial protein AtMg00860 (ORF158)
g10207	447	AT5G49215.1	AT5G49215.1	orthologue	GO:0004650;GO:0005975;GO:0005576;GO:0016829	Pectin lyase-like superfamily protein
g10208	203	AT5G49210.1	AT5G49210.1	orthologue	GO:0005515;GO:0005575	AT5g49210/K21P3_8 (Stress response NST1-like protein);Stress response NST1-like protein
g10209	131					
g1021	534	AT4G26640.2	AT4G26640.2	other	GO:0005634;GO:0000976;GO:0006355;GO:0009611;GO:0045893;GO:0003700;GO:0009961;GO:0043565;GO:0046872	Probable WRKY transcription factor 20 (WRKY DNA-binding protein 20);WRKY family transcription factor family protein
g10210	77					
g10211	1508	AT4G13610.1, AT4G08990.1, AT4G14140.2	AT4G08990.1	orthologue	GO:0006346;GO:0003886;GO:0009793;GO:0003677;GO:0044027;GO:0005634;GO:0003682;GO:0009294;GO:0032259;GO:0008168;GO:0010424	DNA (cytosine-5)-methyltransferase 2 (EC 2.1.1.37) (DNA methyltransferase 2) (DNA methyltransferase IIb);DNA (cytosine-5)-methyltransferase 3 (EC 2.1.1.37) (DNA methyltransferase 3) (DNA methyltransferase III) (Protein MATERNAL EFFECT EMBRYO ARREST 57);DNA (cytosine-5)-methyltransferase 4 (EC 2.1.1.37) (DNA methyltransferase 4) (DNA methyltransferase IIa) (DMT02) (MET02)
