Arabis_alpina	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Aa_G1010450.h2.t1	65	AT4G04800.1, AT4G04810.1, AT4G04830.1, AT4G04840.1, AT4G21830.1, AT4G21840.1, AT4G21850.1, AT4G21860.1	AT4G04800.1	other	GO:0000304;GO:0030091;GO:0034599;GO:0005737;GO:0005739;GO:0033743;GO:0008113;GO:0005829;GO:0009507;GO:0009631;GO:0005634;GO:0005783;GO:0005886;GO:0009570;GO:0006979;GO:0046872;GO:0016671	Methionine sulfoxide reductase B4;Methionine sulfoxide reductase B5;Peptide methionine sulfoxide reductase B2, chloroplastic (AtMSRB2) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductasemethionine);Peptide methionine sulfoxide reductase B3 (AtMSRB3) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B4 (AtMSRB4) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B5 (AtMSRB5) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B6 (AtMSRB6) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B7 (AtMSRB7) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B8 (AtMSRB8) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase);Peptide methionine sulfoxide reductase B9 (AtMSRB9) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)
Aa_G1010560.h1.t1	255	AT3G03480.1	AT3G03480.1	orthologue	GO:0005575;GO:0016747;GO:0010597;GO:0010327;GO:0102165	(Z)-3-hexen-1-ol acetyltransferase (EC 2.3.1.195)
Aa_G1010670.h1.t1	108	AT5G16580.1	AT5G16580.1	orthologue	GO:0008422;GO:0005575;GO:0005975	Putative beta-glucosidase 2 (AtBGLU2) (EC 3.2.1.21)
Aa_G101070.h1.t1	31					
Aa_G1010780.h1.t1	249	ATMG00860.1	ATMG00860.1	other	GO:0003674;GO:0005739;GO:0008150	Uncharacterized mitochondrial protein AtMg00860 (ORF158)
Aa_G101080.h1.t1	215					
Aa_G101090.h1.t1	52					
Aa_G10110.h1.t1	134	AT2G21180.1	AT2G21180.1	orthologue	GO:0003674;GO:0005575;GO:0016020	At2g21180/F26H11.6 (Expressed protein) (Transmembrane protein)
Aa_G101100.h1.t1	400	AT1G77660.1	AT1G77660.1	other	GO:0003674;GO:0009507;GO:0008168;GO:0016020;GO:0032259	Histone H3 K4-specific methyltransferase SET7/9 family protein
Aa_G101110.h1.t1	332	AT1G60360.1	AT1G60360.1	orthologue	GO:0061630;GO:0005737;GO:0016567;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Aa_G101120.h1.t1	122	AT2G25720.1	AT2G25720.1	orthologue	GO:0005730;GO:0003674	At2g25720 (Expressed protein)
Aa_G101130.h1.t1	197					
Aa_G1011330.h1.t1	131					
Aa_G1011330.h2.t1	131					
Aa_G101140.h1.t1	292	AT1G44890.1	AT1G44890.1	orthologue	GO:0009555;GO:0005743;GO:0032979;GO:0005739;GO:0032977	At1g44890 (Inner membrane OXA1-like protein)
Aa_G101150.h1.t1	479	AT1G43970.1	AT1G43970.1	orthologue	GO:0008150;GO:0003674;GO:0009507	Uncharacterized protein
Aa_G1011990.h1.t1	75	AT3G48190.2	AT3G48190.2	other	GO:0007129;GO:0008380;GO:0006974;GO:0032204;GO:0051321;GO:0010332;GO:0009506;GO:0006303;GO:0006281;GO:0010212;GO:0005634;GO:0043247;GO:0045003;GO:0004674;GO:0000285;GO:0033044;GO:0048609;GO:0005515;GO:0003677;GO:0005524;GO:0106310	Serine/threonine-protein kinase ATM (EC 2.7.11.1);Serine/threonine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated homolog) (AtATM)
Aa_G10120.h1.t1	315	AT2G21170.1	AT2G21170.1	orthologue	GO:0009579;GO:0009570;GO:0006094;GO:0006096;GO:0009658;GO:0004807;GO:0046166;GO:0080022;GO:0019253;GO:0009507;GO:0009941;GO:0005829;GO:0048046;GO:0019563;GO:0048609;GO:0005739;GO:0006642	Triosephosphate isomerase;Triosephosphate isomerase, chloroplastic (TIM) (Triose-phosphate isomerase) (EC 5.3.1.1)
Aa_G1012540.h1.t1	71					
Aa_G101260.h1.t1	524	AT3G09260.1	AT3G09260.1	orthologue	GO:0008422;GO:0015928;GO:0006970;GO:0005777;GO:0019762;GO:0009506;GO:0031348;GO:0019760;GO:0002020;GO:0042803;GO:0005783;GO:0070417;GO:0005634;GO:0000325;GO:0009651;GO:0042344;GO:0010168;GO:0019137;GO:0005515;GO:0005975;GO:0009610;GO:0005507;GO:0042343;GO:0009507;GO:0005829;GO:0080119;GO:0005788;GO:0004553	Beta-glucosidase 23 (AtBGLU23) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.1)
Aa_G101270.h1.t1	462	AT3G09260.1	AT3G09260.1	orthologue	GO:0008422;GO:0015928;GO:0006970;GO:0005777;GO:0019762;GO:0009506;GO:0031348;GO:0019760;GO:0002020;GO:0042803;GO:0005783;GO:0070417;GO:0005634;GO:0000325;GO:0009651;GO:0042344;GO:0010168;GO:0019137;GO:0005515;GO:0005975;GO:0009610;GO:0005507;GO:0042343;GO:0009507;GO:0005829;GO:0080119;GO:0005788;GO:0004553	Beta-glucosidase 23 (AtBGLU23) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.1)
Aa_G101280.h1.t1	524	AT1G66270.1, AT1G66280.1	AT1G66280.1	orthologue	GO:0005783;GO:0005739;GO:0005975;GO:0008422;GO:0019762;GO:0070417;GO:0071472;GO:0009507;GO:0009506;GO:0009651;GO:0016036;GO:0000325;GO:0006970;GO:0009804;GO:0005788;GO:0004553	Beta-glucosidase 21 (AtBGLU21) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.2);Beta-glucosidase 22 (AtBGLU22) (EC 3.2.1.21)
Aa_G101290.h1.t1	526	AT1G66270.1, AT1G66280.1	AT1G66280.1	orthologue	GO:0005783;GO:0005739;GO:0005975;GO:0008422;GO:0019762;GO:0070417;GO:0071472;GO:0009507;GO:0009506;GO:0009651;GO:0016036;GO:0000325;GO:0006970;GO:0009804;GO:0005788;GO:0004553	Beta-glucosidase 21 (AtBGLU21) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.2);Beta-glucosidase 22 (AtBGLU22) (EC 3.2.1.21)
Aa_G10130.h1.t1	258	AT2G21160.1	AT2G21160.1	orthologue	GO:0005783;GO:0009535;GO:0008150;GO:0005886;GO:0000325;GO:0005739;GO:0005576;GO:0003674;GO:0005794;GO:0005773;GO:0005789	Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha);Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha) (SSR-alpha)
Aa_G101300.h1.t1	336	AT1G66270.1, AT1G66280.1	AT1G66280.1	orthologue	GO:0005783;GO:0005739;GO:0005975;GO:0008422;GO:0019762;GO:0070417;GO:0071472;GO:0009507;GO:0009506;GO:0009651;GO:0016036;GO:0000325;GO:0006970;GO:0009804;GO:0005788;GO:0004553	Beta-glucosidase 21 (AtBGLU21) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.2);Beta-glucosidase 22 (AtBGLU22) (EC 3.2.1.21)
Aa_G101310.h1.t1	244	AT3G09250.2	AT3G09250.2	orthologue	GO:0009507;GO:0005634;GO:0003674;GO:0005515	F3L24.12 protein (Nuclear transport factor 2 (NTF2) family protein);Nuclear transport factor 2 (NTF2) family protein
Aa_G101320.h1.t1	491	AT3G09240.3	AT3G09240.3	orthologue	GO:0005829;GO:0005634;GO:0003674;GO:0004674;GO:0005524;GO:0005886;GO:0009742;GO:0106310;GO:0004672;GO:0006468;GO:0005515	Serine/threonine-protein kinase BSK (EC 2.7.11.1) (Brassinosteroid-signaling kinase)
Aa_G101330.h1.t1	353	AT3G09230.1	AT3G09230.1	orthologue	GO:0005634;GO:0006355;GO:0000981;GO:0003677;GO:0003700;GO:0000978;GO:0000976;GO:0005829	Transcription factor MYB1 (Myb-related protein 1) (AtMYB1)
Aa_G1013310.h1.t1	123					
Aa_G101340.h1.t1	564	AT3G09220.1	AT3G09220.1	orthologue	GO:0005576;GO:0052716;GO:0005507;GO:0016491;GO:0046274;GO:0048046	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase);Laccase-7 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 7) (Diphenol oxidase 7) (Urishiol oxidase 7)
Aa_G101350.h1.t1	334	AT3G09210.1	AT3G09210.1	orthologue	GO:0140673;GO:0009507;GO:0003674;GO:0042644;GO:0006354;GO:0031564	AT3g09210/F3L24_8 (Plastid transcriptionally active 13)
Aa_G101360.h1.t1	323	AT3G11250.1, AT3G09200.1	AT3G09200.1	other	GO:0005737;GO:0022626;GO:0009506;GO:0010043;GO:0002181;GO:0005829;GO:0003729;GO:0042742;GO:0022625;GO:0003735;GO:0042254;GO:0070180;GO:0005634;GO:0046686;GO:0005730;GO:0005507;GO:1990904;GO:0005840;GO:0000027	60S acidic ribosomal protein P0;Large ribosomal subunit protein uL10x (60S acidic ribosomal protein P0-3);Large ribosomal subunit protein uL10y (60S acidic ribosomal protein P0-2)
Aa_G101370.h1.t1	52					
Aa_G101380.h1.t1	361	AT3G09110.1	AT3G09110.1	other	GO:0008150;GO:0003674;GO:0005575	DUF674 family protein
Aa_G101390.h1.t1	656	AT3G09100.2	AT3G09100.2	orthologue	GO:0003910;GO:0005524;GO:0006370;GO:0005634;GO:0006281;GO:0009506;GO:0004484;GO:0006470;GO:0140818;GO:0006310;GO:0004721;GO:0005525;GO:0016311	AT3g09100/MZB10_13 (mRNA capping enzyme family protein);mRNA guanylyltransferase (EC 2.7.7.50)
Aa_G10140.h1.t1	337	AT2G21150.1	AT2G21150.1	orthologue	GO:0010099;GO:0009637;GO:0035196;GO:0042752;GO:0010114;GO:0003674;GO:0006325;GO:0005634;GO:0009873;GO:0048511	Protein XAP5 CIRCADIAN TIMEKEEPER
Aa_G101400.h1.t1	897	AT3G09090.1	AT3G09090.1	orthologue	GO:0016020;GO:0010584;GO:0005783;GO:0010208;GO:0005509;GO:0000137;GO:0005829;GO:0005886;GO:0071555;GO:0005515	Protein DEFECTIVE IN EXINE FORMATION 1
Aa_G1014080.h1.t1	148					
Aa_G101410.h1.t1	114	AT3G09085.1	AT3G09085.1	orthologue	GO:0003674;GO:0008150;GO:0005739;GO:0016020	At3g09085 (Transmembrane protein (DUF962))
Aa_G101420.h1.t1	1093	AT3G09080.3	AT3G09080.3	orthologue	GO:0080008;GO:0003674;GO:0005634;GO:0005737;GO:0008150;;GO:0005515	MZB10.11 protein (Transducin/WD40 repeat-like superfamily protein);Transducin/WD40 repeat-like superfamily protein
Aa_G101430.h1.t1	657	AT3G09070.1	AT3G09070.1	orthologue	GO:0005886;GO:0010088;GO:0010588;GO:0016324;GO:2000280;GO:0009742;GO:0005737;GO:0009507;GO:0005634;GO:0010233;GO:0022622;GO:0005515;GO:0030154	Protein OCTOPUS
Aa_G101440.h1.t1	355	AT3G09060.1	AT3G09060.1	orthologue	GO:0008150;GO:0005739;GO:0009507;GO:0003729;;GO:0005515	Pentatricopeptide repeat-containing protein At3g09060
Aa_G101450.h1.t1	260	AT3G09050.1	AT3G09050.1	orthologue	GO:0009535;GO:0003674;GO:0009507	8-amino-7-oxononanoate synthase (At3g09050) (MZB10.8 protein)
Aa_G101460.h1.t1	889	AT3G09040.2	AT3G09040.2	orthologue	GO:0009451;GO:0003723;GO:0005739;GO:0005515	Pentatricopeptide repeat (PPR) superfamily protein;Pentatricopeptide repeat-containing protein At3g09040, mitochondrial
Aa_G1014630.h1.t1	132				GO:0003824;GO:0000257;GO:0018822;GO:0051410	
Aa_G101470.h1.t1	58					
Aa_G101480.h1.t1	326	AT3G09150.2	AT3G09150.2	orthologue	GO:0016636;GO:0009507;GO:0010019;GO:0010024;GO:0050897;GO:0050619	Phytochromobilin:ferredoxin oxidoreductase, chloroplast / phytochromobilin synthase (HY2);Phytochromobilin:ferredoxin oxidoreductase, chloroplastic (EC 1.3.7.4) (PFB synthase) (PPhiB synthase) (Phytochromobilin synthase)
Aa_G101490.h1.t1	406	AT3G09180.1	AT3G09180.1	orthologue	GO:0005634;GO:0003713;GO:0006357;GO:0016592	Mediator of RNA polymerase II transcription subunit;Mediator of RNA polymerase II transcription subunit 27 (Mediator of RNA polymerase II transcription subunit 3)
Aa_G10150.h1.t1	321	AT2G21140.1	AT2G21140.1	orthologue	GO:0003674;GO:0009664;GO:0009505;GO:0005576	Proline-rich protein 2 (AtPRP2)
Aa_G101500.h1.t1	241					
Aa_G101510.h1.t1	54	AT3G08850.1	AT3G08850.1	other	GO:0010507;GO:0080008;GO:0009267;GO:0010506;GO:0009793;GO:0005515;GO:0030307;GO:0030674;GO:0010492;GO:0031931;GO:0071230;GO:0031929;GO:0005737;GO:0009507;GO:0019900	Regulatory-associated protein of TOR 1 (Protein RAPTOR 1) (Protein RAPTOR 1B) (AtRaptor1b)
Aa_G1015400.h1.t1	13					
Aa_G1015400.h2.t1	13					
Aa_G1015510.h1.t1	178					
Aa_G1015620.h1.t1	77					
Aa_G1015730.h1.t1	177	AT2G09388.1	AT2G09388.1	other	GO:0005575;GO:0003674;GO:0008150	Uncharacterized protein
Aa_G1015840.h1.t1	200	AT5G38990.1, AT5G39000.1	AT5G39000.1	other	GO:0004672;GO:0004714;GO:0010038;GO:0009536;GO:0016310;GO:0016301;GO:0005886;GO:0005576;GO:0004674;GO:0005524;GO:0016020;GO:0006468	Probable receptor-like protein kinase At5g38990 (EC 2.7.11.-);Putative receptor-like protein kinase At5g39000 (EC 2.7.11.-)
Aa_G1015950.h1.t1	156	AT5G24550.1, AT5G24540.1	AT5G24550.1	other	GO:0008422;GO:0005975;GO:0019762;GO:0009651;GO:0051707;GO:0005575;GO:0004553;GO:0009507	Beta glucosidase 31;Beta-glucosidase 31 (AtBGLU31) (EC 3.2.1.21);Beta-glucosidase 32 (AtBGLU32) (EC 3.2.1.21)
Aa_G101620.h1.t1	380					
Aa_G1016280.h1.t1	77					
Aa_G101640.h1.t1	258	AT1G70410.2	AT1G70410.2	orthologue	GO:0005886;GO:2000122;GO:0015976;GO:0009507;GO:0005829;GO:0009941;GO:0008270;GO:0010037;GO:0010119;GO:0005515;GO:0004089;GO:0005739;GO:0005737	Beta carbonic anhydrase 4 (AtbCA4) (AtbetaCA4) (EC 4.2.1.1) (Beta carbonate dehydratase 4)
Aa_G101650.h1.t1	263	AT1G70420.1	AT1G70420.1	orthologue	GO:0003674;GO:0005575;GO:0005634;GO:0016874	At1g70420/F17O7_4 (DNA ligase-like protein, putative (DUF1645)) (F17O7.4)
Aa_G101660.h1.t1	686	AT1G70430.3	AT1G70430.3	orthologue	GO:0005737;GO:0005634;GO:0005524;GO:0016310;GO:0043539;GO:0004672;GO:0009507;GO:0006468;GO:0005515	Protein kinase superfamily protein
Aa_G101670.h1.t1	306	AT1G70440.1	AT1G70440.1	orthologue	GO:0005634;GO:0003950	Probable inactive poly [ADP-ribose] polymerase SRO3 (Protein SIMILAR TO RCD ONE 3)
Aa_G1016720.h1.t1	228					
Aa_G101680.h1.t1	679	AT1G70460.1	AT1G70460.1	orthologue	GO:0005634;GO:0006995;GO:0016036;GO:0004674;GO:0019901;GO:1990641;GO:0005524;GO:0005886;GO:0106310;GO:0004672;GO:0006468	Proline-rich receptor-like protein kinase PERK13 (EC 2.7.11.1) (Proline-rich extensin-like receptor kinase 13) (AtPERK13) (Protein ROOT HAIR SPECIFIC 10)
Aa_G101690.h1.t1	155	AT1G70470.1	AT1G70470.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0016020	At1g70470 (Transmembrane protein)
Aa_G10170.h1.t1	108	AT2G39780.1	AT2G39780.1	orthologue	GO:0010507;GO:0005576;GO:0005773;GO:0005622;GO:0033897;GO:0004521;GO:0000325;GO:0006401;GO:0016075;GO:0005783;GO:0003723;GO:0010168	Ribonuclease 2;Ribonuclease 2 (EC 4.6.1.19)
Aa_G101700.h1.t1	323	AT1G70480.2	AT1G70480.2	orthologue	GO:0005634;GO:0009707;GO:0009507;GO:0009695;GO:0005261	OBP32pep, putative (DUF220)
Aa_G1017050.h1.t1	255	AT1G66880.1	AT1G66880.1	other	GO:0071456;GO:0030247;GO:0005576;GO:0004674;GO:0005524;GO:0005886;GO:0106310	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.4 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-1.4);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Aa_G101710.h1.t1	181	AT1G70490.1	AT1G70490.1	orthologue	GO:0006886;GO:0006499;GO:0005525;GO:0016192;GO:0005737;GO:0005794;GO:0005739;GO:0005886;GO:0003924;GO:0016004;GO:0000325;GO:0003729;GO:0015031	ADP-ribosylation factor 2-B (AtARF2) (ARF1-like protein U5)
Aa_G1017160.h1.t1	158	AT5G03390.1	AT5G03390.1	orthologue	GO:0003674;GO:0009507	At5g03390
Aa_G1017160.h2.t1	158	AT5G03390.1	AT5G03390.1	orthologue	GO:0003674;GO:0009507	At5g03390
Aa_G1017160.h3.t1	158	AT5G03390.1	AT5G03390.1	orthologue	GO:0003674;GO:0009507	At5g03390
Aa_G1017160.h4.t1	158	AT5G03390.1	AT5G03390.1	orthologue	GO:0003674;GO:0009507	At5g03390
Aa_G101720.h1.t1	559	AT1G70500.1	AT1G70500.1	other	GO:0009507;GO:0005975;GO:0004650;GO:0005576;GO:0016829;GO:0071555;GO:0003677;GO:0006355	endo-polygalacturonase (EC 3.2.1.15)
Aa_G101730.h1.t1	326	AT1G70505.1	AT1G70505.1	orthologue	GO:0003674;GO:0009507;GO:0016020	Transmembrane protein
Aa_G1017490.h1.t1	80					
Aa_G1017820.h1.t1	199					
Aa_G1017930.h1.t1	28					
Aa_G10180.h1.t1	70	AT1G14840.1	AT1G14840.1	other	GO:0007010;GO:0008017;GO:0005874;GO:0005737	Microtubule-associated protein 70-4 (AtMAP70-4) (70 kDa microtubule-associated protein 4);Microtubule-associated proteins 70-4
Aa_G1018040.h1.t1	81	AT5G65500.2	AT5G65500.2	orthologue	GO:0005524;GO:0004842;GO:0016567;GO:0004672;GO:0005634	Putative U-box domain-containing protein 50 (EC 2.3.2.27) (Plant U-box protein 50) (RING-type E3 ubiquitin transferase PUB50);RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Aa_G1018150.h1.t1	258	AT5G43360.1	AT5G43360.1	orthologue	GO:0055085;GO:0005737;GO:0005886;GO:0005315;GO:0006817;GO:0015293;GO:0016020;GO:0022857	Probable inorganic phosphate transporter 1-3 (AtPht1;3) (H(+)/Pi cotransporter)
Aa_G1018150.h2.t1	258	AT5G43360.1	AT5G43360.1	orthologue	GO:0055085;GO:0005737;GO:0005886;GO:0005315;GO:0006817;GO:0015293;GO:0016020;GO:0022857	Probable inorganic phosphate transporter 1-3 (AtPht1;3) (H(+)/Pi cotransporter)
Aa_G1018260.h1.t1	114	AT2G05642.1	AT2G05642.1	other	GO:0000724;GO:0007004;GO:0006289;GO:0043047;GO:0006281;GO:0003684;GO:0051321;GO:0005662;GO:0006310;GO:0009507;GO:0005634;GO:0006260;GO:0008270	Nucleic acid-binding, OB-fold-like protein
Aa_G101840.h1.t1	132					
Aa_G101850.h1.t1	574	AT5G51710.1	AT5G51710.1	orthologue	GO:0071805;GO:0015386;GO:1902600;GO:0009507;GO:0015079;GO:0000139;GO:0016020;GO:0006812;GO:0015297;GO:0055085	K(+) efflux antiporter 5 (AtKEA5);K+ efflux antiporter 5
Aa_G1018590.h1.t1	123					
Aa_G101860.h1.t1	185	AT5G51700.1	AT5G51700.1	orthologue	GO:0002679;GO:0042742;GO:0009626;GO:0005515;GO:0050832;GO:0005634;GO:0051879;GO:0008270;GO:0050821;GO:0005737;GO:0006952;GO:0046872	Cysteine and histidine-rich domain-containing protein RAR1;Cysteine and histidine-rich domain-containing protein RAR1 (AtRAR1) (CHORD domain-containing protein RAR1) (Protein PPHB SUSCEPTIBLE 2) (Protein REQUIRED FOR MLA12 RESISTANCE 1)
Aa_G101870.h1.t1	489	AT5G51690.1	AT5G51690.1	orthologue	GO:0004069;GO:0009058;GO:0005737;GO:0006520;GO:0008793;GO:0030170;GO:0008483;GO:0016847;GO:0003824	1-amino-cyclopropane-1-carboxylate synthase 12;Probable aminotransferase ACS12 (EC 2.6.1.-)
Aa_G101880.h1.t1	335	AT5G51680.1	AT5G51680.1	orthologue	GO:0005634;GO:0003674	Hydroxyproline-rich glycoprotein family protein
Aa_G101890.h1.t1	470	AT5G51670.1	AT5G51670.1	orthologue	GO:0003674;GO:0005739;GO:0045927	Similarity to unknown protein
Aa_G10190.h1.t1	102	AT1G47540.2, AT2G43510.1, AT2G43520.1, AT2G43535.1	AT2G43520.1	other	GO:0004867;GO:0006952;GO:0005576;GO:0019871;GO:0099503;GO:0050832;GO:0031640;GO:0008200	Defensin-like protein 192 (Trypsin inhibitor ATTI-7);Defensin-like protein 193 (Trypsin inhibitor ATTI-2);Defensin-like protein 195 (ATTp) (Trypsin inhibitor ATTI-1) (diDi 4T-1);Defensin-like protein 196 (Trypsin inhibitor ATTI-4);Scorpion toxin-like knottin superfamily protein
Aa_G101900.h1.t1	1440	AT5G51660.1	AT5G51660.1	orthologue	GO:0005634;GO:0005515;GO:0003676;GO:0003723;GO:0006397	Cleavage and polyadenylation specificity factor 160;Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (AtCPSF160) (CPSF 160 kDa subunit)
Aa_G1019030.h1.t1	25					
Aa_G1019030.h2.t1	25					
Aa_G1019030.h3.t1	25					
Aa_G101910.h1.t1	694	AT5G51600.1	AT5G51600.1	other	GO:0009624;GO:0009524;GO:0000226;GO:0005737;GO:0009574;GO:0055028;GO:0000911;GO:0046785;GO:0008017;GO:0000280;GO:0005874;GO:0005819;GO:0052096;GO:0005634	65-kDa microtubule-associated protein 3 (AtMAP65-3) (Protein PLEIADE)
Aa_G101920.h1.t1	430	AT5G51590.1	AT5G51590.1	orthologue	GO:0005634;GO:0005515;GO:0003680;GO:0010089;GO:0010051	AT-hook motif nuclear-localized protein 4
Aa_G1019360.h1.t1	57				GO:0008168;GO:0032259;GO:0001510;GO:0002181;GO:0005737;GO:0008173;GO:0008175;GO:0030488	
Aa_G1019360.h2.t1	57				GO:0008168;GO:0032259;GO:0001510;GO:0002181;GO:0005737;GO:0008173;GO:0008175;GO:0030488	
Aa_G1019360.h3.t1	57				GO:0008168;GO:0032259;GO:0001510;GO:0002181;GO:0005737;GO:0008173;GO:0008175;GO:0030488	
Aa_G1019360.h4.t1	57				GO:0008168;GO:0032259;GO:0001510;GO:0002181;GO:0005737;GO:0008173;GO:0008175;GO:0030488	
Aa_G101950.h1.t1	233	AT5G51585.1	AT5G51585.1	orthologue	GO:0003674;GO:0005634;GO:0016020	Transmembrane protein
Aa_G1019580.h1.t1	199	AT5G10570.1	AT5G10570.1	orthologue	GO:0006355;GO:0005634;GO:0046983;GO:0003700;GO:0043565;GO:0003677	Transcription factor bHLH61 (Basic helix-loop-helix protein 61) (AtbHLH61) (bHLH 61) (Transcription factor EN 46) (bHLH transcription factor bHLH061)
Aa_G101960.h1.t1	291	AT5G51570.1	AT5G51570.1	orthologue	GO:0009536;GO:0009506;GO:0005794;GO:0000325;GO:0005737;GO:0005886;GO:0005773;GO:0003674	Hypersensitive-induced response protein 4 (AtHIR4)
Aa_G1019690.h1.t1	52					
Aa_G101970.h1.t1	680	AT5G51560.1	AT5G51560.1	orthologue	GO:0005576;GO:0004672;GO:0005524;GO:0045088;GO:0016020;GO:0006468;GO:0005515	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Aa_G1020.h1.t1	297	AT3G15290.1	AT3G15290.1	orthologue	GO:0005737;GO:0005777;GO:0006631;GO:0004300;GO:0070403;GO:0016616;GO:0016491	3-hydroxyacyl-CoA dehydrogenase family protein;3-hydroxyacyl-CoA dehydrogenase family protein (3-hydroxybutyryl-CoA dehydrogenase-like protein) (Putative 3-hydroxybutyryl-CoA dehydrogenase)
Aa_G10200.h1.t1	331	AT1G72920.1, AT1G72930.1	AT1G72920.1	orthologue	GO:0009507;GO:0005737;GO:0005515;GO:0005634;GO:0007165;GO:0005739;GO:0061809;GO:0009506;GO:0071456;GO:0009611;GO:0003674;GO:0006952;GO:0043531	Similar to part of disease resistance protein (Toll-Interleukin-Resistance (TIR) domain family protein);Toll/interleukin-1 receptor-like protein (AtTIR)
Aa_G1020020.h1.t1	55	AT1G08830.1	AT1G08830.1	other	GO:0071472;GO:0019430;GO:0034599;GO:0005829;GO:0071493;GO:0071280;GO:0006979;GO:0010193;GO:0009651;GO:0071329;GO:0005515;GO:0071484;GO:0035195;GO:0004784;GO:0005737;GO:0071457;GO:0042742;GO:0005507;GO:0005634;GO:0010039;GO:0046688;GO:0006801;GO:0046872	Superoxide dismutase [Cu-Zn] 1 (EC 1.15.1.1) (Copper/zinc superoxide dismutase 1)
Aa_G1020020.h2.t1	55	AT1G08830.1	AT1G08830.1	other	GO:0071472;GO:0019430;GO:0034599;GO:0005829;GO:0071493;GO:0071280;GO:0006979;GO:0010193;GO:0009651;GO:0071329;GO:0005515;GO:0071484;GO:0035195;GO:0004784;GO:0005737;GO:0071457;GO:0042742;GO:0005507;GO:0005634;GO:0010039;GO:0046688;GO:0006801;GO:0046872	Superoxide dismutase [Cu-Zn] 1 (EC 1.15.1.1) (Copper/zinc superoxide dismutase 1)
Aa_G1020130.h1.t1	44	AT5G03430.1	AT5G03430.1	other	GO:0003919;GO:0006747;GO:0005737	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase)
Aa_G1020240.h1.t1	256				GO:0003968;GO:0030422;GO:0031380	
Aa_G1020350.h1.t1	115				GO:0005771;GO:0032511	
Aa_G1020460.h1.t1	217				GO:0004190;GO:0006508;GO:0003676;GO:0008270	
Aa_G1020790.h1.t1	184	AT4G26010.2	AT4G26010.2	orthologue	GO:0004601;GO:0020037;GO:0006979;GO:0035618;GO:0009505;GO:0140825;GO:0005739;GO:0005576;GO:0006950;GO:0042744;GO:0046872	Peroxidase (EC 1.11.1.7);Peroxidase 44 (Atperox P44) (EC 1.11.1.7) (ATP35)
Aa_G102080.h1.t1	938	AT5G48390.1	AT5G48390.1	orthologue	GO:0007143;GO:0000712;GO:0090173;GO:0007140;GO:0009507;GO:0003674;GO:0005634;GO:0005694;GO:0007129;GO:0071139;GO:0005515;GO:0051321	TPR repeat-containing protein ZIP4 (Protein SPO22 homolog) (AtSPO22) (Protein ZIP4 homolog) (AtZIP4)
Aa_G102090.h1.t1	556	AT5G48385.1	AT5G48385.1	orthologue	GO:0009536;GO:0005515;GO:0005634;GO:0009908;GO:0030154	FRIGIDA-like protein 3
Aa_G1020900.h1.t1	136	AT5G28235.1	AT5G28235.1	other	GO:0005886;GO:0006508;GO:0008234	F26C17.9 protein (Ulp1 protease family protein)
Aa_G10210.h1.t1	410	AT1G72890.2	AT1G72890.2	orthologue	GO:0005737;GO:0006952;GO:0034052;GO:0007165;GO:0043531;GO:0005515;GO:0016020	Disease resistance protein (TIR-NBS class)
Aa_G102100.h1.t1	52					
Aa_G1021010.h1.t1	42					
