Capsella_rubella	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_006279310.2	365	AT5G28235.1	AT5G28235.1	orthologue	GO:0005886;GO:0006508;GO:0008234;GO:0005634;GO:0016926;GO:0016929	F26C17.9 protein (Ulp1 protease family protein)
XP_006279329.2	512	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT3G51700.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737;GO:0000723;GO:0003678;GO:0006281	PIF1 helicase
XP_006279330.1	159	AT5G01880.1	AT5G01880.1	orthologue	GO:0061630;GO:0016567;GO:0005575;GO:0003674;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL74 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL74)
XP_006279331.1	967	AT5G01890.1	AT5G01890.1	orthologue	GO:0005515;GO:0016301;GO:0004672;GO:0005886;GO:0005524;GO:0006468;GO:0033612	Leucine-rich repeat receptor-like protein kinase PXC2 (Protein PXY/TDR-CORRELATED 2)
XP_006279332.2	464	AT5G01930.1	AT5G01930.1	orthologue	GO:0016985;GO:0005886;GO:0009845;GO:0005576;GO:0000272;GO:0004553	Mannan endo-1,4-beta-mannosidase 6 (EC 3.2.1.78) (Beta-mannanase 6) (Endo-beta-1,4-mannanase 6) (AtMAN6)
XP_006279334.1	264	AT5G01900.1	AT5G01900.1	orthologue	GO:0042742;GO:0006355;GO:0003700;GO:0009863;GO:0005515;GO:0043565;GO:0005634	Probable WRKY transcription factor 62 (WRKY DNA-binding protein 62)
XP_006279335.1	229	AT5G01840.1	AT5G01840.1	orthologue	GO:0051510;GO:0005515;GO:0016049;GO:0045892;GO:0005634;GO:0071548;GO:0043622;GO:0005730;GO:0005856;GO:0003677;GO:0006281	Transcription repressor OFP1 (Ovate family protein 1) (AtOFP1)
XP_006279336.1	410	AT5G01020.1	AT5G01020.1	orthologue	GO:0004674;GO:0005575;GO:0005524;GO:0005886;GO:0006952;GO:0106310;GO:0004672;GO:0006468	Probable serine/threonine-protein kinase PBL8 (EC 2.7.11.1) (PBS1-like protein 8)
XP_006279339.1	141	AT5G02000.1	AT5G02000.1	orthologue	GO:0005634;GO:0003674;GO:0008150	Uncharacterized protein T7H20_50
XP_006279340.1	493	AT5G01920.1	AT5G01920.1	orthologue	GO:0009507;GO:0042549;GO:0009579;GO:0004672;GO:0004674;GO:0005634;GO:0005524;GO:0009534;GO:0106310;GO:0006468	Serine/threonine-protein kinase STN8, chloroplastic (EC 2.7.11.1) (Protein STATE TRANSITION 8)
XP_006279341.2	144	AT5G01881.1	AT5G01881.1	orthologue	GO:0003674;GO:0005739;GO:0016020	Transmembrane protein
XP_006279342.1	366	AT5G01970.1	AT5G01970.1	orthologue	GO:0012506;GO:0005634;GO:0080115	Heat-inducible transcription repressor
XP_006279343.2	491	AT5G01980.1	AT5G01980.1	orthologue	GO:0006511;GO:0061630;GO:0005634;GO:0008270;GO:0016020;GO:0005737;GO:0016567	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_006279345.1	228	AT5G01860.1	AT5G01860.1	orthologue	GO:0009788;GO:0003700;GO:0006355;GO:0009507;GO:0005634;GO:0008270	C2H2 and C2HC zinc fingers superfamily protein (Putative zinc finger protein)
XP_006279346.1	434	AT5G01010.2	AT5G01010.2	orthologue	GO:0005739;GO:0003674	AT5G01010 protein (Retinal-binding protein);Retinal-binding protein
XP_006279348.1	417	AT5G30510.1	AT5G30510.1	orthologue	GO:0003729;GO:0009579;GO:0009536;GO:0009570;GO:0009507;GO:0003735;GO:0006412;GO:0005840;GO:1990904;GO:0003676	Small ribosomal subunit protein bS1c (30S ribosomal protein S1, chloroplastic) (Plastid ribosomal protein S1) (PRPS1)
XP_006279350.1	237	AT5G30490.1	AT5G30490.1	orthologue	GO:0005634;GO:0003674;GO:0006338;GO:0000812	At5g30145 (Craniofacial development-like protein) (Putative bcnt)
XP_006279357.1	665	AT3G42170.1	AT3G42170.1	orthologue	GO:0046983;GO:0003677;GO:0005515;GO:0005829;GO:0009791;GO:0005634;GO:0008270	BED zinc finger and hAT dimerization domain-containing protein DAYSLEEPER;Zinc finger BED domain-containing protein DAYSLEEPER (Transposase-like protein DAYSLEEPER)
XP_006279358.1	468	AT3G42180.1	AT3G42180.1	orthologue	GO:0005634;GO:0005576;GO:0016757;GO:0005739;GO:0006486;GO:0000139;GO:0071555;GO:0009101	Exostosin family protein;Probable glycosyltransferase At3g42180 (EC 2.4.-.-)
XP_006279360.1	948	AT3G42640.1	AT3G42640.1	orthologue	GO:0016887;GO:0120029;GO:0008553;GO:0005886;GO:0051453;GO:1902600;GO:0005524;GO:0046872;GO:0005215;GO:0016020;GO:0000166	ATPase 8, plasma membrane-type (EC 7.1.2.1) (Proton pump 8)
XP_006279364.2	145	AT3G44716.1	AT3G44716.1	orthologue	GO:0005739;GO:0008150;GO:0003674	Uncharacterized protein
XP_006279365.1	493	AT3G44540.1	AT3G44540.1	orthologue	GO:0043231;GO:0009651;GO:0080019;GO:0010345;GO:0009507;GO:0050062;GO:0009611;GO:0035336;GO:0102965;GO:0006629	Fatty acyl-CoA reductase (EC 1.2.1.84);Probable fatty acyl-CoA reductase 4 (EC 1.2.1.84)
XP_006279367.1	1131	AT3G44690.1	AT3G44690.1	orthologue	GO:0003674;GO:0008150;GO:0005739	FIP1[V]-like protein
XP_006279368.2	1239	AT3G44670.1, AT3G44480.3, AT3G44630.3, AT3G44400.1, AT3G25510.1	AT3G44480.3	other	GO:0005634;GO:0042742;GO:0043531;GO:0007165;GO:0009626;GO:0002229;GO:0006952;GO:0016887;GO:0005737;GO:0005575;GO:0030275;GO:0002239;GO:0000139;GO:0006499;GO:0061809;GO:0005789;GO:0005886;GO:0002758;GO:0005524;GO:0034052;GO:0050832;GO:0140376;GO:0016787;GO:0098542;GO:0051707	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Probable disease resistance protein RPP1 (Probable NAD(+) hydrolase RPP1) (EC 3.2.2.6) (Protein RECOGNITION OF PERONOSPORA PARASITICA 1)
XP_006279376.1	453	AT3G44610.1	AT3G44610.1	orthologue	GO:0009638;GO:0005886;GO:0005515;GO:0005634;GO:0009630;GO:0004672;GO:0005737;GO:0004674;GO:0016301;GO:0005524;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_006279377.1	426	AT3G44680.1	AT3G44680.1	orthologue	GO:0005634;GO:0004407;GO:0040029;GO:0043565;GO:1900055;GO:0010187;GO:0005515;GO:0008270;GO:0005829;GO:0005737;GO:0006325;GO:0141221;GO:0016575	Histone deacetylase 9 (AtHDAC9) (EC 3.5.1.98)
XP_006279379.2	495	AT5G22420.1	AT5G22420.1	orthologue	GO:0005634;GO:0010345;GO:0102965;GO:0035336;GO:0043231;GO:0080019;GO:0009507;GO:0006629	Fatty acyl-CoA reductase (EC 1.2.1.84);Putative fatty acyl-CoA reductase 7
XP_006279381.2	1339	AT3G44670.1, AT3G44480.3, AT3G44630.3, AT3G44400.1, AT3G25510.1	AT3G44630.3	other	GO:0005634;GO:0042742;GO:0043531;GO:0007165;GO:0009626;GO:0002229;GO:0006952;GO:0016887;GO:0005737;GO:0005575;GO:0030275;GO:0002239;GO:0000139;GO:0006499;GO:0061809;GO:0005789;GO:0005886;GO:0002758;GO:0005524;GO:0034052;GO:0050832;GO:0140376;GO:0016787;GO:0098542;GO:0051707	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Probable disease resistance protein RPP1 (Probable NAD(+) hydrolase RPP1) (EC 3.2.2.6) (Protein RECOGNITION OF PERONOSPORA PARASITICA 1)
XP_006279382.1	102	AT3G44750.1	AT3G44750.1	orthologue	GO:0009944;GO:0004407;GO:0005515;GO:0010162;GO:0048364;GO:0005730;GO:0005634;GO:0009294;GO:0006325;GO:0008270;GO:0016787	Histone deacetylase 3;Histone deacetylase HDT1 (HD-tuins protein 1) (Histone deacetylase 2a) (AtHD2A)
XP_006279383.1	86	AT3G44735.1	AT3G44735.1	orthologue	GO:0008283;GO:0005576;GO:0003674;GO:0008083;GO:0030154	Putative phytosulfokines 6 (AtPSK3_2) (AtPSK6) [Cleaved into: Phytosulfokine-alpha-like (PSK-alpha-like) (Phytosulfokine-a-like); Phytosulfokine-beta (PSK-beta) (Phytosulfokine-b)]
XP_006279385.1	113	AT3G44590.1	AT3G44590.1	orthologue	GO:0002182;GO:0022626;GO:0003674;GO:0005829;GO:0022625;GO:0099503;GO:0003735;GO:0005840;GO:0006414	Large ribosomal subunit protein P2w (60S acidic ribosomal protein P2-4)
XP_006279387.1	496	AT3G44550.1	AT3G44550.1	orthologue	GO:0035336;GO:0009651;GO:0080019;GO:0043231;GO:0009611;GO:0050062;GO:0010345;GO:0102965;GO:0006629	Fatty acyl-CoA reductase (EC 1.2.1.84);Probable fatty acyl-CoA reductase 5 (EC 1.2.1.84)
XP_006279388.1	425	AT3G44720.1	AT3G44720.1	orthologue	GO:0006952;GO:0009507;GO:0009094;GO:0047769;GO:0005737;GO:0004664;GO:0009570	Arogenate dehydratase 4, chloroplastic (AtADT4) (EC 4.2.1.91)
XP_006279395.2	632	AT3G44600.1	AT3G44600.1	orthologue	GO:0031507;GO:0045814;GO:0006457;GO:0048453;GO:0048440;GO:0009909;GO:0010338;GO:0010082;GO:0005634;GO:0042393;GO:0003682;GO:0009933;GO:0003755;GO:0080008;GO:0010305;GO:0006338;GO:0010358;GO:0048443;GO:0000413;GO:0005515	Peptidyl-prolyl cis-trans isomerase CYP71 (PPIase CYP71) (EC 5.2.1.8) (Cyclophilin of 71 kDa) (Cyclophilin-71) (AtCYP71)
XP_006279396.1	97	AT5G47890.1	AT5G47890.1	orthologue	GO:0045271;GO:0009507;GO:0009536;GO:0008150;GO:0003674;GO:0005739;GO:0005743;GO:0005747	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2
XP_006279397.1	921	AT5G47910.1	AT5G47910.1	orthologue	GO:0005509;GO:0072593;GO:0005886;GO:0016174;GO:0050832;GO:0007231;GO:0071456;GO:0005634;GO:0005515;GO:0043069;GO:0005794;GO:0009611;GO:0033500;GO:0006952;GO:0009408;GO:0009536;GO:0004601;GO:0050664;GO:0016020;GO:0016491	Respiratory burst oxidase homolog protein D (EC 1.11.1.-) (EC 1.6.3.-) (NADPH oxidase RBOHD) (AtRBOHD)
XP_006279398.2	436	AT5G47880.1	AT5G47880.1	orthologue	GO:0005737;GO:0003747;GO:0018444;GO:0006415;GO:0016149;GO:0005829;GO:0002184;GO:0009536;GO:1990825	Eukaryotic peptide chain release factor subunit 1-1 (Eukaryotic release factor 1-1) (eRF1-1) (Omnipotent suppressor protein 1 homolog 1) (SUP1 homolog 1)
XP_006279403.1	444	AT2G22650.1	AT2G22650.1	orthologue	GO:0005634;GO:0009507;GO:0005737	FAD-dependent oxidoreductase family protein
XP_006279406.1	949	AT2G07560.1	AT2G07560.1	orthologue	GO:1902600;GO:0051453;GO:0008553;GO:0120029;GO:0005886;GO:0016887;GO:0005515;GO:0005524;GO:0046872;GO:0016020;GO:0000166;GO:0005215	ATPase 6, plasma membrane-type (EC 7.1.2.1) (Proton pump 6)
XP_006279410.1	438	AT2G07180.1	AT2G07180.1	orthologue	GO:0009507;GO:0016310;GO:0004674;GO:0005524;GO:0005886;GO:0006952;GO:0106310;GO:0004672;GO:0006468	Probable serine/threonine-protein kinase PBL17 (EC 2.7.11.1) (PBS1-like protein 17)
XP_006279422.2	734	AT2G07690.1	AT2G07690.1	orthologue	GO:0006270;GO:0000347;GO:0003697;GO:0003688;GO:0005634;GO:0043138;GO:0005737;GO:0006268;GO:0000785;GO:0042555;GO:0000727;GO:0005515;GO:0017116;GO:0004386;GO:0005524;GO:0016887;GO:0003677;GO:0006260	DNA replication licensing factor MCM5 (EC 3.6.4.12);DNA replication licensing factor MCM5 (EC 3.6.4.12) (Minichromosome maintenance protein 5) (AtMCM5)
XP_006279425.1	2610	AT1G64790.2	AT1G64790.2	orthologue	GO:0009507;GO:0006417;GO:0042742;GO:0045087;GO:0005634;GO:0009682;GO:0034198;GO:0019887;GO:0005829;GO:0009627;GO:0015631	ILITYHIA;Protein ILITYHIA
XP_006279426.2	162	AT1G64850.1	AT1G64850.1	orthologue	GO:0009536;GO:0005509;GO:0048306	At1g64850/F13O11_15 (Calcium-binding EF hand family protein) (F13O11.15 protein)
XP_006279430.1	432	AT1G64830.1	AT1G64830.1	orthologue	GO:0004190;GO:0008150;GO:0005576;GO:0006508	Eukaryotic aspartyl protease family protein (F13O11.13 protein)
XP_006279431.1	110	AT1G64800.1	AT1G64800.1	orthologue	GO:0003677;GO:0006355;GO:0005634;GO:0003700	DNA binding / transcription factor
XP_006279433.1	500	AT1G64820.1	AT1G64820.1	orthologue	GO:0016020;GO:1990961;GO:0005886;GO:0022857;GO:0015297;GO:0042910;GO:0055085	Protein DETOXIFICATION 7 (AtDTX7) (Multidrug and toxic compound extrusion protein 7) (MATE protein 7)
XP_006279439.2	86	AT3G61110.1	AT3G61110.1	other	GO:0022627;GO:0000028;GO:0003729;GO:0003735;GO:0005737;GO:0022626;GO:0006412;GO:0003723;GO:0009506;GO:0005840;GO:0009505;GO:0008270	Small ribosomal subunit protein eS27y (40S ribosomal protein S27-2)
XP_006279441.2	366	AT4G36840.1	AT4G36840.1	other	GO:0005634;GO:0003674;;GO:0005515	Galactose oxidase/kelch repeat superfamily protein
XP_006279442.1	323	AT2G29880.1, AT5G27260.1, AT1G30140.1, AT5G35540.1	AT5G27260.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0003677;GO:0016020	Myb/SANT-like DNA-binding domain protein;Transmembrane protein;Uncharacterized protein At2g29880
XP_006279444.1	1108	AT1G07910.2	AT1G07910.2	orthologue	GO:0005634;GO:0010928;GO:0006388;GO:0004113;GO:0005737;GO:0003972;GO:0009507;GO:0051731;GO:0003729;GO:0004519;GO:0005524;GO:0006412;GO:0009734;GO:0016301;GO:0042245;GO:0046872	RNAligase;tRNA ligase 1 (AtRLG1) (AtRNL) (AtRlg1p) (EC 6.5.1.3) (Protein AT.I.24-9)
XP_006279451.1	439	AT5G04920.1	AT5G04920.1	orthologue	GO:0032509;GO:0005769;GO:0005515;GO:0043130;GO:0000814;GO:0043328;GO:0031902;GO:0009793;GO:0032266;GO:0016192;GO:0005770;GO:0071985;GO:0009507;GO:0007033;GO:0090351;GO:0005886;GO:0015031	Vacuolar protein sorting-associated protein 36 (AtVPS36) (ESCRT-II complex subunit VPS36)
XP_006279456.2	352	AT3G32980.1	AT3G32980.1	orthologue	GO:0020037;GO:0005576;GO:0140825;GO:0000325;GO:0009651;GO:0009505;GO:0006979;GO:0042744;GO:0046872;GO:0004601	Peroxidase 32 (Atperox P32) (EC 1.11.1.7) (ATP16a) (PRXR3)
XP_006279460.1	134	AT3G30580.1	AT3G30580.1	orthologue	GO:0005634;GO:0005737;GO:0009736;GO:0009690;GO:0003674;GO:0009691	Protein SOB FIVE-LIKE 3 (AtSOFL3)
XP_006279463.1	117	AT3G30725.1	AT3G30725.1	orthologue	GO:0080143;GO:0003674;GO:0005575;GO:0006865;GO:0016020	Protein GLUTAMINE DUMPER 6
XP_006279465.1	1376	AT5G60040.2	AT5G60040.2	orthologue	GO:0005634;GO:0006351;GO:0003899;GO:0003677;GO:0000428;GO:0005739;GO:0009536;GO:0046872	DNA-directed RNA polymerase III subunit 1 (DNA-directed RNA polymerase III subunit RPC1) (DNA polymerase I subunit C1) (EC 2.7.7.6) (Nuclear RNA polymerase C1);DNA-directed RNA polymerase subunit (EC 2.7.7.6)
XP_006279466.2	1318	AT5G55390.1	AT5G55390.1	orthologue	GO:0006355;GO:0031452;GO:0141005;GO:0043565;GO:0050832;GO:0010228;GO:0009911;GO:0090436;GO:0010440;GO:0005515;GO:0040029;GO:2000024;GO:0005634;GO:0060147;GO:0035064;GO:1902290;GO:0000792;GO:0007165;GO:0031347;GO:0003700;GO:0032991;GO:0140566;GO:0008270;GO:0062072	Protein ENHANCED DOWNY MILDEW 2
XP_006279470.1	1090	AT5G56040.2	AT5G56040.2	orthologue	GO:0080092;GO:0005515;GO:0004674;GO:0001653;GO:0044024;GO:0009266;GO:0016301;GO:0042802;GO:0010082;GO:0005886;GO:0006468;GO:0005524;GO:0010074;GO:0042277;GO:0004672	Leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4 (EC 2.7.11.1) (Protein RECEPTOR OF RGF1 2) (Protein RGF1 INSENSITIVE 4) (Protein STERILITY-REGULATING KINASE MEMBER 2)
XP_006279471.1	1006	AT5G42540.2	AT5G42540.2	orthologue	GO:0071035;GO:0010587;GO:0060149;GO:0000967;GO:0004534;GO:0000956;GO:0005634;GO:0003676;GO:0008270;GO:0003723;GO:0006397;GO:0006139;GO:0004527	5'-3' exoribonuclease (EC 3.1.13.-);5'-3' exoribonuclease 2 (AtXRN2) (EC 3.1.13.-) (Protein EXORIBONUCLEASE 2)
XP_006279472.1	990	AT5G57710.1	AT5G57710.1	orthologue	GO:0080167;GO:0005737;GO:0009845;GO:0005515;GO:0005524;GO:0016887;GO:0090351;GO:0005634;GO:1902347	Protein SUPPRESSOR OF MAX2 1 (AtSMXL1)
XP_006279473.1	909	AT5G54830.1	AT5G54830.1	orthologue	GO:0005802;GO:0003674;GO:0005794;GO:0005768;GO:0016020;GO:0046872	Cytochrome b561, DM13 and DOMON domain-containing protein At5g54830 (Protein b561A.tha1)
XP_006279474.1	906	AT5G59900.1	AT5G59900.1	orthologue	GO:0003674;GO:0008150;GO:0009507;;GO:0005515;GO:0003729	Putative pentatricopeptide repeat-containing protein At5g59900
XP_006279475.1	870	AT5G53480.1	AT5G53480.1	orthologue	GO:0005515;GO:0006606;GO:0061608;GO:0005737;GO:0008139;GO:0015031;GO:0005634;GO:0140142;GO:0031267;GO:0006886	Importin subunit beta-1 (Karyopherin subunit beta-1) (ATKPNB1)
XP_006279476.2	810	AT5G65500.2	AT5G65500.2	orthologue	GO:0005524;GO:0004842;GO:0016567;GO:0004672;GO:0005634;GO:0006468	Putative U-box domain-containing protein 50 (EC 2.3.2.27) (Plant U-box protein 50) (RING-type E3 ubiquitin transferase PUB50);RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_006279478.2	763	AT5G59100.1	AT5G59100.1	orthologue	GO:0008150;GO:0004252;GO:0005576;GO:0006508;GO:0008236	Subtilisin-like protease SBT4.4 (EC 3.4.21.-) (Subtilase subfamily 4 member 4) (AtSBT4.4)
XP_006279481.1	693	AT5G55920.1	AT5G55920.1	orthologue	GO:0000470;GO:0070475;GO:0010015;GO:0051301;GO:0009965;GO:0009383;GO:0005634;GO:0005730;GO:0001510;GO:0003723;GO:0006364;GO:0008173;GO:0008757;GO:0042127;GO:0090069;GO:0006396;GO:0008168	25S rRNA (cytosine-C(5))-methyltransferase NOP2A (EC 2.1.1.-) (Nucleolar protein 2A) (Protein OLIGOCELLULA 2) (tRNA methyltransferase 4c) (AtTRM4c)
XP_006279482.1	681	AT5G51560.1	AT5G51560.1	orthologue	GO:0005576;GO:0004672;GO:0005524;GO:0045088;GO:0016020;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_006279483.1	670	AT5G65690.2	AT5G65690.2	orthologue	GO:0004612;GO:0006094;GO:0005737;GO:0005829;GO:0005524;GO:0016301;GO:0046872;GO:0004611;GO:0017076	Phosphoenolpyruvate carboxykinase (ATP) 2 (PEP carboxykinase 2) (PEPCK 2) (EC 4.1.1.49);phosphoenolpyruvate carboxykinase (ATP) (EC 4.1.1.49)
XP_006279484.1	660	AT5G45800.1	AT5G45800.1	orthologue	GO:0009793;GO:0009625;GO:0009733;GO:0006970;GO:0045088;GO:0004672;GO:0046777;GO:0004674;GO:0005515;GO:0005886;GO:0005516;GO:0005524;GO:0106310;GO:0006468	Calmodulin-binding receptor kinase CaMRLK (EC 2.7.11.1) (Calmodulin-binding receptor-like kinase) (AtCaMRLK) (Protein MATERNAL EFFECT EMBRYO ARREST 62)
XP_006279485.1	659	AT5G53060.1	AT5G53060.1	orthologue	GO:0070878;GO:0009867;GO:0031053;GO:0005515;GO:0010468;GO:0006970;GO:0010286;GO:0005737;GO:1900150;GO:0005634;GO:0010445;GO:0003729;GO:0003723;GO:0016020;GO:0006397;GO:0008380;GO:0016607;GO:0003676	RNA-binding KH domain-containing protein;RNA-binding KH domain-containing protein RCF3 (Protein ENHANCED STRESS RESPONSE 1) (Protein HIGH OSMOTIC STRESS GENE EXPRESSION 5) (Protein REGULATOR OF CBF GENE EXPRESSION 3) (Protein SHINY 1)
XP_006279487.1	596	AT5G58700.1	AT5G58700.1	orthologue	GO:0051209;GO:0035556;GO:0004435;GO:0005739;GO:0005886;GO:0048015;GO:0005829;GO:0016042;GO:0006629;GO:0007165;GO:0008081	Phosphoinositide phospholipase C 4 (EC 3.1.4.11) (Phosphoinositide phospholipase PLC4) (AtPLC4) (PI-PLC4)
XP_006279490.1	414	AT5G47720.2	AT5G47720.2	orthologue	GO:0016125;GO:0009507;GO:0005737;GO:0003985;GO:0005739;GO:0016747;GO:0005777;GO:0046872;GO:0016746;GO:0006635	Acetyl-CoA acetyltransferase 1 (EC 2.3.1.9) (Acetoacetyl-CoA thiolase 1) (Thiolase 1);Thiolase family protein
XP_006279491.1	399	AT5G56340.1	AT5G56340.1	orthologue	GO:0061630;GO:0005737;GO:0005634;GO:0016567;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_006279493.1	366	AT5G47390.1	AT5G47390.1	orthologue	GO:0006355;GO:0045892;GO:0009737;GO:0009646;GO:0000976;GO:2000377;GO:0090697;GO:0000122;GO:0009723;GO:0030307;GO:0005515;GO:0048366;GO:0005634;GO:0048527;GO:0003700;GO:0010150;GO:0140964;GO:0009739;GO:0008270;GO:0003677;GO:0003676	Transcription factor KUA1 (Myb-related protein H) (AtMYBH) (AtMYBS3) (MYBS3-homolog protein) (Protein KUODA1)
XP_006279494.1	350	AT5G42420.1	AT5G42420.1	orthologue	GO:0005886;GO:0055085;GO:0022857;GO:0005794;GO:0015297;GO:0005459;GO:0000139;GO:0016020	Nucleotide-sugar transporter family protein;UDP-rhamnose/UDP-galactose transporter 3 (UDP-Rha/UDP-Gal transporter 3) (Bi-functional UDP-rhamnose/UDP-galactose transporter)
XP_006279495.1	246	AT5G66440.1	AT5G66440.1	orthologue	GO:0003674;GO:0005634;GO:0016020	tRNA-methyltransferase non-catalytic subunit trm6MTase subunit
XP_006279496.1	239	AT5G57440.1	AT5G57440.1	orthologue	GO:0043136;GO:0000121;GO:0005829;GO:0050308;GO:0006114;GO:0009507;GO:0005739;GO:0016311;GO:0046872;GO:0016791	(DL)-glycerol-3-phosphatase 2 (EC 3.1.3.21) (Glycerol-1-phosphatase 2) (Haloacid dehalogenase-like hydrolase domain-containing protein GPP2)
XP_006279497.2	220	AT5G65260.1	AT5G65260.1	orthologue	GO:0003729;GO:0016607;GO:0005515;GO:0005634;GO:0008143;GO:0005737;GO:0003723;GO:0003676	Polyadenylate-binding protein 2 (AtPabN2) (AtPabN3) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 2) (Poly(A)-binding protein II) (PABII)
XP_006279498.1	217	AT5G54470.1	AT5G54470.1	orthologue	GO:0071456;GO:0009409;GO:0006355;GO:0000976;GO:0005515;GO:0005634;GO:0009555;GO:0003700;GO:0008270	At5g54470 (B-box type zinc finger family protein)
XP_006279499.1	197	AT5G66590.1	AT5G66590.1	orthologue	GO:0005615;GO:0005576;GO:0003674	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein (Similarity to pathogenesis-related protein)
XP_006279501.1	166	AT5G47610.1	AT5G47610.1	orthologue	GO:0003674;GO:0061630;GO:0005634;GO:0016567;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL79 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL79)
XP_006279503.1	149	AT5G65480.1	AT5G65480.1	orthologue	GO:0005886;GO:0005515;GO:0035091;GO:0005634	AT5g65480/K19O4_1
XP_006279504.1	121	AT5G48335.1	AT5G48335.1	orthologue	GO:0005515;GO:0005634	At5g48335
XP_006279505.1	103	AT1G07660.1, AT1G07820.1, AT2G28740.1, AT3G45930.1, AT3G46320.1, AT3G53730.1, AT5G59690.1, AT5G59970.1	AT5G59970.1	other	GO:0000786;GO:0005777;GO:0005730;GO:0009414;GO:0003677;GO:0005634;GO:0003674;GO:0005829;GO:0005515;GO:0030527;GO:0009536;GO:0000325;GO:0046982;GO:0009507;GO:0005576;GO:0005886;GO:0009506;GO:0009579;GO:0006334	Histone H4
XP_006279506.2	60	AT5G56540.1	AT5G56540.1	orthologue	GO:0005515;GO:0005886;GO:0016020;GO:0048767;GO:0098552	Arabinogalactan protein 14 (AtAGP14) (Arabinogalactan peptide 14) (AG-peptide 14)
XP_006279507.2	79	AT5G44585.1	AT5G44585.1	orthologue	GO:0045168;GO:0002213;GO:2000280;GO:0080027;GO:0009617;GO:0009695;GO:0009759;GO:0005515;GO:0009664;GO:0051510;GO:0010082;GO:1903409;GO:1900424;GO:0009625;GO:2000378;GO:0048046;GO:1900150;GO:2000377;GO:0005783;GO:0009611;GO:0005576;GO:0030275;GO:0033612;GO:0005886	Serine rich endogenous peptide 12 (AtSCOOP12) (Phytocytokine SCOOP12) (Precursor of serine rich endogenous peptide phytocytokine 12)
XP_006279508.1	592	AT5G57200.1	AT5G57200.1	orthologue	GO:0005546;GO:0000149;GO:0072583;GO:0048268;GO:0030136;GO:0005545;GO:0005905;GO:0006900;GO:0009536;GO:0030276;GO:0032050;GO:0005634;GO:0005794;GO:0005543	Putative clathrin assembly protein At5g57200
XP_006279512.1	331	AT5G44310.2	AT5G44310.2	orthologue	GO:0005575;GO:0003674	Late embryogenesis abundant protein (LEA) family protein;Late embryogenesis abundant protein (LEA) family protein (Late embryogenesis abundant protein-like)
XP_006279513.1	79	AT1G49540.2	AT1G49540.2	other	GO:2000024;GO:0008284;GO:0031349;GO:0005634;GO:0009737;GO:0002098;GO:0031538;GO:0003674;GO:0006979;GO:0033588;GO:0005737;GO:0006952;GO:0009738;GO:0080090;GO:0005515	Elongator complex protein 2;Elongator complex protein 2 (AtELP2) (Elongator component 2) (Protein GREEN NPR1 SEEDLING ON SA MEDIUM 1)
