Arabidopsis_lyrata_Rawat	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
AL164U10020	90	AT1G58310.1, AT3G59210.1, AT3G59200.1, AT3G59230.1, AT3G59250.1, AT3G59240.1, AT3G49150.1, AT3G59170.1, AT3G59160.1, AT4G14103.2, AT4G14096.1	AT4G14103.2	other	GO:0003674;GO:0005575;GO:0008150;GO:0005515;GO:0009507;GO:0005634;GO:0030163	F-box/FBD/LRR protein;F-box/LRR-repeat protein At3g59200;F-box/LRR-repeat protein At3g59210;F-box/LRR-repeat protein At3g59250;F-box/LRR-repeat protein At4g14096;F-box/LRR-repeat protein At4g14103;F-box/RNI-like superfamily protein;Putative F-box protein At1g58310;Putative F-box/FBD/LRR-repeat protein At3g59240;Putative F-box/LRR-repeat protein At3g49150;Putative F-box/LRR-repeat protein At3g59160;Putative F-box/LRR-repeat protein At3g59170;Putative F-box/LRR-repeat protein At3g59230
AL165U10010	420	AT1G13110.1	AT1G13110.1	orthologue	GO:0016705;GO:0009507;GO:0005506;GO:0020037;GO:0004497;GO:0016020	Cytochrome P450 71B7 (EC 1.14.-.-)
AL166U10010	442	AT3G22810.1	AT3G22810.1	orthologue	GO:0005634;GO:0009734;GO:0035091;GO:0005802;GO:0007165;GO:0009507;GO:0010087;GO:0010305;GO:0005515;GO:0016020	Auxin canalization protein (DUF828)
AL166U10020	360	AT3G22800.1	AT3G22800.1	orthologue	GO:0005575;GO:0005199;GO:0005576;GO:0071555;GO:0005515	Leucine-rich repeat extensin-like protein 6 (AtLRX6) (LRR/EXTENSIN6) (Cell wall hydroxyproline-rich glycoprotein)
AL167U10010	140	AT5G49120.1	AT5G49120.1	orthologue	GO:0003674;GO:0000932;GO:0005634;GO:0008270	FCS-Like Zinc finger 15
AL167U10020	919	AT1G36230.1	AT1G36230.1	orthologue	GO:0003674;GO:0008150;GO:0005634;;GO:0006508;GO:0008234	Uncharacterized protein F15C21.12
AL167U10030	260				GO:0008270	
AL169U10010	1333				GO:0015074;GO:0003676	
AL170U10010	527					
AL172U10010	114	AT3G42170.1	AT3G42170.1	other	GO:0046983;GO:0003677;GO:0005515;GO:0005829;GO:0009791;GO:0005634;GO:0008270	BED zinc finger and hAT dimerization domain-containing protein DAYSLEEPER;Zinc finger BED domain-containing protein DAYSLEEPER (Transposase-like protein DAYSLEEPER)
AL172U10020	145	AT2G27180.1	AT2G27180.1	orthologue	GO:0003674;GO:0005575	Expressed protein
AL173U10010	244	AT1G70830.1	AT1G70830.1	orthologue	GO:0006952;GO:0005737;GO:0009507;GO:0005634;GO:0005829;GO:0003674;GO:0005739	MLP-like protein 28
AL173U10020	111	AT1G70840.1, AT1G70890.1, AT5G28000.1, AT5G28010.1	AT1G70840.1	other	GO:0003674;GO:0006952;GO:0009507;GO:0005739;GO:0005829;GO:0005634;GO:0005737	MLP-like protein 31;MLP-like protein 43;Major latex-like protein (Polyketide cyclase/dehydrase and lipid transport superfamily protein);Polyketide cyclase/dehydrase and lipid transport superfamily protein
AL173U10030	221	AT1G70830.1, AT1G70850.1	AT1G70850.1	other	GO:0005737;GO:0006952;GO:0003674;GO:0009507;GO:0005634;GO:0005829;GO:0005739	MLP-like protein 28;MLP-like protein 34
AL176U10010	460	AT5G35810.1, AT3G54065.1, AT5G35830.1, AT3G54070.1	AT5G35810.1	other	GO:0003674;GO:0005737;GO:0008150;GO:0005634;GO:0016020;GO:0005739	Ankyrin repeat family protein;Ankyrin repeat family protein (Emb|CAB70981.1);LOW protein: ankyrin repeat protein
AL177U10010	1479				GO:0015074;GO:0005515;GO:0003676	
AL177U10020	205					
AL178U10010	310	AT5G43370.1, AT5G43350.1	AT5G43370.1	other	GO:0005315;GO:0016036;GO:0005737;GO:0055085;GO:0009507;GO:0006817;GO:0005515;GO:1901684;GO:1901683;GO:0005886;GO:0015293;GO:0016020;GO:0022857	Inorganic phosphate transporter 1-1 (AtPht1;1) (H(+)/Pi cotransporter);Probable inorganic phosphate transporter 1-2 (AtPht1;2) (H(+)/Pi cotransporter)
AL178U10020	1016				GO:0015074;GO:0003676	
AL178U10030	282				GO:0022857;GO:0055085	
AL178U10040	298	AT5G43360.1	AT5G43360.1	orthologue	GO:0055085;GO:0005737;GO:0005886;GO:0005315;GO:0006817;GO:0015293;GO:0022857;GO:0016020	Probable inorganic phosphate transporter 1-3 (AtPht1;3) (H(+)/Pi cotransporter)
AL180U10010	198	AT3G13740.3	AT3G13740.3	other	GO:0004525;GO:0005634;GO:0000476;GO:0009507;GO:0006396;GO:0005515;GO:0000967	Ribonuclease III family protein
AL180U10020	497	AT3G13730.1	AT3G13730.1	orthologue	GO:0016132;GO:0020037;GO:0048443;GO:0048868;GO:0102097;GO:0048441;GO:0010268;GO:0048366;GO:0005506;GO:0009507;GO:0016709;GO:0000476;GO:0000967;GO:0004525;GO:0006396;GO:0005789;GO:0016705;GO:0004497;GO:0007275;GO:0016125;GO:0016491	22alpha-hydroxysteroid 23-monooxygenase (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22R,23R)-22,23-dihydroxycampesterol synthase) (6-deoxoteasterone synthase) (Teasterone synthase);3-epi-6-deoxocathasterone 23-monooxygenase CYP90D1 (3-dehydro-6-deoxoteasterone synthase) (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) (EC 1.14.14.-) ((22R,23R)-22,23-dihydroxycampesterol synthase) (EC 1.14.14.-) (6-deoxoteasterone synthase) (EC 1.14.14.-) (Cytochrome P450 90D1) (Teasterone synthase) (EC 1.14.14.-);Ribonuclease III family protein
AL181U10010	141	AT2G46890.1	AT2G46890.1	other	GO:0016020	3-oxo-5-alpha-steroid 4-dehydrogenase (DUF1295) (At2g46890)
AL181U10020	124					
AL181U10030	401	AT2G46880.1	AT2G46880.1	orthologue	GO:0008150;GO:0016788;GO:0009506;GO:0009507;GO:0003993;GO:0005737;GO:0005576;GO:0046872;GO:0016787	Probable inactive purple acid phosphatase 14
AL181U10040	312	AT2G46870.1	AT2G46870.1	orthologue	GO:0005515;GO:0043565;GO:1901371;GO:0005634;GO:0048480;GO:0009908;GO:0048366;GO:0003700;GO:0003677	B3 domain-containing transcription factor NGA1 (Protein NGATHA 1)
AL184U10010	78	AT5G44440.2	AT5G44440.2	orthologue	GO:0016491;GO:0071949;GO:0009651;GO:0005737;GO:0009505;GO:0009507;GO:0005576;GO:0050660	Berberine bridge enzyme-like 28 (AtBBE-like 28) (EC 1.1.1.-);FAD-binding Berberine family protein
AL185U10020	382	AT5G51795.1	AT5G51795.1	orthologue	GO:0005634;GO:0009507;GO:0006974;GO:0003690;GO:0006260;GO:0005737	KIN17-like protein KLP
AL185U10030	309	AT5G45420.1	AT5G45420.1	orthologue	GO:0048767;GO:0051083;GO:0030544;GO:0005886;GO:0043022;GO:0005783;GO:0005634;GO:0005829;GO:0006450;GO:0003677;GO:0005789	Transcription factor MAMYB (Membrane-anchored MYB)
AL189U10010	635					
AL189U10020	340	AT2G06420.1	AT2G06420.1	other	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
AL189U10030	209	AT5G59910.1	AT5G59910.1	orthologue	GO:0009570;GO:0009534;GO:0030527;GO:0005634;GO:0003677;GO:0009536;GO:0005730;GO:0046982;GO:0000786	Histone H2B.11 (HTB4)
AL191U10010	728	AT5G56220.1	AT5G56220.1	orthologue	GO:0007165;GO:0009507;GO:0000725;GO:0043531;GO:0016887;GO:0016787	P-loop containing nucleoside triphosphate hydrolases superfamily protein (Similarity to unknown protein)
AL191U10020	186	AT5G56230.1	AT5G56230.1	orthologue	GO:0016192;GO:0009507;GO:0005794;GO:0003674;GO:0005783;GO:0005789	PRA1 family protein G2 (AtPRA1.G2)
AL191U10030	962	AT5G56240.2	AT5G56240.2	orthologue	GO:0003674;GO:0005634	Hapless protein
AL199U10010	802	AT2G32680.1	AT2G32680.1	other	GO:0002229;GO:0019901;GO:0002758;GO:0002240;GO:0050832;GO:0032491;GO:0140426;GO:0002237;GO:0080136;GO:0042742;GO:0005783;GO:0010555;GO:0007165;GO:0002238;GO:0016301;GO:0005576;GO:0005886;GO:0005515	Receptor like protein 23 (AtRLP23)
AL1G10010	427	AT1G02205.3	AT1G02205.3	orthologue	GO:0160062;GO:0050832;GO:0005739;GO:0008610;GO:0010025;GO:0043447;GO:0009414;GO:0046185;GO:0042742;GO:0009753;GO:0016491;GO:0071771;GO:0005515;GO:0009611;GO:0005506;GO:0005789;GO:0016020	Fatty acid hydroxylase superfamily;Very-long-chain aldehyde decarbonylase CER1 (EC 4.1.99.5) (Protein ECERIFERUM 1)
AL1G10020	580	AT1G02190.1	AT1G02190.1	orthologue	GO:0005739;GO:0005506;GO:0008610;GO:0016491;GO:0016020	Protein CER1-like 1
AL1G10040	226	AT1G02180.1	AT1G02180.1	orthologue	GO:0005575;GO:0003674	Ferredoxin-like protein
AL1G10050	265	AT1G02170.1	AT1G02170.1	orthologue	GO:0004197;GO:0006508;GO:0005737;GO:0043068;GO:0005515;GO:0006952	Metacaspase-1 (AtMC1) (EC 3.4.22.-) (Metacaspase 1b) (AtMCP1b) (Protein LSD ONE LIKE 3)
AL1G10060	71	AT1G02160.2	AT1G02160.2	orthologue	GO:0003674;GO:0008150;GO:0005739	Cox19 family protein (CHCH motif)
AL1G10070	523	AT1G02150.1	AT1G02150.1	orthologue	GO:0003729;GO:0009507;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At1g02150
AL1G10080	491	AT1G02145.3	AT1G02145.3	orthologue	GO:0000009;GO:0018279;GO:0036503;GO:0005789;GO:0006487;GO:0052917;GO:0016757;GO:0000030	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Alpha-1,6-mannosyltransferase ALG12) (Asparagine-linked glycosylation protein 12) (EMS-mutagenized BRI1 suppressor 4)
AL1G10090	150	AT1G02140.1	AT1G02140.1	orthologue	GO:0008380;GO:0009793;GO:0005730;GO:0005634;GO:0005654;GO:0035145;GO:0005515;GO:0010628;GO:0010183;GO:0016607;GO:0000184;GO:0000932;GO:0003723;GO:0006397;GO:0006417;GO:0051028	Protein mago nashi homolog (AtMAGO)
AL1G10100	540	AT5G61330.2	AT5G61330.2	orthologue	GO:0005634;GO:0005730;GO:0003674;GO:0005525;GO:0003924	Similarity to apoptosis antagonizing transcription factor (rRNA processing protein-like protein);rRNA processing protein-like protein
AL1G10110	607	AT1G02120.1	AT1G02120.1	orthologue	GO:0042742;GO:0043069;GO:0005634;GO:0003674;GO:0009723;GO:0005576;GO:0005783;GO:0009751;GO:0009507;GO:0009626;GO:0009873;GO:0016020	GRAM domain family protein;Protein VASCULAR ASSOCIATED DEATH 1, chloroplastic
AL1G10120	699	AT1G02110.1	AT1G02110.1	orthologue	GO:0005634;GO:0006499;GO:0003674	BZIP domain class transcription factor (DUF630 and DUF632) (BZIP-like protein)
AL1G10130	334	AT1G02100.1	AT1G02100.1	orthologue	GO:1900458;GO:0005634;GO:0005737;GO:0032259;GO:0018423;GO:0008757;GO:0016020;GO:0009966;GO:0008168	Leucine carboxyl methyltransferase 1 homolog (EC 2.1.1.233);Leucine carboxyl methyltransferase 1 homolog (EC 2.1.1.233) (Protein SUPPRESSOR OF BRI1) ([Phosphatase 2A protein]-leucine-carboxy methyltransferase 1)
AL1G10140	260	AT1G02090.1	AT1G02090.1	orthologue	GO:0005515;GO:0009640;GO:0000338;GO:0010387;GO:0005737;GO:0008180;GO:0009585;GO:0000502	COP9 signalosome complex subunit 7 (CSN complex subunit 7) (Protein FUSCA 5);Proteasome component (PCI) domain protein
AL1G10160	329	AT2G35680.1	AT2G35680.1	other	GO:0004725;GO:0005737;GO:0048364;GO:0006655;GO:0006470;GO:0017018;GO:0008962;GO:0004722;GO:0016311;GO:0004721	Phosphatidylglycerophosphate phosphatase PTPMT1 (EC 3.1.3.27) (Protein TYROSINE PHOSPHATASE LOCALIZED TO THE MITOCHONDRION 1) (Putative dual specificity protein phosphatase DSP8) (EC 3.1.3.16, EC 3.1.3.48)
AL1G10170	118	AT5G52180.1	AT5G52180.1	other	GO:0005576;GO:0003674;GO:0016020	Dbj|BAA83359.1 (Transmembrane protein 161AB protein)
AL1G10180	126	AT1G02070.1	AT1G02070.1	orthologue	GO:0005575;GO:0008150;GO:0003674	At1g02070 (Zinc ion-binding protein)
AL1G10200	2380	AT1G02080.1	AT1G02080.1	orthologue	GO:0000288;GO:0010494;GO:0060090;GO:0005515;GO:0017148;GO:0000932;GO:0005576;GO:0030015;GO:0000289;GO:0005634	Transcription regulator
AL1G10210	56	AT1G01710.1	AT1G01710.1	other	GO:0005777;GO:0051289;GO:0047617;GO:0006637;GO:0009062;GO:0006631;GO:0052816;GO:0052815;GO:0005782	Acyl-CoA hydrolase 2 (AtACH2) (EC 3.1.2.20) (Acyl-CoA thioesterase II) (ACT-II) (Hexadecanoyl-CoA hydrolase ACH2) (EC 3.1.2.2)
AL1G10220	323	AT1G02065.1	AT1G02065.1	orthologue	GO:0048653;GO:0009556;GO:0009554;GO:0005634;GO:0003677;GO:0005737;GO:0008270;GO:0030154	Squamosa promoter binding protein-like 8;Squamosa promoter-binding-like protein 8
AL1G10230	732	AT1G02060.1	AT1G02060.1	orthologue	GO:0005739;GO:0003729;GO:0009507;GO:0005515	Pentatricopeptide repeat-containing protein At1g02060, chloroplastic
AL1G10240	396	AT1G02050.1	AT1G02050.1	orthologue	GO:0010584;GO:0005783;GO:0090439;GO:0080110;GO:0030639;GO:0009813;GO:0005515;GO:0005737;GO:0016747;GO:0009058;GO:0016746	Type III polyketide synthase A (PKS-A) (EC 2.3.1.-) (Hydroxyalkyl alpha-pyrone synthase PKS-A) (Protein LESS ADHESIVE POLLEN 6)
AL1G10250	264	AT1G02040.1	AT1G02040.1	orthologue	GO:0005634;GO:0006355;GO:0003700;GO:0008270	At1g02040 (C2H2-type zinc finger family protein)
AL1G10260	872	AT1G02020.1	AT1G02020.1	orthologue	GO:0005634;GO:0016491;GO:0009507;GO:0005739	Nitroreductase family protein;Nitroreductase family protein (T7I23.2 protein)
AL1G10270	265	AT1G02010.4	AT1G02010.4	other	GO:0030141;GO:0019905;GO:0006904;GO:0016192;GO:0005634;GO:0006886;GO:0005886;GO:0015031;GO:0016020	Protein transport Sec1a (AtSec1a);Secretory 1A
AL1G10280	334				GO:0004540	
AL1G10290	375				GO:0004540;GO:0004843;GO:0016579	
AL1G10300	91	AT3G62850.1	AT3G62850.1	other	GO:0010468;GO:0004540;GO:0005634;GO:0005777	Zinc finger protein-like protein
AL1G10310	680	AT1G02010.4	AT1G02010.4	orthologue	GO:0030141;GO:0019905;GO:0006904;GO:0016192;GO:0005634;GO:0006886;GO:0005886;GO:0015031;GO:0016020	Protein transport Sec1a (AtSec1a);Secretory 1A
AL1G10320	434	AT1G02000.1	AT1G02000.1	orthologue	GO:0050378;GO:0005575;GO:0032580	UDP-glucuronate 4-epimerase 2 (EC 5.1.3.6) (UDP-glucuronic acid epimerase 2)
AL1G10330	242	AT1G01990.1	AT1G01990.1	orthologue	GO:0005575;GO:0048564;GO:0003674	At1g01990 (F22M8.12 protein)
AL1G10340	541	AT1G01980.1	AT1G01980.1	orthologue	GO:0071949;GO:0009507;GO:0016899;GO:0005886;GO:0005794;GO:0009505;GO:0005576;GO:0050660;GO:0016491	Berberine bridge enzyme-like 1 (AtBBE-like 1) (EC 1.1.1.-) (Protein SIMILAR TO ELECTRON CAREER 1A) (AtSEC1A)
AL1G10350	409	AT1G01970.1	AT1G01970.1	orthologue	GO:0009507;GO:0005739;GO:0008150;GO:0003674;;GO:0005515	Pentatricopeptide repeat-containing protein At1g01970
AL1G10360	1750	AT1G01960.1	AT1G01960.1	orthologue	GO:0016192;GO:0032012;GO:0005802;GO:0005829;GO:0032588;GO:0003674;GO:0005634;GO:0009561;GO:0005085;GO:0015031	Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (BIG3) (ARF guanine-nucleotide exchange factor BIG3) (Protein EMBRYO SAC DEVELOPMENT ARREST 10)
AL1G10370	895	AT1G01950.3	AT1G01950.3	orthologue	GO:0008017;GO:0048364;GO:0005737;GO:0008574;GO:0005871;GO:0009507;GO:0030705;GO:0005874;GO:0003777;GO:0007018;GO:0016887;GO:0005634;GO:0005524;GO:0005515;GO:0005876;GO:0051231;GO:0072686;GO:0090307	Kinesin-like protein;Kinesin-like protein KIN-UB (AtKINUb) (Protein ARMADILLO REPEAT KINESIN2) (Protein ARMADILLO REPEAT-CONTAINING KINESIN 2)
AL1G10380	160	AT1G01940.1	AT1G01940.1	orthologue	GO:0006457;GO:0005634;GO:0010494;GO:0030620;GO:0034605;GO:0030623;GO:0071013;GO:0000398;GO:0003755;GO:0005730;GO:0005515;GO:0005737;GO:0000413	Peptidyl-prolyl cis-trans isomerase CYP18-1 (PPIase CYP18-1) (EC 5.2.1.8) (Cyclophilin of 18 kDa 1) (Cyclophilin-18-1)
AL1G10390	579	AT1G01930.1	AT1G01930.1	orthologue	GO:0036503;GO:0005737;GO:0003674;GO:0004519;GO:0016787;GO:0005515	F22M8.6 protein (Zinc finger protein-like protein)
AL1G10400	107					
AL1G10410	548	AT1G01920.1	AT1G01920.1	orthologue	GO:0005634;GO:0005515;GO:0016279;GO:0009507;GO:0018026	At1g01920 (SET domain-containing protein);SET domain-containing protein
AL1G10420	353	AT1G01910.1	AT1G01910.1	orthologue	GO:0048767;GO:0005829;GO:0016887;GO:0005515;GO:0009507;GO:0043529;GO:0005576;GO:0005524;GO:0071816;GO:0045048;GO:0005783	ATPase GET3A (AtGET3A) (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins 3 homolog A);P-loop containing nucleoside triphosphate hydrolases superfamily protein
AL1G10430	757	AT1G01900.1	AT1G01900.1	orthologue	GO:0004252;GO:0009505;GO:0031012;GO:0006508;GO:0005576;GO:0048046;GO:0008236	Subtilisin-like protease SBT1.1 (EC 3.4.21.-) (Subtilase subfamily 1 member 1) (AtSBT1.1)
AL1G10450	575	AT1G01880.1	AT1G01880.1	orthologue	GO:0005634;GO:0017108;GO:0003677;GO:0008821;GO:0006259;GO:0009650;GO:0009555;GO:0004527;GO:0006281;GO:0046872;GO:0048256;GO:0004518;GO:0003824	5'-3' exonuclease family protein;Flap endonuclease GEN-like 1;Flap endonuclease GEN-like 1 (AtGEN1) (XPG-like endonuclease 1) (EC 3.1.-.-)
AL1G10470	342	AT1G01860.4	AT1G01860.4	orthologue	GO:0031167;GO:0009409;GO:0009507;GO:0000179;GO:0016422;GO:0005739;GO:0003723;GO:0000154;GO:0006364	Ribosomal RNA small subunit methyltransferase, chloroplastic (EC 2.1.1.-) (Dimethyladenosine transferase 1C) (Protein PALEFACE 1);rRNA adenine N(6)-methyltransferase (EC 2.1.1.-)
AL1G10480	142	AT1G01840.1	AT1G01840.1	orthologue	GO:0009507;GO:0003674	AP2-like ethylene-responsive transcription factor SNZ (At1g01840/T1N6_19) (T1N6.26)
AL1G10490	572	AT1G01830.1	AT1G01830.1	orthologue	GO:0008150;GO:0005575;GO:0003674;;GO:0005515	ARM repeat superfamily protein
AL1G10500	35					
AL1G10510	277	AT1G01820.1	AT1G01820.1	orthologue	GO:0005515;GO:0005777;GO:0005778;GO:0016559;GO:0009506;GO:0005576;GO:0007031;GO:0042802;GO:0044375	Peroxisomal membrane protein 11C (Peroxin-11C) (AtPEX11c)
AL1G10520	144	AT1G01810.1	AT1G01810.1	orthologue	GO:0008150;GO:0003674;GO:0005634	T1N6.23
AL1G10530	101					
AL1G10540	295	AT1G01800.1	AT1G01800.1	orthologue	GO:0005737;GO:0005829;GO:0009505;GO:0003674;GO:0009507;GO:0016491;GO:0016020	AT1G01800 protein (NAD(P)-binding Rossmann-fold superfamily protein) (Putative carbonyl reductase);NAD(P)-binding Rossmann-fold superfamily protein
AL1G10550	1171	AT1G01790.1	AT1G01790.1	orthologue	GO:0140899;GO:0009941;GO:2000377;GO:0019722;GO:0016020;GO:1900069;GO:1902600;GO:0006813;GO:0009646;GO:0015078;GO:0080022;GO:0009737;GO:0005576;GO:2000070;GO:0009507;GO:0042794;GO:0010109;GO:2001057;GO:0015386;GO:0015079;GO:0031969;GO:0009658;GO:0006885;GO:0009744;GO:1900140;GO:0009706;GO:0009738;GO:0006812;GO:0008324;GO:0015297;GO:0055085	K(+) efflux antiporter 1, chloroplastic (AtKEA1)
AL1G10560	205	AT1G01780.1	AT1G01780.1	orthologue	GO:0005886;GO:0000976;GO:0015629;GO:0051017;GO:0005737;GO:0051015;GO:0005856;GO:0046872	LIM domain-containing protein PLIM2b (Pollen-expressed LIM protein 2B)
AL1G10570	635	AT1G01770.1	AT1G01770.1	orthologue	GO:0005634;GO:0003674	Propionyl-CoA carboxylase
AL1G10580	430	AT1G01760.3	AT1G01760.3	orthologue	GO:0003726;GO:0003723;GO:0042803;GO:0005634;GO:0006396;GO:0006400;GO:0008251;GO:0003725;GO:0043829;GO:0006382;GO:0005730;GO:0005737;GO:0004000;GO:0046872	Denosine deaminases acting on tRNA;tRNA-specific adenosine deaminase TAD1 (AtTAD1) (EC 3.5.4.34) (tRNA-specific adenosine-37 deaminase TAD1)
AL1G10590	140	AT1G01750.2	AT1G01750.2	orthologue	GO:0030042;GO:0051015;GO:0015629;GO:0005737;GO:0003779	Actin depolymerizing factor 11;Actin-depolymerizing factor 10 (ADF-10) (AtADF10)
AL1G10600	486	AT1G01740.1	AT1G01740.1	orthologue	GO:0009742;GO:0005634;GO:0044024;GO:0006468;GO:0004674;GO:0005576;GO:0005524;GO:0005886;GO:0106310;GO:0005515;GO:0004672	Serine/threonine-protein kinase BSK (EC 2.7.11.1) (Brassinosteroid-signaling kinase);Serine/threonine-protein kinase BSK4 (EC 2.7.11.1) (Brassinosteroid-signaling kinase 4)
AL1G10610	221	AT1G01730.1	AT1G01730.1	orthologue	GO:0008150;GO:0005634;GO:0003674	T1N6.14 protein
AL1G10620	1381				GO:0003676;GO:0008270;GO:0015074	
AL1G10630	295	AT1G01720.1	AT1G01720.1	orthologue	GO:0006355;GO:0009788;GO:0005634;GO:0000976;GO:0009611;GO:0071456;GO:0003700;GO:0019900;GO:0003677	NAC domain-containing protein 2 (ANAC002)
AL1G10640	144	AT1G01715.1	AT1G01715.1	orthologue	GO:0005634;GO:0003674	Uncharacterized protein
AL1G10650	427	AT1G01710.1	AT1G01710.1	orthologue	GO:0005777;GO:0051289;GO:0047617;GO:0006637;GO:0009062;GO:0006631;GO:0052816;GO:0052815;GO:0005782	Acyl-CoA hydrolase 2 (AtACH2) (EC 3.1.2.20) (Acyl-CoA thioesterase II) (ACT-II) (Hexadecanoyl-CoA hydrolase ACH2) (EC 3.1.2.2)
AL1G10670	452	AT1G01695.1	AT1G01695.1	orthologue	GO:0005634;GO:0008150;GO:0003674	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein
AL1G10680	450	AT1G01690.1	AT1G01690.1	orthologue	GO:0051026;GO:0070192;GO:0005634;GO:0048236;GO:0009553;GO:0042138;GO:0003674;GO:0009555;GO:0009556	Putative recombination initiation defects 3 (AtPRD3);Recombination initiation defects 3
AL1G10690	309	AT1G01680.1	AT1G01680.1	orthologue	GO:0016567;GO:0004842;GO:0005737	U-box domain-containing protein 54 (EC 2.3.2.27) (Plant U-box protein 54) (RING-type E3 ubiquitin transferase PUB54)
AL1G10700	371	AT1G01670.1	AT1G01670.1	orthologue	GO:0004842;GO:0005634;GO:0016567	RING-type E3 ubiquitin transferase (EC 2.3.2.27);U-box domain-containing protein 56 (EC 2.3.2.27) (Plant U-box protein 56) (RING-type E3 ubiquitin transferase PUB56)
AL1G10710	569	AT1G01660.2	AT1G01660.2	orthologue	GO:0005737;GO:0004842;GO:0016567	Putative U-box domain-containing protein 55 (EC 2.3.2.27) (Plant U-box protein 55) (RING-type E3 ubiquitin transferase PUB54);RING-type E3 ubiquitin transferase (EC 2.3.2.27)
AL1G10720	540	AT1G01650.1	AT1G01650.1	orthologue	GO:0042500;GO:0098554;GO:0030660;GO:0005765;GO:0005886;GO:0098553;GO:0033619;GO:0006508;GO:0010008;GO:0012505;GO:0016020	SIGNAL PEPTIDE PEPTIDASE-LIKE 4;Signal peptide peptidase-like 4 (AtSPPL4) (EC 3.4.23.-)
AL1G10740	156	AT1G01640.1	AT1G01640.1	orthologue	GO:0016567;GO:0005737;GO:0005515;GO:0009908	BTB/POZ domain-containing protein;BTB/POZ domain-containing protein At1g01640
AL1G10750	256	AT1G01630.1	AT1G01630.1	orthologue	GO:0005634;GO:0003674;GO:0016020	Polyphosphoinositide binding protein, putative (Putative polyphosphoinositide-binding protein) (Sec14p-like phosphatidylinositol transfer family protein) (T1N6.1 protein)
AL1G10760	286	AT1G01620.1	AT1G01620.1	orthologue	GO:0005515;GO:0015267;GO:0005886;GO:0015250;GO:0009414;GO:0055085;GO:0005576;GO:0006833;GO:0016020	Aquaporin PIP1-3 (AtPIP1;3) (Plasma membrane intrinsic protein 1c) (PIP1c) (Transmembrane protein B) (TMP-B);Plasma membrane intrinsic protein 1C
AL1G10770	502	AT1G01610.1	AT1G01610.1	orthologue	GO:0016791;GO:0010143;GO:0090447;GO:0009507;GO:0016020;GO:0008654;GO:0016746	Glycerol-3-phosphate 2-O-acyltransferase 4 (AtGPAT4) (EC 2.3.1.198) (Glycerol-3-phosphate acyltransferase 4)
AL1G10780	554	AT1G01600.1	AT1G01600.1	orthologue	GO:0005506;GO:0018685;GO:0020037;GO:0006631;GO:0005739;GO:0070330;GO:0016020;GO:0016712;GO:0004497;GO:0016705	Cytochrome P450 86A4 (EC 1.14.14.1)
AL1G10790	44	AT1G01590.1	AT1G01590.1	other	GO:0000293;GO:0005886;GO:0140618;GO:0006811;GO:0016020;GO:0046872	Probable ferric reduction oxidase 1 (AtFRO1) (EC 1.16.1.7) (Ferric-chelate reductase 1)
AL1G10800	704	AT1G01590.1	AT1G01590.1	orthologue	GO:0000293;GO:0005886;GO:0140618;GO:0006811;GO:0016020;GO:0046872;GO:0016491	Probable ferric reduction oxidase 1 (AtFRO1) (EC 1.16.1.7) (Ferric-chelate reductase 1)
