Cardamine_hirsuta	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
CARHR001040	315	AT1G01390.2, AT1G01420.2	AT1G01420.2	orthologue	GO:0008194;GO:0005783;GO:0016757;GO:0009507;GO:0080043	Glycosyltransferase (EC 2.4.1.-);UDP-glycosyltransferase 72B2 (EC 2.4.1.-);UDP-glycosyltransferase 72B3 (EC 2.4.1.-)
CARHR001050	465	AT1G01390.2, AT1G01420.2	AT1G01420.2	orthologue	GO:0008194;GO:0005783;GO:0016757;GO:0009507;GO:0080043	Glycosyltransferase (EC 2.4.1.-);UDP-glycosyltransferase 72B2 (EC 2.4.1.-);UDP-glycosyltransferase 72B3 (EC 2.4.1.-)
CARHR001060	83	AT1G01380.1	AT1G01380.1	orthologue	GO:0080147;GO:0010026;GO:1900033;GO:0005634;GO:0000976;GO:0048765;GO:0003700;GO:0006355;GO:0003677;GO:0030154	Homeodomain-like superfamily protein;MYB-like transcription factor ETC1 (Protein ENHANCER OF TRY AND CPC 1)
CARHR001070	174	AT1G01370.1	AT1G01370.1	orthologue	GO:0051321;GO:0051307;GO:0005634;GO:0005515;GO:0000775;GO:0009567;GO:0046982;GO:0051301;GO:0000785;GO:0034508;GO:0030527;GO:0000776;GO:0000786;GO:0003677	Histone H3-like centromeric protein CENH3 (Centromeric histone CENH3) (Centromeric histone H3) (Histone H3-like centromeric protein HTR12)
CARHR001080	175	AT1G01360.1	AT1G01360.1	orthologue	GO:0005515;GO:0009738;GO:0042803;GO:0010427;GO:0005634;GO:0005737;GO:0004864;GO:0038023;GO:0005886	Abscisic acid receptor PYL9 (ABI1-binding protein 4) (PYR1-like protein 9) (Regulatory components of ABA receptor 1)
CARHR001090	353	AT1G01350.1, AT5G06420.1	AT1G01350.1	orthologue	GO:0034247;GO:0005634;GO:0003674;GO:0005684;GO:0003677;GO:0008270;GO:0046872	Zinc finger CCCH domain-containing protein 1 (AtC3H1);Zinc finger CCCH domain-containing protein 51 (AtC3H51)
CARHR001100	273	AT4G01023.2, AT1G01350.1, AT5G06420.1	AT1G01350.1	other	GO:0005634;GO:0008150;GO:0003674;GO:0034247;GO:0005684;GO:0003677;GO:0008270;GO:0046872	RING/U-box superfamily protein;Zinc finger CCCH domain-containing protein 1 (AtC3H1);Zinc finger CCCH domain-containing protein 51 (AtC3H51)
CARHR001110	744	AT1G01340.2	AT1G01340.2	orthologue	GO:0009617;GO:0005739;GO:0005216;GO:0051592;GO:0005516;GO:0005886;GO:0030552;GO:0030553;GO:0006811;GO:0016020;GO:0055085	Probable cyclic nucleotide-gated ion channel 10 (CaM-regulated potassium ion channel) (Cyclic nucleotide- and calmodulin-regulated ion channel 10)
CARHR001120	1035	AT1G01320.1	AT1G01320.1	orthologue	GO:0005737;GO:0005829;GO:0019750;GO:0005634;GO:0010906;GO:0006996;GO:0003729;GO:0005576;GO:0005515	Protein REDUCED CHLOROPLAST COVERAGE 1;Tetratricopeptide repeat (TPR)-like superfamily protein
CARHR001130	238	AT1G01310.1	AT1G01310.1	orthologue	GO:0005615;GO:0003674;GO:0005576	At1g01310 (CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein)
CARHR001140	140	AT1G01305.1	AT1G01305.1	orthologue	GO:0003674;GO:0008150;GO:0005739	Uncharacterized protein
CARHR001150	485	AT1G01300.1	AT1G01300.1	orthologue	GO:0005576;GO:0004190;GO:0009505;GO:0006508	Aspartyl protease family protein 2 (EC 3.4.23.-)
CARHR001160	219	AT1G01320.1	AT1G01320.1	other	GO:0005737;GO:0005829;GO:0019750;GO:0005634;GO:0010906;GO:0006996;GO:0003729;GO:0005576	Protein REDUCED CHLOROPLAST COVERAGE 1;Tetratricopeptide repeat (TPR)-like superfamily protein
CARHR001170	84					
CARHR001180	259	AT1G01290.1	AT1G01290.1	orthologue	GO:0006777;GO:0005739;GO:0009507;GO:0061799;GO:0003824;GO:0005759	Cyclic pyranopterin monophosphate synthase, mitochondrial (EC 4.6.1.17) (Molybdenum cofactor biosynthesis enzyme CNX3) (Molybdenum cofactor biosynthesis protein C) (Molybdopterin biosynthesis protein CNX3)
CARHR001190	510	AT1G01280.1	AT1G01280.1	orthologue	GO:0005575;GO:0020037;GO:0010208;GO:0080110;GO:0051791;GO:0016709;GO:0009555;GO:0010584;GO:0051792;GO:0005506;GO:0002933;GO:0016020;GO:0048653;GO:0052722;GO:0004497;GO:0016705	Cytochrome P450 703A2 (EC 1.14.14.130) (Protein DEFECTIVE IN EXINE FORMATION 2)
CARHR001200	591	AT1G01260.1	AT1G01260.1	orthologue	GO:0006355;GO:0005515;GO:0000976;GO:0005634;GO:0003700;GO:0005737;GO:0010629;GO:0046983	Transcription factor bHLH13 (Basic helix-loop-helix protein 13) (AtbHLH13) (bHLH 13) (Transcription factor EN 39) (bHLH transcription factor bHLH013)
CARHR001210	186	AT1G01250.1	AT1G01250.1	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0003677;GO:0009873	Ethylene-responsive transcription factor ERF023
CARHR001220	336	AT1G01240.1	AT1G01240.1	orthologue	GO:0005739;GO:0003674;GO:0016020	At1g01240/F6F3_11 (F633.5 protein) (Transmembrane protein)
CARHR001230	157	AT1G01230.1	AT1G01230.1	orthologue	GO:0042742;GO:0034976;GO:0005515;GO:0030148;GO:0006672;GO:0005783;GO:0010150;GO:0005739;GO:0090156;GO:0006979;GO:0017059;GO:0005789;GO:0016020	ORMDL family protein (Uncharacterized protein At1g01230)
CARHR001240	241	AT1G01225.1	AT1G01225.1	orthologue	GO:0005515;GO:0005634	At1g01225 (NC domain-containing protein-like protein)
CARHR001250	1067	AT1G01220.1	AT1G01220.1	orthologue	GO:0005737;GO:0042352;GO:0016310;GO:0047341;GO:0050201;GO:0005524;GO:0016301;GO:0042350;GO:0046872;GO:0016772	Bifunctional fucokinase/GDP-fucose pyrophosphorylase (AtFKGP) [Includes: Fucose-1-phosphate guanylyltransferase (EC 2.7.7.30) (GDP-fucose pyrophosphorylase); L-fucokinase (EC 2.7.1.52)];L-fucokinase/GDP-L-fucose pyrophosphorylase
CARHR001260	106	AT1G01210.1	AT1G01210.1	orthologue	GO:0003899;GO:0006386;GO:0003676;GO:0006351;GO:0006355;GO:0008270;GO:0001056;GO:0005634;GO:0005666	DNA-directed RNA polymerase subunit
CARHR001270	236	AT1G01200.1	AT1G01200.1	orthologue	GO:0005768;GO:0005794;GO:0005634;GO:0003924;GO:0005576;GO:0005525;GO:0009504;GO:0042546;GO:0010008;GO:0015031	Ras-related protein RABA3 (AtRABA3)
CARHR001280	536	AT1G01190.2	AT1G01190.2	orthologue	GO:0005575;GO:0020037;GO:0016705;GO:0005506;GO:0004497;GO:0009791;GO:0016020;GO:0048608;GO:0048731	Cytochrome P450, family 78, subfamily A, polypeptide 8
CARHR001290	303	AT1G01180.1	AT1G01180.1	orthologue	GO:0005575;GO:0008168;GO:0016020;GO:0032259	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
CARHR001300	96	AT1G01170.1	AT1G01170.1	orthologue	GO:0005576;GO:0008150;GO:0005739;GO:0003674;GO:0016020	At1g01170 (Ozone-responsive stress-like protein (DUF1138))
CARHR001310	202	AT1G01160.2	AT1G01160.2	orthologue	GO:0005515;GO:0005634;GO:0045787;GO:0048366;GO:0003713	GRF1-interacting factor 2;GRF1-interacting factor 2 (AtGIF2) (Transcription coactivator GIF2)
CARHR001320	268	AT1G01150.1	AT1G01150.1	orthologue	GO:0003674;GO:0005634;GO:0005575;GO:0008150;GO:0003677;GO:0008270	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
CARHR001330	451	AT1G01140.3	AT1G01140.3	orthologue	GO:0009409;GO:0005515;GO:0010555;GO:0004674;GO:0007165;GO:0051365;GO:0043266;GO:0005737;GO:0009651;GO:0055075;GO:0009611;GO:0005524;GO:0005634;GO:0106310;GO:0004672;GO:0006468	CBL-interacting serine/threonine-protein kinase 9 (EC 2.7.11.1) (SNF1-related kinase 3.12) (SOS2-like protein kinase PKS6)
CARHR001340	528	AT1G01120.1	AT1G01120.1	orthologue	GO:0005737;GO:0005515;GO:0009409;GO:0070417;GO:0030497;GO:0042761;GO:0000038;GO:0010025;GO:0009416;GO:0022626;GO:0016020;GO:0160062;GO:0009922;GO:0005783;GO:0005789;GO:0016746;GO:0006633;GO:0016747	3-ketoacyl-CoA synthase 1 (KCS-1) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 1) (VLCFA condensing enzyme 1)
CARHR001350	534	AT1G01110.2	AT1G01110.2	orthologue	GO:0005634;GO:0003674;GO:0005516;GO:0005737;GO:0005856;GO:0005886;GO:0016604;GO:0005515	Protein IQ-DOMAIN 18 (AtIQD18)
CARHR001360	113	AT1G01100.1, AT5G47700.1, AT4G00810.1	AT4G00810.1	other	GO:0003735;GO:0022626;GO:0002181;GO:0005737;GO:0006414;GO:0005654;GO:0022625;GO:0043021;GO:0005515;GO:0030295;GO:0009536;GO:0005829;GO:0042742;GO:1990904;GO:0005840	60S acidic ribosomal protein family;Large ribosomal subunit protein P1w (60S acidic ribosomal protein P1-1);Large ribosomal subunit protein P1y (60S acidic ribosomal protein P1-3);Large ribosomal subunit protein P1z (60S acidic ribosomal protein P1-2)
CARHR001370	431	AT1G01090.1	AT1G01090.1	orthologue	GO:0004739;GO:0006086;GO:0009941;GO:0009507;GO:0009536;GO:0009570;GO:0005739;GO:0046872;GO:0016624;GO:0043231	Pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic (EC 1.2.4.1)
CARHR001380	301	AT1G01080.2	AT1G01080.2	orthologue	GO:0009536;GO:0009941;GO:0005634;GO:0003729;GO:0009507;GO:0009570;GO:1901259;GO:0006397;GO:1990904;GO:0003676;GO:0003723;GO:0009535	At1g01080/T25K16_7 (RNA-binding (RRM/RBD/RNP motifs) family protein) (Ribonucleoprotein, putative);RNA-binding (RRM/RBD/RNP motifs) family protein
CARHR001390	368	AT1G01070.1, AT1G11460.1, AT1G11450.3	AT1G01070.1	orthologue	GO:0005886;GO:0048316;GO:0015186;GO:0005739;GO:0022857;GO:0009507;GO:0016020	WAT1-related protein;WAT1-related protein At1g01070;WAT1-related protein At1g11450;WAT1-related protein At1g11460
CARHR001400	545	AT1G01070.1, AT1G11460.1, AT1G11450.3	AT1G01070.1	orthologue	GO:0005886;GO:0048316;GO:0015186;GO:0005739;GO:0022857;GO:0009507;GO:0016020	WAT1-related protein;WAT1-related protein At1g01070;WAT1-related protein At1g11450;WAT1-related protein At1g11460
CARHR001410	320	AT1G01070.1, AT1G11460.1, AT1G11450.3	AT1G01070.1	orthologue	GO:0005886;GO:0048316;GO:0015186;GO:0005739;GO:0022857;GO:0009507;GO:0016020	WAT1-related protein;WAT1-related protein At1g01070;WAT1-related protein At1g11450;WAT1-related protein At1g11460
CARHR001420	592	AT1G01060.1	AT1G01060.1	orthologue	GO:0043433;GO:0006355;GO:0009409;GO:0000976;GO:0003700;GO:0005634;GO:0007623;GO:0042754;GO:0048574;GO:0042752;GO:0003677;GO:0010468	Homeodomain-like superfamily protein;Protein LHY (MYB-related transcription factor LHY) (Protein LATE ELONGATED HYPOCOTYL)
CARHR001430	212	AT1G01050.1	AT1G01050.1	orthologue	GO:0005737;GO:2000904;GO:0004427;GO:0005985;GO:0006796;GO:0005829;GO:0042546;GO:0005654;GO:0005634;GO:0000287;GO:0019915	Soluble inorganic pyrophosphatase 1 (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase 1) (PPase 1)
CARHR001440	296	AT4G21240.1	AT4G21240.1	orthologue	GO:0003674;GO:0005634;GO:0008150;;GO:0005515	Putative F-box protein At4g21240
CARHR001450	311					
CARHR001460	1599	AT1G01040.2	AT1G01040.2	orthologue	GO:0035196;GO:0006364;GO:0005634;GO:0004525;GO:0035279;GO:0010228;GO:0009616;GO:0006396;GO:0030422;GO:2000034;GO:0005737;GO:0005515;GO:0010267;GO:0031053;GO:0009880;GO:0048317;GO:0010599;GO:0010098;GO:0000911;GO:0009908;GO:0010445;GO:0003677;GO:0003725;GO:0003723;GO:0004386;GO:0005524;GO:0046872;GO:0016891	Endoribonuclease Dicer homolog 1 (Dicer-like protein 1);Endoribonuclease Dicer homolog 1 (EC 3.1.26.-) (Dicer-like protein 1) (AtDCL1) (Protein ABNORMAL SUSPENSOR 1) (Protein CARPEL FACTORY) (Protein SHORT INTEGUMENTS 1) (Protein SUSPENSOR 1)
CARHR001470	306	AT1G01040.2	AT1G01040.2	other	GO:0035196;GO:0006364;GO:0005634;GO:0004525;GO:0035279;GO:0010228;GO:0009616;GO:0006396;GO:0030422;GO:2000034;GO:0005737;GO:0005515;GO:0010267;GO:0031053;GO:0009880;GO:0048317;GO:0010599;GO:0010098;GO:0000911;GO:0009908;GO:0010445;GO:0003677;GO:0003725;GO:0003723;GO:0004386;GO:0005524;GO:0046872	Endoribonuclease Dicer homolog 1 (Dicer-like protein 1);Endoribonuclease Dicer homolog 1 (EC 3.1.26.-) (Dicer-like protein 1) (AtDCL1) (Protein ABNORMAL SUSPENSOR 1) (Protein CARPEL FACTORY) (Protein SHORT INTEGUMENTS 1) (Protein SUSPENSOR 1)
CARHR001480	359	AT1G01030.1	AT1G01030.1	orthologue	GO:0005515;GO:0048366;GO:0009908;GO:0005634;GO:1901371;GO:0048480;GO:0006355;GO:0003700;GO:0003677	AP2/B3-like transcriptional factor family protein;B3 domain-containing transcription factor NGA3 (Protein NGATHA3)
CARHR001490	236	AT1G01020.1	AT1G01020.1	orthologue	GO:0016125;GO:0005739;GO:0032541;GO:0006665;GO:0005794;GO:0009507;GO:0032366;GO:0097036;GO:0003674;GO:0005783;GO:0005789	Protein ARV;Protein ARV 1 (AtArv1p)
CARHR001500	450	AT1G01010.1	AT1G01010.1	orthologue	GO:0006355;GO:0000976;GO:0005634;GO:0003700;GO:0016020;GO:0003677	NAC domain-containing protein 1 (ANAC001) (Protein NTM1-like 10)
CARHR001510	270	AT3G04430.1	AT3G04430.1	other	GO:0006355;GO:0005634;GO:0003677;GO:0003700	NAC domain containing protein 49 (T27C4.7 protein)
CARHR001520	389	AT3G04420.1, AT1G02220.1	AT1G02220.1	orthologue	GO:0000976;GO:0006355;GO:0005634;GO:0005515;GO:0005886;GO:0003700;GO:0003677;GO:0016020	AT3g04420/T27C4_6 (NAC domain containing protein 48);NAC domain containing protein 48;NAC domain-containing protein 3 (ANAC003)
CARHR001530	379	AT1G02230.1	AT1G02230.1	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0003677	NAC domain-containing protein 4 (ANAC004)
CARHR001540	149					
CARHR001550	508	AT1G02260.1	AT1G02260.1	orthologue	GO:0016020;GO:0055085;GO:0003674;GO:0005886	At1g02260 (Divalent ion symporter) (T7I23.21 protein)
CARHR001560	486	AT1G02270.1	AT1G02270.1	orthologue	GO:0005509;GO:0009507;GO:0005634;GO:0003824;GO:0003730;GO:0016020;GO:0004519;GO:0000175	Calcium-binding endonuclease/exonuclease/phosphatase family;Uncharacterized calcium-binding protein At1g02270
CARHR001570	313	AT2G41610.1	AT2G41610.1	orthologue	GO:0005783;GO:0071669;GO:0005739;GO:0003674;GO:0016020	Transmembrane protein
CARHR001580	297	AT1G02280.1	AT1G02280.1	orthologue	GO:0005515;GO:0009707;GO:0009941;GO:0006886;GO:0005576;GO:0005525;GO:0015450;GO:0009507;GO:0042802;GO:0042803;GO:0005622;GO:0003924;GO:0045036;GO:0046872	Translocase of chloroplast 33, chloroplastic (AtToc33) (EC 3.6.5.-) (33 kDa chloroplast outer envelope protein) (Plastid protein import 1)
CARHR001590	419	AT1G02290.1	AT1G02290.1	orthologue	GO:0031011;GO:0003674;GO:0005634	At1g02290
CARHR001600	153	AT1G02305.1	AT1G02305.1	other	GO:0004197;GO:0051603;GO:0005615;GO:0005764;GO:0006508;GO:0005576;GO:0000325;GO:0006952;GO:0050790	Cathepsin B-like protease 2 (EC 3.4.22.-) (Cathepsin B2) (AtCathB2)
CARHR001610	252	AT1G02300.1	AT1G02300.1	orthologue	GO:0004197;GO:0051603;GO:0005615;GO:0050790;GO:0006508;GO:0005576;GO:0005764;GO:0006952;GO:0008234	Cathepsin B-like protease 1 (EC 3.4.22.-) (Cathepsin B1) (AtCathB1)
CARHR001620	412	AT1G02310.2	AT1G02310.2	orthologue	GO:0016985;GO:0005576;GO:0000272;GO:0016020;GO:0004553	Mannan endo-1,4-beta-mannosidase 1 (EC 3.2.1.78) (Beta-mannanase 1) (Endo-beta-1,4-mannanase 1) (AtMAN1);mannan endo-1,4-beta-mannosidase (EC 3.2.1.78)
CARHR001630	221	AT4G01630.1	AT4G01630.1	other	GO:0010311;GO:0009828;GO:0003674;GO:0009826;GO:0005576;GO:0016020;GO:0009664	Putative expansin-A17 (AtEXPA17) (Alpha-expansin-17) (At-EXP17) (AtEx17) (Ath-ExpAlpha-1.13)
CARHR001640	277	AT1G02330.1	AT1G02330.1	orthologue	GO:0055121;GO:0031397;GO:0031625;GO:0016607;GO:0080022;GO:0005634;GO:0010099;GO:0000398;GO:0005681;GO:0003674;GO:1904667	Protein COP1 SUPPRESSOR 2
CARHR001650	219	AT1G02335.1	AT1G02335.1	orthologue	GO:2000280;GO:0010497;GO:0009506;GO:0030145;GO:0005576;GO:0048046	Germin-like protein subfamily 2 member 2
CARHR001660	317	AT1G02340.1	AT1G02340.1	orthologue	GO:0000209;GO:0005515;GO:0005634;GO:0009585;GO:0000976;GO:0009737;GO:0009408;GO:0007165;GO:0009738;GO:0009785;GO:0003712;GO:0009642;GO:0046983;GO:0003700;GO:1902074;GO:0005829;GO:0010218;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor HFR1 (Basic helix-loop-helix protein 26) (AtbHLH26) (bHLH 26) (Protein LONG HYPOCOTYL IN FAR-RED 1) (Protein REDUCED PHYTOCHROME SIGNALING) (Reduced sensitivity to far-red light) (Transcription factor EN 68) (bHLH transcription factor bHLH026)
CARHR001670	68					
CARHR001680	271	AT1G02360.3	AT1G02360.3	orthologue	GO:0006032;GO:0016998;GO:0071456;GO:0005975;GO:0002239;GO:0004568;GO:0005739;GO:0005576	At1g02360 (Chitinase family protein) (Putative chitinase);Chitinase family protein
CARHR001690	519	AT1G02370.1	AT1G02370.1	orthologue	GO:0003674;GO:0009507;GO:0005739;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At1g02370, mitochondrial
CARHR001700	226	AT1G02380.1	AT1G02380.1	orthologue	GO:0003674;GO:0005634;GO:0016020	T6A9.7 protein (Transmembrane protein)
CARHR001710	526	AT1G02390.1	AT1G02390.1	orthologue	GO:0010143;GO:0005739;GO:0004366;GO:0016024;GO:0090447;GO:0016791;GO:0016020;GO:0016746	Probable glycerol-3-phosphate acyltransferase 2 (AtGPAT2) (EC 2.3.1.15)
CARHR001720	329	AT1G02400.1	AT1G02400.1	orthologue	GO:0009507;GO:0009416;GO:0045487;GO:0009639;GO:0009686;GO:0045543;GO:0005737;GO:0046872	Gibberellin 2-beta-dioxygenase 6 (EC 1.14.11.13) (GA 2-oxidase 6) (Gibberellin 2-beta-hydroxylase 6) (Gibberellin 2-oxidase 6);Gibberellin 2-oxidase 6
CARHR001730	144	AT1G02405.1	AT1G02405.1	orthologue	GO:0005886;GO:0016020;GO:0003674	At1g02405 (Proline-rich family protein)
CARHR001740	291	AT1G02410.1	AT1G02410.1	orthologue	GO:0009846;GO:0010101;GO:0008150;GO:0005739;GO:0009507;GO:0033617;GO:0042803;GO:0031966;GO:0005507;GO:0005743;GO:1904960	Cytochrome c oxidase assembly protein COX11, mitochondrial
CARHR001750	494	AT1G02420.1	AT1G02420.1	orthologue	GO:0005739;GO:0003729;GO:0009507;;GO:0005515	Putative pentatricopeptide repeat-containing protein At1g02420
CARHR001760	188	AT1G02430.1, AT1G02440.1	AT1G02430.1	orthologue	GO:0005525;GO:0005794;GO:0016192;GO:0005515;GO:0006886;GO:0003924;GO:0006499;GO:0005829;GO:0005737;GO:0005886;GO:0016004;GO:0015031	ADP-ribosylation factor D1A;ADP-ribosylation factor D1B
CARHR001770	142	AT1G02450.1	AT1G02450.1	orthologue	GO:0005515;GO:0042742;GO:0045892;GO:0010112;GO:0005634	Protein NIM1-INTERACTING 1 (Protein NIMIN-1)
CARHR001780	491	AT1G02460.1	AT1G02460.1	orthologue	GO:0005576;GO:0005975;GO:0004650;GO:0016829;GO:0071555	At1g02460 (Pectin lyase-like superfamily protein) (Putative polygalacturonase)
CARHR001790	222	AT1G02470.1	AT1G02470.1	orthologue	GO:0009507;GO:0003674	Polyketide cyclase/dehydrase and lipid transport superfamily protein
CARHR001800	217	AT1G02475.1	AT1G02475.1	orthologue	GO:0003674;GO:0005634	Polyketide cyclase/dehydrase and lipid transport superfamily protein
CARHR001810	393	AT1G02500.1	AT1G02500.1	orthologue	GO:0009693;GO:0005515;GO:0004478;GO:0006556;GO:0005829;GO:0009505;GO:0005576;GO:0005737;GO:0005524;GO:0006730;GO:0046872	S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1)
CARHR001820	283	AT1G02510.1	AT1G02510.1	orthologue	GO:0005886;GO:0071805;GO:0022841;GO:0015271;GO:0009705;GO:0005267;GO:0005774;GO:0016020;GO:0030322	Two-pore potassium channel 4 (AtTPK4) (Outward-rectifying potassium channel 4) (AtKCO4)
CARHR001830	234	AT1G02300.1	AT1G02300.1	orthologue	GO:0004197;GO:0051603;GO:0005615;GO:0050790;GO:0006508;GO:0005576;GO:0005764;GO:0006952;GO:0008234	Cathepsin B-like protease 1 (EC 3.4.22.-) (Cathepsin B1) (AtCathB1)
CARHR001840	139	AT1G02305.1	AT1G02305.1	other	GO:0004197;GO:0051603;GO:0005615;GO:0005764;GO:0006508;GO:0005576;GO:0000325;GO:0006952;GO:0050790	Cathepsin B-like protease 2 (EC 3.4.22.-) (Cathepsin B2) (AtCathB2)
CARHR001850	1278	AT1G02530.1, AT1G02520.1	AT1G02520.1	orthologue	GO:0005886;GO:0005634;GO:0005576;GO:0055085;GO:0009506;GO:0140359;GO:0042626;GO:0016020;GO:0016887;GO:0005524;GO:0010328;GO:0010329;GO:0005743;GO:0015421;GO:0090374	ABC transporter B family member 11 (ABC transporter ABCB.11) (AtABCB11) (Multidrug resistance protein 8) (AtMDR8) (P-glycoprotein 11) (Probable auxin exporter ABCB11);ABC transporter B family member 12 (ABC transporter ABCB.12) (AtABCB12) (Multidrug resistance protein 16) (P-glycoprotein 12);p-glycoprotein 12
CARHR001860	232	AT1G02550.1	AT1G02550.1	orthologue	GO:0009507;GO:0043086;GO:0004857	Invertase
CARHR001870	298	AT1G02560.1	AT1G02560.1	orthologue	GO:0051117;GO:0009941;GO:0009570;GO:0004176;GO:0018119;GO:0009534;GO:0006515;GO:0009507;GO:0004252;GO:0009532;GO:0009840;GO:0009368;GO:0005576;GO:0009579;GO:0006508	ATP-dependent Clp protease proteolytic subunit 5, chloroplastic (EC 3.4.21.92) (Endopeptidase ClpP5) (nClpP5) (nClpP1)
CARHR001880	274	AT1G02575.1, AT1G02570.1	AT1G02570.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005739;GO:0016020	Transmembrane protein
CARHR001890	659	AT1G02580.1	AT1G02580.1	orthologue	GO:0003682;GO:0048317;GO:0006338;GO:0005515;GO:0046976;GO:0031507;GO:0043565;GO:0005634;GO:0042054;GO:0010484;GO:0031519;GO:0045892;GO:0141044;GO:2000014;GO:0009646;GO:0140951;GO:0032259	Histone-lysine N-methyltransferase MEDEA (EC 2.1.1.356) (Maternal embryogenesis control protein) (Protein EMBRYO DEFECTIVE 173) (Protein FERTILIZATION-INDEPENDENT SEED 1) (Protein SET DOMAIN GROUP 5);SET domain-containing protein
CARHR001900	220	AT1G02610.1	AT1G02610.1	orthologue	GO:0005634;GO:0005737;GO:0004842;GO:0016567;GO:0008270;GO:0016020	RING/FYVE/PHD zinc finger superfamily protein
CARHR001910	193	AT4G02080.1	AT4G02080.1	other	GO:0009555;GO:0006888;GO:0003924;GO:0030127;GO:0005886;GO:0070971;GO:0016050;GO:0061024;GO:0003400;GO:0006886;GO:0005525;GO:0005789;GO:0016192;GO:0032580;GO:0046872	Small COPII coat GTPase SAR1A (EC 3.6.5.2)
CARHR001920	391	AT1G02630.1	AT1G02630.1	orthologue	GO:1901642;GO:0005337;GO:0005886;GO:0016020	Equilibrative nucleotide transporter 8 (AtENT8) (Nucleoside transporter ENT8)
CARHR001930	769	AT1G02640.1	AT1G02640.1	orthologue	GO:0045493;GO:0005576;GO:0031222;GO:0009044;GO:0046556;GO:0004553;GO:0005975	Probable beta-D-xylosidase 2 (AtBXL2) (EC 3.2.1.-)
CARHR001940	713	AT1G02660.1	AT1G02660.1	orthologue	GO:0009507;GO:0002213;GO:0031349;GO:0047714;GO:0008970;GO:0005576;GO:0009628;GO:0052739;GO:0009570;GO:0016042;GO:0031969;GO:0006629	Phospholipase A1 PLIP2, chloroplastic (EC 3.1.1.32) (Galactolipase PLIP2) (EC 3.1.1.26) (Protein PLASTID LIPASE 2)
CARHR001950	259	AT2G23550.4, AT2G23560.1, AT2G23570.1, AT2G23580.1	AT2G23580.1	other	GO:0005634;GO:0009696;GO:0080031;GO:0009694;GO:0080030;GO:0080032;GO:0005737;GO:0009627;GO:0016788;GO:0005773;GO:0045087;GO:0050832;GO:0016787;GO:0051723	Methylesterase (EC 3.1.1.-);Methylesterase 4 (AtMES4) (EC 3.1.1.-) (Alpha/beta fold hydrolase/esterase 4);Methylesterase 7 (AtMES7) (EC 3.1.1.-);Putative methylesterase 19 (AtMES19) (EC 3.1.1.-);Putative methylesterase 6 (AtMES6) (EC 3.1.1.-) (Alpha/beta fold hydrolase/esterase 1)
