Brassica_napus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
NP_001302620.1	725	AT3G06860.1	AT3G06860.1	orthologue	GO:0008692;GO:0006635;GO:0004300;GO:0005730;GO:0070403;GO:0009505;GO:0004165;GO:0003857;GO:0005777;GO:0009506;GO:0005829;GO:0018812;GO:0005737;GO:0009514;GO:0003824;GO:0006631;GO:0016491;GO:0016616	Peroxisomal fatty acid beta-oxidation multifunctional protein MFP2 (AtMPF2) [Includes: Enoyl-CoA hydratase/3-2-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]
NP_001302621.1	320	AT1G78440.1	AT1G78440.1	orthologue	GO:0045487;GO:0009686;GO:0009416;GO:0045543;GO:0005575;GO:0046872	Gibberellin 2-beta-dioxygenase 1 (EC 1.14.11.13) (GA 2-oxidase 1) (Gibberellin 2-beta-hydroxylase 1) (Gibberellin 2-oxidase 1)
NP_001302623.1	292	AT1G72370.1	AT1G72370.1	orthologue	GO:0015935;GO:0022627;GO:0000028;GO:0002181;GO:0006970;GO:0005737;GO:0022626;GO:0003735;GO:0009651;GO:0003729;GO:0005634;GO:0042256;GO:0009506;GO:0009507;GO:0006412;GO:0005840	Small ribosomal subunit protein uS2;Small ribosomal subunit protein uS2z (40S ribosomal protein Sa-1) (Laminin receptor homolog) (p40)
NP_001302626.1	300	AT5G67300.1	AT5G67300.1	orthologue	GO:0000978;GO:0006355;GO:0005515;GO:0009414;GO:0000976;GO:0009753;GO:0010929;GO:0005634;GO:0009751;GO:0009737;GO:1900150;GO:2000022;GO:0003700;GO:0042742;GO:0050832;GO:0042802;GO:0000981;GO:2000031;GO:0009651;GO:0009408;GO:0043565;GO:0009738	Transcription factor MYB44 (Myb-related protein 44) (AtMYB44) (Myb-related protein R1) (AtMYBR1)
NP_001302631.1	592	AT2G36190.1	AT2G36190.1	orthologue	GO:0005987;GO:0071836;GO:0048481;GO:0090406;GO:0005982;GO:0009505;GO:0004575;GO:0048046;GO:0004553;GO:0005975	Beta-fructofuranosidase, insoluble isoenzyme CWINV4 (EC 3.2.1.26) (Beta-fructofuranosidase 6) (AtFruct6) (Cell wall beta-fructosidase 4) (Cell wall invertase 4) (AtcwINV4) (Sucrose hydrolase 4)
NP_001302632.1	1149	AT5G35750.1	AT5G35750.1	orthologue	GO:0010271;GO:0004673;GO:0070417;GO:0009736;GO:0071215;GO:0005515;GO:0048509;GO:0010029;GO:0009909;GO:0000155;GO:0009884;GO:0009737;GO:0009414;GO:0009636;GO:0042802;GO:0010087;GO:0043424;GO:0034757;GO:0000160;GO:0048831;GO:0005886;GO:0009651;GO:0006970;GO:0005034;GO:0080117;GO:0019900;GO:0005789;GO:0007165;GO:0005634;GO:0016310;GO:0016772	Histidine kinase 2 (EC 2.7.13.3) (Arabidopsis histidine kinase 2) (AtHK2) (Protein AUTHENTIC HIS-KINASE 2)
NP_001302633.1	638	AT5G03540.3	AT5G03540.3	other	GO:0090059;GO:0048354;GO:0048364;GO:0009507;GO:0010102;GO:0031982;GO:0005546;GO:0005829;GO:0070062;GO:0090404;GO:0042814;GO:0005886;GO:0000919;GO:2000652;GO:0031410;GO:1901703;GO:0005515;GO:0010089;GO:0060918;GO:0000145;GO:0005634;GO:0009506;GO:0005737;GO:0032502;GO:0048759;GO:0006887;GO:0060178;GO:0009832;GO:0009504;GO:0005576;GO:0005856;GO:0009524;GO:0015031	Exocyst complex component EXO70A1 (AtExo70a1) (Exocyst subunit Exo70 family protein A1);Exocyst subunit Exo70 family protein
NP_001302634.1	213	AT4G17615.3	AT4G17615.3	orthologue	GO:0005515;GO:0009738;GO:0009651;GO:0005886;GO:0009860;GO:0090406;GO:0016036;GO:0005737;GO:0010118;GO:1990573;GO:0006970;GO:0009409;GO:0019900;GO:0009414;GO:0005509;GO:0019722;GO:0005829;GO:0016020	Calcineurin B-like protein;Calcineurin B-like protein 1 (SOS3-like calcium-binding protein 5)
NP_001302636.1	548	AT2G17290.1	AT2G17290.1	orthologue	GO:0009931;GO:0005739;GO:0006468;GO:0005515;GO:0035556;GO:0005509;GO:0004674;GO:0004683;GO:0005516;GO:1902456;GO:0009738;GO:0005886;GO:0005737;GO:0005829;GO:0016020;GO:0005634;GO:0010119;GO:0046777;GO:0005524;GO:0010359;GO:0106310;GO:0004672	Calcium-dependent protein kinase 6 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK3) (AtCDPK3) (Calmodulin-domain protein kinase CDPK isoform 6)
NP_001302638.1	647	AT3G24550.1	AT3G24550.1	orthologue	GO:0006468;GO:0005886;GO:0009620;GO:0046777;GO:0004674;GO:0009611;GO:0004672;GO:0005634;GO:0005524;GO:0106310	Proline-rich receptor-like protein kinase PERK1 (EC 2.7.11.1) (Proline-rich extensin-like receptor kinase 1) (AtPERK1)
NP_001302640.1	383	AT2G29980.1	AT2G29980.1	orthologue	GO:0102859;GO:0042389;GO:0009507;GO:0006636;GO:0005783;GO:0016717;GO:0005789;GO:0016020;GO:0006629;GO:0016491	Acyl-lipid omega-3 desaturase (cytochrome b5), endoplasmic reticulum (EC 1.14.19.25) (Omega-3 fatty acid desaturase 3, endoplasmic reticulum);Fatty acid desaturase 3
NP_001302642.1	207				GO:0005576;GO:0012511;GO:0016020;GO:0019915;GO:0019953	
NP_001302646.1	307	AT3G15170.1	AT3G15170.1	orthologue	GO:0010223;GO:0000976;GO:0010072;GO:0009793;GO:0003700;GO:0048527;GO:0048467;GO:0009908;GO:0006355;GO:0010014;GO:0051782;GO:0005634;GO:0090691;GO:0003677	Protein CUP-SHAPED COTYLEDON 1 (NAC domain-containing protein 1) (NAC domain-containing protein 54) (ANAC054) (NAC domain-containing protein CUC1)
NP_001302648.1	704	AT2G47160.2	AT2G47160.2	orthologue	GO:0005886;GO:0080139;GO:0016328;GO:0080029;GO:0046715;GO:0055085;GO:0005773;GO:0046713;GO:0035445;GO:0009594;GO:0050801;GO:0006820;GO:0010036;GO:0005452;GO:0043674;GO:0005768;GO:0005737;GO:0005774;GO:0010008;GO:0016020;GO:0022857	Boron transporter 1;HCO3-transporter family
NP_001302652.1	501	AT2G38110.1	AT2G38110.1	orthologue	GO:0016020;GO:0010143;GO:0009908;GO:0090447;GO:0016791;GO:0005739;GO:0008654;GO:0016746	Glycerol-3-phosphate 2-O-acyltransferase 6 (AtGPAT6) (EC 2.3.1.198) (Glycerol-3-phosphate acyltransferase 6)
NP_001302654.1	280	AT3G15670.1	AT3G15670.1	orthologue	GO:0005634;GO:0003674;GO:0005829;GO:0009409	Late embryogenesis abundant protein 29 (LEA 76 homolog)
NP_001302656.1	803	AT5G03730.1	AT5G03730.1	orthologue	GO:0004674;GO:0005515;GO:0004712;GO:0010105;GO:0010182;GO:0005789;GO:0007165;GO:0009723;GO:2000069;GO:2000035;GO:0009686;GO:0046777;GO:0001666;GO:0048510;GO:0005634;GO:0009750;GO:0009744;GO:0005524;GO:0009873;GO:0106310;GO:0004672;GO:0006468	Serine/threonine-protein kinase CTR1 (EC 2.7.11.1) (Protein CONSTITUTIVE TRIPLE RESPONSE1)
NP_001302658.1	561	AT5G58350.1	AT5G58350.1	orthologue	GO:0004674;GO:0006468;GO:0004672;GO:0046777;GO:0005737;GO:0005634;GO:0035556;GO:0005524;GO:0106310	Probable serine/threonine-protein kinase WNK4 (AtWNK4) (EC 2.7.11.1) (Protein kinase with no lysine 4)
NP_001302660.1	370	AT3G45640.1	AT3G45640.1	orthologue	GO:0050826;GO:0010183;GO:0004672;GO:0080136;GO:0009611;GO:1902065;GO:0005737;GO:0004674;GO:0005515;GO:0009617;GO:0009555;GO:0009409;GO:0006468;GO:0004707;GO:0005634;GO:0005938;GO:0010229;GO:0010494;GO:0009738;GO:0010224;GO:0048481;GO:0010120;GO:0007165;GO:2000038;GO:2000037;GO:0009875;GO:0006970;GO:0006979;GO:0010200;GO:0035556;GO:0005524;GO:0009626;GO:0106310	Mitogen-activated protein kinase 3 (AtMPK3) (MAP kinase 3) (EC 2.7.11.24)
NP_001302662.1	912	AT2G17260.1	AT2G17260.1	orthologue	GO:0005217;GO:0009416;GO:0006874;GO:0019722;GO:0005886;GO:0005262;GO:0010118;GO:0006816;GO:0071230;GO:0008066;GO:0038023;GO:0015276;GO:0016020	Glutamate receptor 3.1 (AtGLR2) (Ligand-gated ion channel 3.1)
NP_001302664.1	249	AT5G13180.1	AT5G13180.1	orthologue	GO:0010150;GO:0005515;GO:0010089;GO:0005634;GO:0009651;GO:0009737;GO:0045892;GO:0010629;GO:1900055;GO:0003700;GO:0003677;GO:0006355	NAC domain-containing protein 83 (ANAC083) (Protein VND-INTERACTING 2)
NP_001302666.1	565	AT4G14210.1	AT4G14210.1	orthologue	GO:0009507;GO:0016120;GO:0016117;GO:0016166;GO:0009509;GO:0005829;GO:0009941;GO:0009534;GO:0016020;GO:0016491	15-cis-phytoene desaturase, chloroplastic/chromoplastic (EC 1.3.5.5) (Phytoene dehydrogenase) (Phytoene desaturase)
NP_001302668.1	453	AT5G35410.1	AT5G35410.1	orthologue	GO:0004674;GO:0005515;GO:0007165;GO:0009705;GO:0009651;GO:0004672;GO:0005737;GO:0005524;GO:0005634;GO:0106310;GO:0006468	CBL-interacting serine/threonine-protein kinase 24 (EC 2.7.11.1) (Protein SALT OVERLY SENSITIVE 2) (SNF1-related kinase 3.11);non-specific serine/threonine protein kinase (EC 2.7.11.1)
NP_001302670.1	232	AT5G47220.1	AT5G47220.1	orthologue	GO:0005634;GO:0003700;GO:0000976;GO:0009873;GO:0009864;GO:0010087;GO:0051301;GO:0045893;GO:0006355;GO:0003677;GO:0005622	Ethylene-responsive transcription factor 2 (AtERF2) (Ethylene-responsive element-binding factor 2) (EREBP-2)
NP_001302674.1	542	AT1G09270.1	AT1G09270.1	orthologue	GO:0005737;GO:0006607;GO:0061608;GO:0005515;GO:0030581;GO:0006606;GO:0080034;GO:0008139;GO:0005634;GO:0005635;GO:0043657	Importin subunit alpha-4 (IMPa-4)
NP_001302676.1	572	AT2G02860.1	AT2G02860.1	orthologue	GO:0022857;GO:0055085;GO:0009611;GO:0008506;GO:0015770;GO:0090406;GO:0005886;GO:0008515;GO:0005985;GO:0016020;GO:0005794;GO:0015293	Sucrose transport protein SUC3 (AtSUC3) (Sucrose permease 3) (Sucrose transporter 2) (Sucrose-proton symporter 3);Sucrose transporter 2
NP_001302678.1	437	AT4G30960.1	AT4G30960.1	orthologue	GO:0004674;GO:0009414;GO:0042538;GO:0005515;GO:0009651;GO:0007275;GO:0010540;GO:0005634;GO:0051592;GO:0007165;GO:0005524;GO:0005783;GO:0106310;GO:0004672;GO:0006468	CBL-interacting serine/threonine-protein kinase 6 (EC 2.7.11.1) (SNF1-related kinase 3.14) (SOS2-like protein kinase PKS4) (SOS3-interacting protein 3)
NP_001302680.1	276	AT1G22640.1	AT1G22640.1	orthologue	GO:0006355;GO:0000976;GO:0005515;GO:0000987;GO:0009892;GO:0005634;GO:0009611;GO:0009800;GO:0003700;GO:0003677	Myb domain protein 3;Transcription factor MYB3 (Myb-related protein 3) (AtMYB3)
NP_001302682.1	462	AT2G33150.1	AT2G33150.1	orthologue	GO:0006635;GO:0005783;GO:0003988;GO:0010124;GO:0005739;GO:0009695;GO:0009789;GO:0005730;GO:0010111;GO:0000325;GO:0005777;GO:0009611;GO:0009507;GO:0019395;GO:0005515;GO:0009514;GO:0031408;GO:0016747;GO:0016746	3-ketoacyl-CoA thiolase 2, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase 2) (Beta-ketothiolase 2) (Peroxisomal 3-oxoacyl-CoA thiolase 2) (Peroxisome defective protein 1)
NP_001302684.1	727	AT3G55610.1	AT3G55610.1	orthologue	GO:0009507;GO:0004350;GO:0055129;GO:0004349;GO:0009737;GO:0006561;GO:0005737;GO:0005739;GO:0042538;GO:0009793;GO:0009555;GO:0009506;GO:0005524;GO:0003824;GO:0016491;GO:0016620;GO:0016301	Delta 1-pyrroline-5-carboxylate synthase 2;Delta-1-pyrroline-5-carboxylate synthase B (P5CS B) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]
NP_001302686.1	213	AT5G47100.1	AT5G47100.1	orthologue	GO:0005509;GO:0005515;GO:0010118;GO:0005737;GO:0009414;GO:0005886;GO:0009860;GO:0009536;GO:0019722;GO:1990573;GO:0019900;GO:0009738;GO:0016020	Calcineurin B-like protein;Calcineurin B-like protein 9
NP_001302688.1	283	AT1G11840.6	AT1G11840.6	orthologue	GO:0009941;GO:0000325;GO:0005777;GO:0019243;GO:0005739;GO:0005829;GO:0005737;GO:0099503;GO:0004462;GO:0009507;GO:0005576;GO:0046872;GO:0051213	Lactoylglutathione lyase GLX1 (EC 4.4.1.5) (Glyoxalase I) (AtGLX1) (GlyI)
NP_001302690.1	711	AT3G24650.1	AT3G24650.1	orthologue	GO:0005515;GO:0031930;GO:0005634;GO:0045893;GO:0003700;GO:0003677;GO:0009737;GO:0009657;GO:0005829;GO:0009793;GO:0009733;GO:0006355;GO:0043565;GO:0009738	B3 domain-containing transcription factor ABI3 (Protein ABSCISIC ACID-INSENSITIVE 3)
NP_001302696.1	212	AT5G40420.1	AT5G40420.1	orthologue	GO:0012511;GO:0010344;GO:0009845;GO:0050826;GO:0019915;GO:0003729;GO:0016020	Oleosin 21.2 kDa (Oleosin type 2)
NP_001302697.1	503	AT1G01610.1	AT1G01610.1	orthologue	GO:0016791;GO:0010143;GO:0090447;GO:0009507;GO:0016020;GO:0008654;GO:0016746	Glycerol-3-phosphate 2-O-acyltransferase 4 (AtGPAT4) (EC 2.3.1.198) (Glycerol-3-phosphate acyltransferase 4)
NP_001302700.1	339	AT3G04120.1	AT3G04120.1	orthologue	GO:0000325;GO:0006096;GO:0005886;GO:0008886;GO:0005829;GO:0045893;GO:0006094;GO:0005507;GO:0005739;GO:1901149;GO:0048316;GO:0051775;GO:0010154;GO:0005740;GO:0009408;GO:0006979;GO:0005634;GO:0004365;GO:0005515;GO:0009744;GO:0048046;GO:0042542;GO:0009507;GO:0051287;GO:0050661;GO:0005737;GO:0003677;GO:0016620;GO:0006006	Glyceraldehyde-3-phosphate dehydrogenase GAPC1, cytosolic (EC 1.2.1.12) (NAD-dependent glyceraldehydephosphate dehydrogenase C subunit 1)
NP_001302704.1	280	AT5G08790.1	AT5G08790.1	orthologue	GO:0009416;GO:0045893;GO:0003700;GO:0045892;GO:0009753;GO:0009793;GO:0043424;GO:0005634;GO:0005515;GO:0009611;GO:0010099;GO:0008361;GO:0010150;GO:0009620;GO:0009744;GO:0009751;GO:0043565;GO:0003677;GO:0006355	Protein ATAF2 (NAC domain-containing protein 81) (ANAC081)
NP_001302708.1	386	AT1G59550.1, AT4G14245.1, AT4G14250.1	AT4G14250.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0043161;GO:0043130;GO:0005515	Plant UBX domain-containing protein 16 (PUX16);Putative plant UBX domain-containing protein 14 (PUX14);Putative plant UBX domain-containing protein 15 (PUX15);Structural constituent of ribosome protein
NP_001302712.1	301	AT1G80840.1, AT3G32090.1	AT1G80840.1	orthologue	GO:0006355;GO:0043565;GO:0005575;GO:0003700;GO:0045892;GO:0050691;GO:0005515;GO:0005634;GO:0050832;GO:0042742;GO:0031347;GO:0000976;GO:0009611;GO:0009751;GO:0002237	Probable WRKY transcription factor 40 (WRKY DNA-binding protein 40);WRKY family transcription factor
NP_001302714.1	247	AT5G47120.1	AT5G47120.1	orthologue	GO:0005262;GO:0005515;GO:0009414;GO:0016020;GO:0000038;GO:0043066;GO:0006983;GO:0005783;GO:0043069;GO:0005635;GO:0005886;GO:0005737;GO:0005789;GO:0042761	Bax inhibitor 1 (AtBI-1) (BI-1)
NP_001302718.1	389	AT1G28650.1, AT1G28640.1, AT1G28660.1, AT1G28670.1	AT1G28670.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0016788;GO:0016042	GDSL esterase/lipase At1g28640 (EC 3.1.1.-) (Extracellular lipase At1g28640);GDSL esterase/lipase At1g28650 (EC 3.1.1.-) (Extracellular lipase At1g28650);GDSL esterase/lipase At1g28660 (EC 3.1.1.-) (Extracellular lipase At1g28660);GDSL esterase/lipase At1g28670 (EC 3.1.1.-) (Extracellular lipase At1g28670)
NP_001302722.1	316	AT4G23810.1	AT4G23810.1	orthologue	GO:2000022;GO:0005515;GO:0045893;GO:0042742;GO:0010193;GO:0003700;GO:0009751;GO:0005634;GO:0000976;GO:0009617;GO:0043565;GO:0031347;GO:0003677;GO:0009507;GO:0000981;GO:0010150;GO:0042542;GO:0006355	Probable WRKY transcription factor 53 (WRKY DNA-binding protein 53)
NP_001302724.1	207	AT1G72610.1	AT1G72610.1	orthologue	GO:0031012;GO:0030145;GO:0005739;GO:0005576;GO:0048046	Germin-like protein subfamily 3 member 1 (At-GERM1) (AtGER1) (AtGLP1)
NP_001302728.1	484	AT1G58360.1	AT1G58360.1	orthologue	GO:0015193;GO:0015186;GO:0015171;GO:0015175;GO:0009624;GO:0015808;GO:0015800;GO:0015804;GO:0015172;GO:0015194;GO:0005886;GO:0003333;GO:0016020;GO:0043090;GO:0005313;GO:0098712;GO:0015180;GO:0015293	Amino acid permease 1 (Amino acid transporter AAP1) (Neutral amino acid transporter II)
NP_001302730.1	546	AT2G17700.1	AT2G17700.1	orthologue	GO:0005515;GO:0006468;GO:0044024;GO:0007165;GO:0004674;GO:0004712;GO:0009658;GO:0005634;GO:0005829;GO:0005524;GO:0106310;GO:0004672	Serine/threonine-protein kinase STY8 (EC 2.7.11.1) (Serine/threonine/tyrosine-protein kinase 8)
NP_001302732.1	504	AT2G19450.1	AT2G19450.1	orthologue	GO:0009409;GO:0045995;GO:0009941;GO:0005811;GO:0005789;GO:0010029;GO:0004144;GO:0019432;GO:0016020;GO:0005515;GO:0009793;GO:0009737;GO:0009651;GO:0005975;GO:0010030;GO:0009749;GO:0005634;GO:0006071;GO:0031969;GO:0008374	Diacylglycerol O-acyltransferase 1 (AtDGAT1) (EC 2.3.1.20) (Protein TRIACYLGLYCEROL 1)
NP_001302734.1	562	AT4G37750.1	AT4G37750.1	orthologue	GO:0000976;GO:0006355;GO:0003700;GO:0005634;GO:0019760;GO:0005515;GO:1905392;GO:0003677;GO:0010601;GO:0007276;GO:0010492;GO:0042127;GO:0009908;GO:0030154;GO:0051301	AP2-like ethylene-responsive transcription factor ANT (Complementing a protein kinase C mutant protein 1) (Protein AINTEGUMENTA) (Protein DRAGON) (Protein OVULE MUTANT)
NP_001302736.1	491	AT4G18700.1	AT4G18700.1	orthologue	GO:0005515;GO:0007165;GO:0004674;GO:0005886;GO:0005524;GO:0106310;GO:0004672;GO:0006468	CBL-interacting serine/threonine-protein kinase 12 (EC 2.7.11.1) (SNF1-related kinase 3.9) (SOS2-like protein kinase PKS8)
NP_001302737.1	354	AT3G17820.1	AT3G17820.1	orthologue	GO:0005507;GO:0004356;GO:0005737;GO:0022626;GO:0006542;GO:0005886;GO:0005829;GO:0009507;GO:0042128;GO:0003735;GO:0005524;GO:0003824	Glutamine synthetase cytosolic isozyme 1-3 (GS1) (EC 6.3.1.2) (Glutamate--ammonia ligase GLN1;3) (GLN1;3)
NP_001302739.1	676	AT3G15220.1	AT3G15220.1	orthologue	GO:0004674;GO:0005819;GO:0035556;GO:0005737;GO:0005886;GO:0004672;GO:0005524;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
NP_001302741.1	417	AT3G54050.1	AT3G54050.1	orthologue	GO:0009570;GO:0019253;GO:0006000;GO:0005829;GO:0030388;GO:0009773;GO:0015979;GO:0009409;GO:0005985;GO:0006094;GO:0009507;GO:0048046;GO:0010319;GO:0005737;GO:0006002;GO:0042132;GO:0046872;GO:0005975;GO:0005986;GO:0016791;GO:0042578	Fructose-1,6-bisphosphatase 1, chloroplastic (FBPase1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase) (Protein HIGH CYCLIC ELECTRON FLOW 1)
NP_001302743.1	311	AT2G22430.1	AT2G22430.1	orthologue	GO:0000976;GO:0045893;GO:0009788;GO:0009738;GO:0003700;GO:0009414;GO:0043565;GO:0005634;GO:0003677;GO:0005515;GO:0000981;GO:0006355	Homeobox-leucine zipper protein ATHB-6 (HD-ZIP protein ATHB-6) (Homeodomain transcription factor ATHB-6)
NP_001302745.1	667	AT3G05420.2	AT3G05420.2	orthologue	GO:0005515;GO:0000062;GO:0005829;GO:0006869;GO:0009723;GO:0009416;GO:0009753;GO:0005737;GO:0005634	Acyl-CoA-binding domain-containing protein 4 (Acyl-CoA binding protein 4)
NP_001302747.1	278	AT5G08790.1	AT5G08790.1	orthologue	GO:0009416;GO:0045893;GO:0003700;GO:0045892;GO:0009753;GO:0009793;GO:0043424;GO:0005634;GO:0005515;GO:0009611;GO:0010099;GO:0008361;GO:0010150;GO:0009620;GO:0009744;GO:0009751;GO:0043565;GO:0003677;GO:0006355	Protein ATAF2 (NAC domain-containing protein 81) (ANAC081)
NP_001302748.1	260	AT1G77450.1	AT1G77450.1	orthologue	GO:0001216;GO:0005634;GO:0045893;GO:1900057;GO:0000976;GO:1902890;GO:0009793;GO:0003700;GO:0003677;GO:0006355	NAC transcription factor 32 (NAC domain-containing protein 32) (ANAC032)
NP_001302749.1	579	AT5G17430.1	AT5G17430.1	orthologue	GO:0006355;GO:0003677;GO:0005515;GO:0003700;GO:0005634;GO:1905392;GO:0008283	AP2-like ethylene-responsive transcription factor BBM (AtBBM) (Protein AINTEGUMENTA-LIKE 2) (Protein BABY BOOM);Integrase-type DNA-binding superfamily protein
NP_001302750.1	510	AT4G39800.1	AT4G39800.1	orthologue	GO:0009793;GO:0006021;GO:0004512;GO:0005737;GO:0009791;GO:0005515;GO:0010264;GO:0006659;GO:0005634;GO:0005829;GO:0008654	Inositol-3-phosphate synthase isozyme 1 (AtIPS1) (MIP synthase 1) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase 1) (AtMIPS 1) (MI-1-P synthase 1)
NP_001302751.1	330	AT2G24570.1	AT2G24570.1	orthologue	GO:0000976;GO:0005515;GO:0006355;GO:0005634;GO:0005516;GO:0042742;GO:0003700;GO:0043565	Probable WRKY transcription factor 17 (WRKY DNA-binding protein 17)
NP_001302752.1	367	AT4G35260.1	AT4G35260.1	orthologue	GO:0004449;GO:0005739;GO:0008270;GO:0005886;GO:0006099;GO:0006102;GO:0009507	Isocitrate dehydrogenase [NAD] regulatory subunit 1, mitochondrial (IDH-I) (Isocitric dehydrogenase 1) (NAD(+)-specific ICDH 1)
NP_001302753.1	581	AT3G08510.1	AT3G08510.1	orthologue	GO:0009556;GO:0004435;GO:0048437;GO:0042742;GO:0048015;GO:0004629;GO:0035556;GO:0051209;GO:0005886;GO:0010601;GO:0005515;GO:0009553;GO:0016042;GO:0006629;GO:0007165;GO:0008081	Phosphoinositide phospholipase C (EC 3.1.4.11);Phosphoinositide phospholipase C 2 (EC 3.1.4.11) (Phosphoinositide phospholipase PLC2) (AtPLC2) (PI-PLC2)
NP_001302754.1	224	AT1G69390.1	AT1G69390.1	orthologue	GO:0032955;GO:0010020;GO:0005515;GO:0009706;GO:0042802;GO:0009507;GO:0005739;GO:0051301;GO:0051117	Cell division topological specificity factor homolog, chloroplastic (AtMinE1) (Protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 12)
NP_001302755.1	333	AT3G15500.1	AT3G15500.1	orthologue	GO:0009414;GO:0006355;GO:0005515;GO:0009867;GO:0003700;GO:0005634;GO:0003677	NAC domain-containing protein 55 (ANAC055) (NAC domain-containing protein 3) (AtNAC3)
NP_001302757.1	311	AT5G55560.1	AT5G55560.1	orthologue	GO:0016310;GO:0005886;GO:0004674;GO:0005737;GO:0035556;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Probable serine/threonine-protein kinase WNK11 (AtWNK11) (EC 2.7.11.1) (Protein kinase with no lysine 11)
NP_001302758.1	467	AT5G43780.1	AT5G43780.1	orthologue	GO:0009507;GO:0000103;GO:0009570;GO:0004020;GO:0004781;GO:0070814;GO:0005739;GO:0009536;GO:0005524	ATP sulfurylase 4, chloroplastic (EC 2.7.7.4)
NP_001302759.1	484	AT1G72770.1	AT1G72770.1	orthologue	GO:0005515;GO:1902531;GO:0004722;GO:0017018;GO:0009507;GO:0005634;GO:0005737;GO:0009738;GO:0046872;GO:0043169;GO:0006470	Protein phosphatase 2C 16 (AtPP2C16) (EC 3.1.3.16) (AtP2C-HA) (Protein HYPERSENSITIVE TO ABA 1) (Protein phosphatase 2C HAB1) (PP2C HAB1)
NP_001302760.1	506	AT5G24160.1, AT5G24150.1	AT5G24150.1	other	GO:0016126;GO:0004506;GO:0050660;GO:0005783;GO:0005739;GO:0005576;GO:0009725;GO:0016020	Squalene epoxidase 5 (AtSQE5) (EC 1.14.14.17) (Squalene monooxygenase 1,1) (SE 1,1);Squalene epoxidase 6 (AtSQE6) (EC 1.14.14.17) (Squalene monooxygenase 1,2) (SE 1,2);Squalene monooxygenase (EC 1.14.14.17)
NP_001302761.1	300	AT4G25700.1	AT4G25700.1	orthologue	GO:0016123;GO:0016119;GO:0009507;GO:0005506;GO:0010291;GO:0016787;GO:0031969;GO:0016491;GO:0008610	Beta-carotene 3-hydroxylase 1, chloroplastic (AtB1) (EC 1.14.15.24)
NP_001302762.1	282	AT2G43570.1	AT2G43570.1	orthologue	GO:0099503;GO:0009615;GO:0010272;GO:0005576;GO:0009627;GO:0016998;GO:0004568;GO:0048046;GO:0072722;GO:0010150;GO:0000272;GO:0006032;GO:0008061;GO:0008843;GO:0005975	Endochitinase CHI (EC 3.2.1.14)
NP_001302763.1	245	AT4G26740.1	AT4G26740.1	orthologue	GO:0009793;GO:0042803;GO:0005509;GO:0031408;GO:0006952;GO:0010431;GO:0071614;GO:1990137;GO:0020037;GO:0004497;GO:0034389;GO:0010888;GO:0004392;GO:0012511;GO:0005811;GO:0005783;GO:0016020	Peroxygenase 1 (AtPXG1) (EC 1.11.2.3) (Caleosin-1) (Embryo-specific protein 1 (ATS1))
NP_001302764.1	264	AT5G63790.2	AT5G63790.2	orthologue	GO:0000976;GO:0003677;GO:0006355;GO:0019760;GO:0005634;GO:0003700;GO:0071456;GO:0001666;GO:0009507;GO:0005515;GO:0043565	NAC domain containing protein 102;NAC domain-containing protein 102 (ANAC102)
NP_001302765.1	439	AT3G11170.1	AT3G11170.1	orthologue	GO:0005829;GO:0042170;GO:0009507;GO:0006633;GO:0009409;GO:0042389;GO:0006636;GO:0102993;GO:0009941;GO:0009706;GO:0006629;GO:0016717;GO:0016491	sn-2 acyl-lipid omega-3 desaturase (ferredoxin), chloroplastic (EC 1.14.19.35) (Omega-3 fatty acid desaturase 7, chloroplastic)
NP_001302766.1	507	AT3G59030.1	AT3G59030.1	orthologue	GO:0010231;GO:0010023;GO:0009705;GO:0022857;GO:0140968;GO:0015297;GO:0009813;GO:1990961;GO:0005774;GO:0009507;GO:1903415;GO:0042910;GO:0016020;GO:0055085	MATE efflux family protein;Protein DETOXIFICATION 41 (AtDTX41) (Multidrug and toxic compound extrusion protein 41) (MATE protein 41) (Protein TANNIN-DEFICIENT SEED 3) (Protein TRANSPARENT TESTA 12)
