Cardamine_glauca	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Cg001G001030	108	AT4G39200.1	AT4G39200.1	orthologue	GO:0005886;GO:0008150;GO:0022627;GO:0022626;GO:0003729;GO:0005737;GO:0003735;GO:0005840;GO:1990904	40S ribosomal protein S25;Small ribosomal subunit protein eS25w (40S ribosomal protein S25-4)
Cg001G001050	519	AT4G39210.1	AT4G39210.1	orthologue	GO:0005978;GO:0019252;GO:0009507;GO:0008878;GO:0005524;GO:0009058	Glucose-1-phosphate adenylyltransferase large subunit 3, chloroplastic (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADP-glucose synthase) (AGPase S) (Alpha-D-glucose-1-phosphate adenyl transferase)
Cg001G001060	191	AT4G39220.1	AT4G39220.1	orthologue	GO:0005886;GO:0006890;GO:0006621;GO:0003674;GO:0005794;GO:0000139;GO:0016020	Protein RER1A (AtRER1A)
Cg001G001070	308	AT4G39230.1	AT4G39230.1	orthologue	GO:0050664;GO:0009807;GO:0005737;GO:0032442;GO:0016491	Phenylcoumaran benzylic ether reductase 1 (AtPCBER1) (EC 1.23.1.-)
Cg001G001080	89	AT4G39235.1	AT4G39235.1	orthologue	GO:0008150;GO:0005634;GO:0003674	At4g39235
Cg001G001090	382	AT4G39240.1	AT4G39240.1	orthologue	GO:0005515;GO:0005575;	F-box/kelch-repeat protein At4g39240
Cg001G001100	99	AT4G39250.1	AT4G39250.1	orthologue	GO:0003700;GO:0006355;GO:0005634	Protein RADIALIS-like 1 (AtRL1) (Protein RAD-like 1) (Protein RADIALIS-LIKE SANT/MYB 2) (Protein RSM2)
Cg001G001110	162	AT4G39260.1	AT4G39260.1	orthologue	GO:0050688;GO:0035197;GO:0009409;GO:0005886;GO:0045087;GO:1990428;GO:0009505;GO:0009506;GO:0005777;GO:0005739;GO:0003727;GO:0005634;GO:0005730;GO:0003729;GO:0000380;GO:0010043;GO:0035198;GO:0005615;GO:0006858;GO:0050658;GO:0005829;GO:0005794;GO:0005737;GO:0003723;GO:0003676	Cold, circadian rhythm, and RNA binding 1;Glycine-rich RNA-binding protein 8 (AtGR-RBP8) (AtRBG8) (Glycine-rich protein 8) (AtGRP8) (Protein COLD, CIRCADIAN RHYTHM, AND RNA BINDING 1) (Protein CCR1) (Small RNA binding protein 2) (AtSRBP2)
Cg001G001120	357	AT3G27910.1	AT3G27910.1	orthologue	GO:0003674;GO:0005737;GO:0009506;GO:0008150;;GO:0005515	Putative F-box/kelch-repeat protein At3g27910
Cg001G001130	862	AT4G39270.1	AT4G39270.1	orthologue	GO:0005886;GO:0004672;GO:0005515;GO:0009755;GO:0038023;GO:0004713;GO:0005524;GO:0016020;GO:0033612;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cg001G001140	485	AT4G39280.1	AT4G39280.1	orthologue	GO:0005524;GO:0000049;GO:0006432;GO:0005737;GO:0009328;GO:0000287;GO:0004826;GO:0005886;GO:0005829;GO:0046872;GO:0004812;GO:0043039;GO:0000166	Phenylalanine--tRNA ligase alpha subunit, cytoplasmic (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS);phenylalanine--tRNA ligase (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit)
Cg001G001150	97	AT4G39300.1	AT4G39300.1	orthologue	GO:0005575;GO:0003674;GO:0008150	At4g39300 (Envelope glycoprotein);Envelope glycoprotein
Cg001G001160	174	AT4G39320.1	AT4G39320.1	orthologue	GO:0005886;GO:0003674	AT4g39320/T22F8_220 (Microtubule-associated protein-like protein)
Cg001G001170	360	AT4G39330.1	AT4G39330.1	orthologue	GO:0009809;GO:0045551;GO:0005515;GO:0008270;GO:0005829;GO:0048046;GO:0005737;GO:0005886;GO:0016491;GO:0016616	Probable cinnamyl alcohol dehydrogenase 9 (AtCAD9) (EC 1.1.1.195)
Cg001G001180	128	AT4G39340.1	AT4G39340.1	orthologue	GO:0005576;GO:2000008;GO:0080155;GO:0003674;GO:0031982;GO:0009567;GO:0031410	Egg cell-secreted protein 1.4
Cg001G001200	1080	AT4G39350.1	AT4G39350.1	orthologue	GO:0016759;GO:0009833;GO:0030244;GO:0005886;GO:0016760;GO:0016757;GO:0008270;GO:0071555;GO:0016020	Cellulose synthase A catalytic subunit 2 [UDP-forming] (AtCesA2) (Ath-A) (EC 2.4.1.12)
Cg001G001210	119	AT4G39360.1	AT4G39360.1	orthologue	GO:0005634;GO:0003674	At4g39360
Cg001G001220	810	AT2G21790.1	AT2G21790.1	other	GO:0005971;GO:0009263;GO:0009202;GO:0005524;GO:0004748;GO:0005737;GO:0006260	Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Protein DEFECTIVE IN POLLEN DNA DEGRADATION 2) (Ribonucleoside-diphosphate reductase R1 subunit) (AtRNR1)
Cg001G001230	491	AT4G39370.3	AT4G39370.3	orthologue	GO:0008233;GO:0031966;GO:0005737;GO:0004843;GO:0005741;GO:0031647;GO:0005634;GO:0005829;GO:0006508;GO:0016020;GO:0016579	Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (AtUBP27) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27);Ubiquitin-specific protease 27;ubiquitinyl hydrolase 1 (EC 3.4.19.12)
Cg001G001270	332	AT4G39390.1	AT4G39390.1	orthologue	GO:0005459;GO:0005886;GO:0015297;GO:0015780;GO:0072334;GO:0022857;GO:0005338;GO:0055085;GO:0000139;GO:0005794;GO:0016020	Nucleotide sugar transporter-KT 1;UDP-rhamnose/UDP-galactose transporter 4 (UDP-Rha/UDP-Gal transporter 4) (Bi-functional UDP-rhamnose/UDP-galactose transporter) (Nucleotide sugar transporter-KT 1) (AtNST-KT1)
Cg001G001280	1197	AT4G39400.1	AT4G39400.1	orthologue	GO:0042803;GO:0005496;GO:0009414;GO:0009742;GO:0004672;GO:0005515;GO:0048657;GO:0009826;GO:0010584;GO:0006468;GO:0004674;GO:0038023;GO:0004714;GO:0010224;GO:0005886;GO:0009911;GO:0016301;GO:0009729;GO:0009416;GO:0042802;GO:0048366;GO:0009755;GO:0090351;GO:0005768;GO:0010268;GO:0046982;GO:0000149;GO:0044024;GO:0032991;GO:0005524;GO:0010008;GO:0106310	Protein BRASSINOSTEROID INSENSITIVE 1 (AtBRI1) (EC 2.7.10.1) (EC 2.7.11.1) (Brassinosteroid LRR receptor kinase)
Cg001G001300	296	AT4G39410.1	AT4G39410.1	orthologue	GO:0003700;GO:1901141;GO:1990170;GO:0000976;GO:0000978;GO:0045893;GO:0005515;GO:0005634;GO:1904369;GO:0006355;GO:0043565	Probable WRKY transcription factor 13 (WRKY DNA-binding protein 13)
Cg001G001310	3190	AT4G39420.2	AT4G39420.2	orthologue	GO:0005739;GO:0005737;GO:0003674;GO:0005886	Spatacsin carboxy-terminus protein
Cg001G001320	319	AT4G39460.1	AT4G39460.1	orthologue	GO:0000095;GO:0009941;GO:0009507;GO:0005743;GO:0005739;GO:0009536;GO:0005886;GO:0009658;GO:0015805;GO:0031966;GO:0031969;GO:0055085	S-adenosylmethionine carrier 1, chloroplastic/mitochondrial (S-adenosylmethionine transporter 1) (AtSAMT1)
Cg001G001340	343	AT4G39470.1	AT4G39470.1	orthologue	GO:0003674;GO:0005634;;GO:0005515	AT4g39470/F23K16_100 (Tetratricopeptide repeat (TPR)-like superfamily protein)
Cg001G001370	368	AT4G39520.1	AT4G39520.1	orthologue	GO:0010494;GO:0002181;GO:0003924;GO:0005737;GO:0005525;GO:0019003	Developmentally-regulated G-protein 3 (AtDRG3) (Developmentally-regulated G-protein 1) (AtDRG1)
Cg001G001380	837	AT4G39530.1	AT4G39530.1	orthologue	GO:0009451;GO:0043231;GO:0003723;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At4g39530
Cg001G001390	300	AT4G39540.3	AT4G39540.3	orthologue	GO:0009507;GO:0009423;GO:0005515;GO:0019632;GO:0004765;GO:0009073;GO:0005524;GO:0008652;GO:0046872;GO:0005829	Shikimate kinase 2, chloroplastic (AtSK2) (EC 2.7.1.71);shikimate kinase (EC 2.7.1.71)
Cg001G001410	271	AT4G39610.1	AT4G39610.1	orthologue	GO:0003674;GO:0005575;GO:0010274	At4g39610
Cg001G001420	488	AT4G39620.1	AT4G39620.1	orthologue	GO:0006397;GO:0009507;GO:0003729;GO:0009793;GO:0005737;GO:0005515	Pentatricopeptide repeat-containing protein At4g39620, chloroplastic (Protein EMBRYO DEFECTIVE 2453);Tetratricopeptide repeat (TPR)-like superfamily protein
Cg001G001430	213	AT4G39630.1	AT4G39630.1	other	GO:0005515;GO:0000775;GO:0005634;GO:0003743	Translation initiation factor
Cg001G001440	572	AT4G39640.1	AT4G39640.1	orthologue	GO:0016756;GO:0103068;GO:0006751;GO:0036374;GO:0005576;GO:0009506;GO:0006979;GO:0048046;GO:0005886	Glutathione hydrolase 1 (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (EC 2.3.2.2)
Cg001G001450	482	AT3G62120.1	AT3G62120.1	other	GO:0017101;GO:0009506;GO:0005737;GO:0004827;GO:0006433;GO:0005829;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Proline--tRNA ligase, cytoplasmic (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS);proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)
Cg001G001460	577	AT4G39650.1	AT4G39650.1	orthologue	GO:0006751;GO:0005886;GO:0036374;GO:0034775;GO:0048046;GO:0005576;GO:0016756;GO:0103068	Glutathione hydrolase 2 (EC 3.4.19.13) (Gamma-glutamyltransferase 2) (Gamma-glutamyltranspeptidase 2) (EC 2.3.2.2)
Cg001G001470	479	AT4G39660.1	AT4G39660.1	orthologue	GO:0005886;GO:0005739;GO:0008270;GO:0009436;GO:0005737;GO:0019481;GO:0030170;GO:0008453;GO:0000325;GO:0009853;GO:0008483	Alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial (EC 2.6.1.44) (Beta-alanine-pyruvate aminotransferase 1);alanine--glyoxylate transaminase (EC 2.6.1.44)
Cg001G001480	226					
Cg001G001490	228	AT4G39670.1	AT4G39670.1	orthologue	GO:0005737;GO:1902388;GO:0120009;GO:0035627;GO:0005829;GO:1902387;GO:0005634;GO:0120013;GO:0016020	ACD11 homolog protein (Probable ceramide-1-phosphate transfer protein)
Cg001G001500	621	AT4G39680.1	AT4G39680.1	orthologue	GO:0005737;GO:0003676;GO:0005886;GO:0008150	SAP domain-containing protein
Cg001G001510	647	AT4G39690.1	AT4G39690.1	orthologue	GO:0061617;GO:0005743;GO:0032368;GO:1901612;GO:0098800;GO:0016036;GO:0005886;GO:0005739;GO:0042407;GO:0005515;GO:0097035;GO:0006869	MICOS complex subunit MIC60, mitochondrial (AtMic60) (Mitochondrial contact site and cristae organizing system 60 kDa subunit) (Mitofilin)
Cg001G001520	158	AT4G39700.1	AT4G39700.1	orthologue	GO:0003674;GO:0005737;GO:0008150;GO:0046872	Heavy metal-associated isoprenylated plant protein 23 (AtHIP23)
Cg001G001530	214	AT4G39710.1	AT4G39710.1	orthologue	GO:0009535;GO:0005886;GO:0009579;GO:0009543;GO:0009507;GO:0005515;GO:0005576;GO:0003755	Photosynthetic NDH subunit of lumenal location 4, chloroplastic (FK506-binding protein 16-2) (AtFKBP16-2) (Immunophilin FKBP16-2) (Peptidyl-prolyl cis-trans isomerase FKBP16-2) (PPIase FKBP16-2) (EC 5.2.1.8) (Rotamase);peptidylprolyl isomerase (EC 5.2.1.8)
Cg001G001540	295	AT4G39720.2	AT4G39720.2	orthologue	GO:0005634;GO:0003674	At4g39720 (VQ motif-containing protein);VQ motif-containing protein
Cg001G001550	181	AT4G39730.1	AT4G39730.1	orthologue	GO:0009535;GO:0000325;GO:0009651;GO:0005886;GO:0099503;GO:0009409;GO:0009579;GO:0005576;GO:0009414;GO:0005783;GO:0070300;GO:0010287;GO:0005515	PLAT domain-containing protein 1 (AtPLAT1) (PLAT domain protein 1)
Cg001G001560	281	AT4G39740.1	AT4G39740.1	orthologue	GO:0033617;GO:0055070;GO:0005739;GO:0003674;GO:0005743	Protein SCO1 homolog 2, mitochondrial (Homolog of the copper chaperone SCO1 member 2) (HCC2)
Cg001G001570	346	AT4G39770.1	AT4G39770.1	orthologue	GO:0005992;GO:0004805;GO:0005634;GO:0005737;GO:0005829	Probable trehalose-phosphate phosphatase H (AtTPPH) (EC 3.1.3.12) (Trehalose 6-phosphate phosphatase);Trehalose 6-phosphate phosphatase (EC 3.1.3.12)
Cg001G001580	274	AT4G39780.1	AT4G39780.1	orthologue	GO:0005634;GO:0003700;GO:0005515;GO:0006355;GO:0000976;GO:0003677;GO:0043565;GO:0009873	Ethylene-responsive transcription factor ERF060
Cg001G001590	674	AT4G39790.1	AT4G39790.1	orthologue	GO:0005634;GO:0003674	BZIP transcription factor, putative (DUF630 and DUF632)
Cg001G001600	131	AT4G39795.1	AT4G39795.1	orthologue	GO:1905582;GO:0005634;GO:0019900;GO:0009744;GO:0005737;GO:0009749;GO:0008270	FCS-Like Zinc finger 7
Cg001G001620	510	AT4G39800.1	AT4G39800.1	orthologue	GO:0009793;GO:0006021;GO:0004512;GO:0005737;GO:0009791;GO:0005515;GO:0010264;GO:0006659;GO:0005634;GO:0005829;GO:0008654	Inositol-3-phosphate synthase isozyme 1 (AtIPS1) (MIP synthase 1) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase 1) (AtMIPS 1) (MI-1-P synthase 1)
Cg001G001630	255	AT4G39810.1	AT4G39810.1	orthologue	GO:0008408;GO:0008150;GO:0005737;GO:0003676;GO:0004527;GO:0005634;GO:0046872	Protein NEN4 (NAC45/NAC86-dependent exonuclease-domain protein 4) (EC 3.1.11.-)
Cg001G001640	413	AT4G39820.2	AT4G39820.2	orthologue	GO:0005737;GO:0005886;GO:0003674;GO:0005515	At4g39820 (Tetratricopeptide repeat (TPR)-like superfamily protein);Tetratricopeptide repeat (TPR)-like superfamily protein
Cg001G001650	577	AT4G39830.1	AT4G39830.1	orthologue	GO:0005507;GO:0005576;GO:0008447;GO:1900367;GO:0048046;GO:0010039;GO:0016491	L-ascorbate oxidase (EC 1.10.3.3)
Cg001G001660	463	AT4G39840.1	AT4G39840.1	orthologue	GO:0005768;GO:0003674;GO:0005802;GO:0005794;GO:0016020	Cell wall integrity/stress response component-like protein
Cg001G001670	1339	AT4G39850.3	AT4G39850.3	orthologue	GO:0016042;GO:0005324;GO:0006635;GO:0140359;GO:0005778;GO:0015910;GO:0046861;GO:0016887;GO:0042760;GO:0055085;GO:0042626;GO:0005777;GO:0010030;GO:0015916;GO:0005515;GO:0006744;GO:0005524;GO:0015607;GO:0007031;GO:0016020	ABC transporter D family member 1 (ABC transporter ABCD.1) (AtABCD1) (EC 7.6.2.4) (Peroxisomal ABC transporter 1) (AtPXA1) (Protein ACETATE NON-UTILIZING 2) (Protein COMATOSE) (Protein PEROXISOME DEFECTIVE 3) (Ped3p);Peroxisomal ABC transporter 1
Cg001G001680	299	AT4G39860.1	AT4G39860.1	orthologue	GO:0005634;GO:0005737;GO:0003674	Hematological/neurological-like protein
Cg001G001690	387	AT4G39870.1	AT4G39870.1	orthologue	GO:0008150;GO:0003674;GO:0005739	Oxidation resistance protein 1
Cg001G001700	178	AT4G39880.1	AT4G39880.1	orthologue	GO:0006412;GO:0032543;GO:0005762;GO:0009507;GO:0003735;GO:0003729;GO:0005840	Large ribosomal subunit protein uL23m
Cg001G001710	217	AT4G39890.1	AT4G39890.1	orthologue	GO:0003924;GO:0006886;GO:0005886;GO:0006890;GO:0000139;GO:0042147;GO:0006891;GO:0005515;GO:0005794;GO:0005829;GO:0012505;GO:0005525;GO:0015031;GO:0016192	Ras-related protein RABH1c (AtRABH1c)
Cg001G001720	234	AT4G39900.1	AT4G39900.1	orthologue	GO:0003674;GO:0005634;GO:0016020	AT4g39900/T5J17_70 (Adenine deaminase)
Cg001G001730	370	AT4G39910.1	AT4G39910.1	orthologue	GO:0005634;GO:0006499;GO:0004843;GO:0016579;GO:0005829;GO:0005737;GO:0031647;GO:0006508	Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12) (Deubiquitinating enzyme 3) (AtUBP3) (Ubiquitin thioesterase 3) (Ubiquitin-specific-processing protease 3)
Cg001G001740	348	AT4G39920.1	AT4G39920.1	orthologue	GO:0007021;GO:0006457;GO:0007023;GO:0005737;GO:0000911;GO:0000226;GO:0015631	Tubulin-folding cofactor C (AtTFCC) (TFC C) (Protein PORCINO)
Cg001G001750	291	AT4G39940.1	AT4G39940.1	orthologue	GO:0009536;GO:0016310;GO:0004020;GO:0009507;GO:0010439;GO:0000103;GO:0070814;GO:0048232;GO:0005524;GO:0019344	Adenylyl-sulfate kinase 2, chloroplastic (EC 2.7.1.25) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase 2) (Adenosine-5'-phosphosulfate kinase 2) (APS kinase 2)
Cg001G001760	541	AT4G39950.2	AT4G39950.2	orthologue	GO:0009617;GO:0042742;GO:0006952;GO:0009507;GO:0016020;GO:0010120;GO:0009414;GO:0052544;GO:0009684;GO:0009682;GO:0009625;GO:0020037;GO:0002229;GO:0016705;GO:0006569;GO:0016709;GO:0005506;GO:0004497;GO:0090489	Cytochrome P450, family 79, subfamily B, polypeptide 2;Tryptophan N-monooxygenase 1 (EC 1.14.14.156) (Cytochrome P450 79B2) (Tryptophan N-hydroxylase 1)
Cg001G001770	780	AT4G39952.1	AT4G39952.1	orthologue	GO:0009451;GO:0003723;GO:0005739;GO:0005515;GO:0043231	Pentatricopeptide repeat-containing protein At4g39952, mitochondrial
Cg001G001780	134	AT2G04115.1, AT1G51240.1, AT1G51250.1, AT1G51230.1, AT5G39493.1, AT1G09245.1, AT3G10455.1	AT3G10455.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005576;GO:0005739;GO:0060320	At1g51250 (F11M15.11 protein) (Plant self-incompatibility protein S1 family);F11M15.10 protein (Plant self-incompatibility protein S1 family);Plant self-incompatibility protein S1 family;Plant self-incompatibility protein S1 family protein;S-protein homolog;S-protein homolog 14;S-protein homolog 15
Cg001G001790	312	AT4G39955.1	AT4G39955.1	orthologue	GO:0003824;GO:0005575	Alpha/beta-Hydrolases superfamily protein (At4g39955)
Cg001G001800	447	AT4G39960.1	AT4G39960.1	orthologue	GO:0051085;GO:0042026;GO:0009941;GO:0006457;GO:0051082;GO:0005886;GO:0009535;GO:0005515;GO:0009408;GO:0031072;GO:0009507;GO:0005737;GO:0005506;GO:0005524;GO:0008270	AT4g39960/T5J17_130 (Molecular chaperone Hsp40/DnaJ family protein)
Cg001G001810	315	AT4G39970.1	AT4G39970.1	orthologue	GO:0009570;GO:0009941;GO:0005886;GO:0003674;GO:0009507;GO:0016787;GO:0046872	Haloacid dehalogenase-like hydrolase domain-containing protein At4g39970 (EC 3.1.3.-)
Cg001G001820	527	AT4G39980.1	AT4G39980.1	orthologue	GO:0003849;GO:0009507;GO:0009073;GO:0009423;GO:0005515;GO:0009617;GO:0005739;GO:0009611;GO:0008652	Phospho-2-dehydro-3-deoxyheptonate aldolase 1, chloroplastic (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1) (DAHP synthase 1) (Phospho-2-keto-3-deoxyheptonate aldolase 1)
Cg001G001830	223	AT4G39990.1	AT4G39990.1	orthologue	GO:0032588;GO:0031901;GO:0042546;GO:0035619;GO:0005794;GO:0003924;GO:0005886;GO:0032456;GO:0005525;GO:0019900;GO:0090404;GO:0005768;GO:0015031	Ras-related protein RABA4b (AtRABA4b) (Ras-related protein GB3) (AtGB3) (Ras-related protein Rab11G) (AtRab11G)
Cg001G001840	768	AT4G40000.1	AT4G40000.1	orthologue	GO:0001510;GO:0005634;GO:0008168;GO:0016428;GO:0000049;GO:0030488;GO:0003723;GO:0008173	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Cg001G001850	282	AT2G22420.1	AT2G22420.1	orthologue	GO:0010228;GO:0005576;GO:0009809;GO:0140825;GO:0006979;GO:0004601;GO:0020037;GO:0009505;GO:0005773;GO:0042744;GO:0046872	Peroxidase 17 (Atperox P17) (EC 1.11.1.7) (ATP25a)
Cg001G001860	361	AT4G40010.1	AT4G40010.1	orthologue	GO:0004674;GO:0009651;GO:0005634;GO:0006970;GO:0005737;GO:0016301;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Serine/threonine-protein kinase SRK2F (EC 2.7.11.1) (OST1-kinase-like 5) (SNF1-related kinase 2.7) (SnRK2.7)
Cg001G001870	624	AT4G40020.1	AT4G40020.1	orthologue	GO:0007131;GO:0005737;GO:0003674	Myosin heavy chain-related protein
Cg001G001880	136	AT4G40030.2	AT4G40030.2	other	GO:0030527;GO:0005634;GO:0000786;GO:0003677;GO:0046982;GO:0005886;GO:0005730;GO:0030875	Histone H3.3 (Histone H3.2);Histone superfamily protein
Cg001G001890	136	AT4G40030.2	AT4G40030.2	other	GO:0030527;GO:0005634;GO:0000786;GO:0003677;GO:0046982;GO:0005886;GO:0005730;GO:0030875	Histone H3.3 (Histone H3.2);Histone superfamily protein
Cg001G001900	101	AT4G40042.1	AT4G40042.1	orthologue	GO:0005787;GO:0006465;GO:0003674;GO:0045047;GO:0016020	Signal peptidase complex subunit 1
Cg001G001910	132	AT4G40045.1	AT4G40045.1	orthologue	GO:0009507;GO:0003674;GO:0016020	Transmembrane protein
Cg001G001920	7					
Cg001G001930	597	AT4G40050.1	AT4G40050.1	orthologue	GO:0003714;GO:0005634;GO:0006351	Signal transducer, putative (DUF3550/UPF0682)
Cg001G001950	295	AT4G40060.1	AT4G40060.1	orthologue	GO:0045893;GO:0043565;GO:0048573;GO:0009637;GO:0030308;GO:0003700;GO:0000981;GO:0000976;GO:0048510;GO:0005634;GO:0003677;GO:0006355	Homeobox-leucine zipper protein ATHB-16 (HD-ZIP protein ATHB-16) (Homeodomain transcription factor ATHB-16)
Cg001G001960	326	AT4G40070.1	AT4G40070.1	orthologue	GO:0016567;GO:0005575;GO:0003674;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL32 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL32)
Cg001G001970	354	AT4G40080.1	AT4G40080.1	orthologue	GO:0005546;GO:0072583;GO:0000149;GO:0005739;GO:0030136;GO:0006900;GO:0005545;GO:0048268;GO:0005905;GO:0032050;GO:0005543;GO:0005794	Putative clathrin assembly protein At4g40080
Cg001G001980	128	AT4G40090.1	AT4G40090.1	orthologue	GO:0005886;GO:0003674;GO:0007275;GO:0098552	Classical arabinogalactan protein 3
Cg001G001990	287	AT4G40100.1	AT4G40100.1	orthologue	GO:0009637;GO:0003674;GO:0005737;GO:0010119	Putative GEM-like protein 3
Cg001G002000	147	AT1G26290.1	AT1G26290.1	orthologue	GO:0003674;GO:0005739	Uncharacterized protein F28B23.5
Cg001G002010	185	AT4G38100.1	AT4G38100.1	orthologue	GO:0003674;GO:0009535;GO:0009579;GO:0009507;GO:0016020	CURVATURE THYLAKOID 1D-like protein;Protein CURVATURE THYLAKOID 1D, chloroplastic
Cg001G002020	241	AT4G38090.1	AT4G38090.1	orthologue	GO:0006446;GO:0003674;GO:0005737;GO:0005840;GO:0016020	AT4G38090 protein (Ribosomal protein S5 domain protein);At4g38090 (Ribosomal protein S5 domain protein);Ribosomal protein S5 domain protein
Cg001G002030	119	AT4G38080.1	AT4G38080.1	orthologue	GO:0008150;GO:0003674;GO:0005575	At4g38080 (Hydroxyproline-rich glycoprotein family protein)
Cg001G002040	200	AT4G38070.1	AT4G38070.1	orthologue	GO:0006355;GO:0005634;GO:0005739;GO:0003700;GO:0046983;GO:0003677	Transcription factor bHLH131 (Basic helix-loop-helix protein 131) (AtbHLH131) (bHLH 131) (bHLH transcription factor bHLH131)
Cg001G002050	1047	AT4G38062.1	AT4G38062.1	orthologue	GO:0005737;GO:0003674	Uncharacterized protein At4g38062
Cg001G002060	145	AT4G38060.2	AT4G38060.2	orthologue	GO:0009507;GO:0005739;GO:0003674	AT4G38060 protein (AT4g38060/F20D10_180);Putative protei
Cg001G002070	704	AT4G38050.1	AT4G38050.1	orthologue	GO:0022857;GO:0005886;GO:0055085;GO:0005634;GO:0016020	Nucleobase-ascorbate transporter 11 (AtNAT11)
Cg001G002080	428	AT4G38040.1	AT4G38040.1	orthologue	GO:0003674;GO:0000138;GO:0006486;GO:0005802;GO:0005794;GO:0005768;GO:0000139;GO:0016757;GO:0009101	AT4G38040 protein (Exostosin family protein);Exostosin family protein (Glycosyltransferase)
Cg001G002090	661	AT4G38030.1	AT4G38030.1	orthologue	GO:0030246;GO:0102210;GO:0005576;GO:0005975;GO:0016829;GO:0003824	rhamnogalacturonan endolyase (EC 4.2.2.23)
Cg001G002100	355	AT4G38020.1	AT4G38020.1	orthologue	GO:0009507;GO:0008173;GO:0003723;GO:0006396;GO:0032259	At4g38020 (tRNA/rRNA methyltransferase (SpoU) family protein)
Cg001G002110	558	AT4G38010.1	AT4G38010.1	orthologue	GO:0005739;GO:0009451;GO:0003723;GO:0005515	Pentatricopeptide repeat-containing protein At4g38010
Cg001G002120	232	AT4G38000.1	AT4G38000.1	orthologue	GO:0003700;GO:0045893;GO:0006355;GO:0010227;GO:0005634;GO:0003677;GO:0005515;GO:0008270	Dof zinc finger protein DOF4.7 (AtDOF4.7) (Protein DNA BINDING WITH ONE FINGER 4.7)
Cg001G002130	357	AT4G37990.1	AT4G37990.1	orthologue	GO:0009626;GO:0005737;GO:0008270;GO:0005886;GO:0045551;GO:0009809;GO:0009617;GO:0047681;GO:0016491;GO:0016616	Cinnamyl alcohol dehydrogenase 8 (AtCAD8) (EC 1.1.1.195) (NAD-dependent mannitol dehydrogenase 2)
Cg001G002140	359	AT4G37980.1	AT4G37980.1	orthologue	GO:0045551;GO:0008270;GO:0009809;GO:0009617;GO:0009626;GO:0005737;GO:0010597;GO:0005886;GO:0016491;GO:0016616	Cinnamyl alcohol dehydrogenase 7 (AtCAD7) (EC 1.1.1.195) (Cinnamyl alcohol dehydrogenase-like protein B)
