Aethionema_saxatile	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
As001G001020	909	AT4G29180.2, AT4G29450.1	AT4G29180.2	orthologue	GO:0005515;GO:0005575;GO:0016310;GO:0016301;GO:0005576;GO:0004674;GO:0006468;GO:0044024;GO:0005524;GO:0016020;GO:0106310;GO:0004672	Leucine-rich repeat protein kinase (Leucine-rich repeat receptor-like protein kinase) (Serine/threonine-specific receptor protein kinase-like protein);Probable LRR receptor-like serine/threonine-protein kinase At4g29180 (EC 2.7.11.1);Root hair specific 16
As001G001030	372	AT4G29190.1	AT4G29190.1	orthologue	GO:0003700;GO:0006355;GO:0005886;GO:0005634;GO:0003677;GO:0008270;GO:0046872	Zinc finger CCCH domain-containing protein 49 (AtC3H49)
As001G001050	624	AT4G29210.1	AT4G29210.1	orthologue	GO:0036374;GO:0006805;GO:0006751;GO:0005773;GO:0016756;GO:0006508;GO:0103068;GO:0005886;GO:0005774;GO:0009636	Glutathione hydrolase 3 (EC 3.4.19.13) (Gamma-glutamyltransferase 3) (Gamma-glutamyltranspeptidase 3) (EC 2.3.2.2) (Gamma-glutamyltranspeptidase 4)
As001G001060	529	AT4G29220.1	AT4G29220.1	orthologue	GO:0003872;GO:0006096;GO:0005886;GO:0005829;GO:0005737;GO:0006002;GO:0005524;GO:0046872	ATP-dependent 6-phosphofructokinase 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (Phosphohexokinase 1)
As001G001070	511	AT4G29230.1	AT4G29230.1	orthologue	GO:0005634;GO:0045893;GO:1905177;GO:0006355;GO:0000976;GO:2000652;GO:0003677;GO:0010321;GO:0000987;GO:0003700;GO:0071555	NAC domain containing protein 75;NAC domain-containing protein 75 (ANAC075)
As001G001080	464	AT4G29240.1	AT4G29240.1	orthologue	GO:0005576;GO:0003674;GO:0016020;GO:0071555;GO:0005515	Cell wall hydroxyproline-rich glycoprotein
As001G001090	257	AT4G29260.1	AT4G29260.1	orthologue	GO:0003993;GO:0099503;GO:0000325;GO:0005576;GO:0045735	Acid phosphatase-like protein (HAD superfamily, subfamily IIIB acid phosphatase) (Putative acid phosphatase)
As001G001100	259	AT4G29270.1	AT4G29270.1	orthologue	GO:0009507;GO:0003993;GO:0045735	Acid phosphatase-like protein (At4g29270) (HAD superfamily, subfamily IIIB acid phosphatase)
As001G001110	93	AT2G07800.1	AT2G07800.1	other	GO:0005575;GO:0008150;GO:0003674;;GO:0008270	Transmembrane protein
As001G001150	428	AT4G29310.1	AT4G29310.1	orthologue	GO:0005634;GO:0003674	DUF1005 family protein (DUF1005)
As001G001160	267	AT4G29330.1	AT4G29330.1	orthologue	GO:0009507;GO:0005789;GO:0036503;GO:0005886;GO:0030968;GO:0005047;GO:0006950	Derlin;Derlin-1 (AtDerlin1-1)
As001G001170	134	AT4G29340.1	AT4G29340.1	orthologue	GO:0005938;GO:0042989;GO:0003785;GO:0005737;GO:0005634;GO:0003779;GO:0005856	Profilin-4 (AtPROF3) (AthPRF4)
As001G001180	131	AT4G29350.1	AT4G29350.1	orthologue	GO:0048527;GO:0009507;GO:0048366;GO:0010494;GO:0008154;GO:0042989;GO:0005737;GO:0005515;GO:0005829;GO:0010229;GO:0005886;GO:0005938;GO:0003785;GO:0003779;GO:0005634;GO:0005783;GO:0005856;GO:0006952	Profilin-2 (AtPROF2) (AthPRF2)
As001G001190	530	AT4G29360.2	AT4G29360.2	orthologue	GO:0042973;GO:0005886;GO:0005576;GO:0005975;GO:0016020;GO:0006952;GO:0071555;GO:0098552;GO:0009506;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39);Glucan endo-1,3-beta-glucosidase 12 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 12) ((1->3)-beta-glucanase 12) (Beta-1,3-endoglucanase 12) (Beta-1,3-glucanase 12)
As001G001200	1538	AT4G29380.1	AT4G29380.1	orthologue	GO:0006623;GO:0004674;GO:0005794;GO:0005770;GO:0005524;GO:0005515;GO:0000425;GO:0010008;GO:0045324;GO:0005942;GO:0005737;GO:0034271;GO:0009846;GO:0080008;GO:0071561;GO:0016236;GO:0009555;GO:0005886;GO:0034272;GO:0015031;GO:0106310;GO:0004672;GO:0006468;GO:0030242	non-specific serine/threonine protein kinase (EC 2.7.11.1);Serine/threonine-protein kinase VPS15 (EC 2.7.11.1) (Vacuolar protein sorting-associated protein 15) (AtVPS15)
As001G001210	49	AT5G56670.1, AT4G29390.1, AT2G19750.1	AT5G56670.1	other	GO:0005737;GO:0022627;GO:0005886;GO:0005730;GO:0003729;GO:0008150;GO:0005739;GO:0009536;GO:0006412;GO:0003735;GO:0005840	Small ribosomal subunit protein eS30z/eS30y/eS30x (40S ribosomal protein S30)
As001G001220	293	AT4G29400.1	AT4G29400.1	orthologue	GO:0005575;GO:0003674;GO:0008150	Oxidoreductase/transition metal ion-binding protein (DUF3531)
As001G001230	143	AT4G29410.1	AT4G29410.1	orthologue	GO:0022625;GO:0005886;GO:0003729;GO:0000976;GO:0009506;GO:0006412;GO:0003735;GO:0005840	Large ribosomal subunit protein eL28y (60S ribosomal protein L28-2)
As001G001240	444	AT4G29420.1	AT4G29420.1	orthologue	GO:0008150;GO:0005634;GO:0003674;;GO:0005515	F-box/LRR-repeat protein At4g29420
As001G001250	1145	AT4G29440.1	AT4G29440.1	orthologue	GO:0008104;GO:0005634;GO:0015031;GO:0003674	Regulator of Vps4 activity in the MVB pathway protein
As001G001310	88	AT3G49680.1	AT3G49680.1	other	GO:0052655;GO:0009098;GO:0009507;GO:0009097;GO:0009570;GO:0004084;GO:0009099;GO:0052656;GO:0052654;GO:0005737;GO:0008652;GO:0009082;GO:0010326;GO:0009081;GO:0003824	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42);Branched-chain-amino-acid aminotransferase 3, chloroplastic (Atbcat-3) (EC 2.6.1.42) (EC 2.6.1.88)
As001G001320	30	AT2G18040.1	AT2G18040.1	other	GO:0005783;GO:0009506;GO:0009507;GO:0009909;GO:0005739;GO:0003755;GO:0005634;GO:0009630;GO:0005829;GO:0032880;GO:0005515;GO:0051726	Peptidyl-prolyl cis-trans isomerase Pin1 (PPIase Pin1) (EC 5.2.1.8) (PIN1At) (Rotamase Pin1)
As001G001330	199	AT4G29470.1	AT4G29470.1	orthologue	GO:0009846;GO:0009860;GO:0050482;GO:0008289;GO:0005783;GO:0005509;GO:0005576;GO:0006644;GO:0009555;GO:0004623;GO:0016042;GO:0046872	Phospholipase A2-delta (EC 3.1.1.4) (Secretory phospholipase A2-delta) (AtsPLA2-delta)
As001G001340	122	AT4G29480.1	AT4G29480.1	orthologue	GO:0015986;GO:0005739;GO:0046933;GO:0005886;GO:0015078;GO:0031966;GO:0045259	AT4g29480/F17A13_300 (Copia-like retroelement pol polyprotein) (Mitochondrial ATP synthase subunit G protein)
As001G001350	493	AT4G29490.1	AT4G29490.1	orthologue	GO:0008233;GO:0070006;GO:0009507;GO:0030145;GO:0006508;GO:0016805	Xaa-Pro dipeptidase (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase)
As001G001360	391	AT4G29510.1	AT4G29510.1	orthologue	GO:0016274;GO:0005634;GO:0042054;GO:0006355;GO:0035242;GO:0005515;GO:0005737;GO:0006338;GO:0006325;GO:0032259;GO:0018216;GO:0019919;GO:0034969	Protein arginine N-methyltransferase 1.1 (AtPRMT11) (EC 2.1.1.319) (Arginine methyltransferase pam1) (Histone-arginine N-methyltransferase PRMT11)
As001G001370	310	AT4G29520.1	AT4G29520.1	orthologue	GO:0005783;GO:0061077;GO:0044183;GO:0005515;GO:0009408;GO:0005886;GO:0006457	Nucleophosmin
As001G001380	246	AT4G29530.1	AT4G29530.1	orthologue	GO:0051262;GO:0009507;GO:0009229;GO:0016791;GO:0042131;GO:0052732;GO:0004427;GO:0005634;GO:0006580;GO:0016311;GO:0046872	Pyridoxal phosphate phosphatase-related protein;Thiamine phosphate phosphatase-like protein (EC 3.1.3.100)
As001G001390	334	AT4G29540.2	AT4G29540.2	orthologue	GO:0009507;GO:0008780;GO:0005739;GO:2001289;GO:0005737;GO:0008610;GO:0016020;GO:0009245	Bacterial transferase hexapeptide repeat-containing protein;Probable acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, mitochondrial (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129) (Protein LIPID X A) (AtLpxA)
As001G001400	312	AT4G29590.1	AT4G29590.1	orthologue	GO:0009507;GO:0008757;GO:0032259	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
As001G001410	301	AT4G29610.1	AT4G29610.1	orthologue	GO:0009972;GO:0005634;GO:0004126;GO:0008270;GO:0005829;GO:0003824;GO:0016787	Cytidine deaminase 6 (EC 3.5.4.5)
As001G001420	192	AT4G29658.2	AT4G29658.2	orthologue	GO:0016192;GO:0005783;GO:0003674;GO:0005794;GO:0005789;GO:0016020	PRA1 family protein;PRA1 family protein C (AtPRA1.C)
As001G001430	103	AT4G29660.1	AT4G29660.1	orthologue	GO:0009793;GO:0003674;GO:0005739;GO:0016020	Uncharacterized protein At4g29660 (Protein EMBRYO DEFECTIVE 2752)
As001G001440	232	AT4G29670.2	AT4G29670.2	orthologue	GO:0009507;GO:0016671;GO:0045454	Thioredoxin-like 2-2, chloroplastic (Atypical cysteine/histidine-rich thioredoxin 2) (AtACHT2)
As001G001450	364	AT2G41040.1	AT2G41040.1	orthologue	GO:0008150;GO:0010287;GO:0009507;GO:0008757;GO:0008168;GO:0009058;GO:0032259	Uncharacterized methyltransferase At2g41040, chloroplastic (EC 2.1.1.-)
As001G001460	490	AT4G29680.1	AT4G29680.1	orthologue	GO:0000325;GO:0016020;GO:0005634;GO:0047429;GO:0016787;GO:0005773	Alkaline-phosphatase-like family protein (Nucleotide pyrophosphatase-like protein (EC 3.6.1.9))
As001G001470	439	AT4G29690.1	AT4G29690.1	orthologue	GO:0005575;GO:0047429;GO:0016787;GO:0005773	Alkaline-phosphatase-like family protein (Nucleotide pyrophosphatase-like protein (EC 3.6.1.9))
As001G001480	98					
As001G001490	468	AT4G29700.1	AT4G29700.1	orthologue	GO:0005515;GO:0047429;GO:0005576;GO:0000325;GO:0016787;GO:0005773	Alkaline-phosphatase-like family protein (Nucleotide pyrophosphatase-like protein (EC 3.6.1.9)) (Putative nucleotide pyrophosphatase)
As001G001510	185	AT2G18390.1	AT2G18390.1	orthologue	GO:0006457;GO:0007021;GO:0009630;GO:0009793;GO:0003924;GO:0005525;GO:0009960;GO:0009558;GO:0005737;GO:0000226;GO:0015630	ADP-ribosylation factor-like protein 2 (Protein ARF-like 2) (Protein HALLIMASCH) (Protein TITAN 5)
As001G001520	539	AT4G29720.1	AT4G29720.1	orthologue	GO:0005737;GO:0048510;GO:0046208;GO:1990534;GO:0046592;GO:0005739;GO:0050660;GO:0052901;GO:0052903;GO:1903602;GO:0016491	Probable polyamine oxidase 5 (AtPAO5) (EC 1.5.3.-)
As001G001530	862	AT1G77550.1	AT1G77550.1	orthologue	GO:0005737;GO:0003674;GO:0036211;GO:0016874	At1g77550 (Tubulin-tyrosine ligase)
As001G001540	76	AT4G29735.2	AT4G29735.2	orthologue	GO:0003674;GO:0009507;GO:0008150;GO:0043227;GO:0032991;GO:0005789;GO:0006487;GO:0008250;GO:0034976;GO:0062062	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit OST5
As001G001550	508	AT4G29740.2	AT4G29740.2	orthologue	GO:0019139;GO:0005576;GO:0009690;GO:0016491;GO:0009823;GO:0071949;GO:0008131;GO:0050660;GO:0003824	cytokinin dehydrogenase (EC 1.5.99.12);Cytokinin dehydrogenase 4 (EC 1.5.99.12) (Cytokinin oxidase 4) (AtCKX4) (CKO 4)
As001G001560	245	AT3G55620.1	AT3G55620.1	orthologue	GO:0009793;GO:0000460;GO:0000470;GO:1902626;GO:0005634;GO:0005829;GO:0071215;GO:0005730;GO:0000054;GO:0043023;GO:0003743;GO:0042256;GO:0042273;GO:0043022	Eukaryotic translation initiation factor 6-2 (AteIF-6;2)
As001G001580	459	AT2G25150.1	AT2G25150.1	orthologue	GO:0005575;GO:0080073;GO:0016410;GO:0008216;GO:0006596	Spermidine coumaroyl-CoA acyltransferase (SCT) (Spermidine dicoumaroyl transferase) (EC 2.3.1.249)
As001G001590	520	AT2G25160.1	AT2G25160.1	orthologue	GO:0005576;GO:0016705;GO:0005506;GO:0004497;GO:0020037;GO:0016020	At2g25160 (Cytochrome P450, family 82, subfamily F, polypeptide 1) (Putative Cytochrome P450);Cytochrome P450, family 82, subfamily F, polypeptide 1
As001G001610	453	AT2G25150.1	AT2G25150.1	orthologue	GO:0005575;GO:0080073;GO:0016410;GO:0008216;GO:0006596	Spermidine coumaroyl-CoA acyltransferase (SCT) (Spermidine dicoumaroyl transferase) (EC 2.3.1.249)
As001G001630	520	AT2G25160.1	AT2G25160.1	orthologue	GO:0005576;GO:0016705;GO:0005506;GO:0004497;GO:0020037;GO:0016020	At2g25160 (Cytochrome P450, family 82, subfamily F, polypeptide 1) (Putative Cytochrome P450);Cytochrome P450, family 82, subfamily F, polypeptide 1
As001G001640	459	AT2G25150.1	AT2G25150.1	orthologue	GO:0005575;GO:0080073;GO:0016410;GO:0008216;GO:0006596	Spermidine coumaroyl-CoA acyltransferase (SCT) (Spermidine dicoumaroyl transferase) (EC 2.3.1.249)
As001G001650	461	AT2G25150.1	AT2G25150.1	orthologue	GO:0005575;GO:0080073;GO:0016410;GO:0008216;GO:0006596	Spermidine coumaroyl-CoA acyltransferase (SCT) (Spermidine dicoumaroyl transferase) (EC 2.3.1.249)
As001G001670	524	AT4G29780.1	AT4G29780.1	orthologue	GO:0071456;GO:0003674;GO:0005575;GO:0004518;GO:0005634;GO:0016787;GO:0046872	Nuclease
As001G001680	1222	AT4G29790.1	AT4G29790.1	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0070461	AT4g29790/F27B13_30 (Serine/arginine repetitive matrix protein)
As001G001690	530	AT4G29800.2	AT4G29800.2	orthologue	GO:0005515;GO:0005575;GO:0006952;GO:0016042;GO:0016787;GO:0006629	Patatin-like protein 8 (AtPLP8) (EC 3.1.1.-) (Patatin-related phospholipase A IIIgamma) (pPLAIIIg) (Phospholipase A IVD) (AtPLAIVD)
As001G001700	364	AT4G29810.2	AT4G29810.2	orthologue	GO:0009409;GO:0005515;GO:0006468;GO:0004708;GO:0004674;GO:0000165;GO:0009651;GO:0009612;GO:0005737;GO:0002229;GO:0098542;GO:0009631;GO:0005886;GO:0009875;GO:0060918;GO:0010051;GO:0004713;GO:0005524;GO:0045087;GO:0106310;GO:0051707;GO:0004672	mitogen-activated protein kinase kinase (EC 2.7.12.2);Mitogen-activated protein kinase kinase 2 (AtMAP2Kbeta) (AtMKK2) (MAP kinase kinase 2) (EC 2.7.12.2)
As001G001710	213	AT4G29820.1	AT4G29820.1	orthologue	GO:0005634;GO:0006397;GO:0005515;GO:0031124;GO:0035925;GO:0005849;GO:0003729;GO:0046872	Pre-mRNA cleavage factor Im 25 kDa subunit 1 (Cleavage and polyadenylation specificity factor 25 kDa subunit) (AtCFI-25) (CFIm-25) (CPSF 25 kDa subunit) (Cleavage and polyadenylation specificity factor subunit 25)
As001G001720	321	AT4G29830.1	AT4G29830.1	other	GO:0016593;GO:0009910;GO:1904278;GO:0005515;GO:0005634;GO:0080008;GO:0016441;GO:0005886;GO:0005829;GO:0005737;GO:0009908	WD repeat-containing protein VIP3 (Protein BOUQUET-1) (boq-1) (Protein SKI8 homolog) (Protein VERNALIZATION INDEPENDENCE 3) (Protein ZWERGERL) (zwg)
As001G001730	528	AT4G29840.1	AT4G29840.1	orthologue	GO:0009570;GO:0009507;GO:0009088;GO:0030170;GO:0005737;GO:0019344;GO:0010073;GO:0004795;GO:0005886;GO:0006520	Threonine synthase 1, chloroplastic (EC 4.2.3.1) (Protein METHIONINE OVER-ACCUMULATOR 2)
As001G001740	103	AT4G29850.1	AT4G29850.1	orthologue	GO:0012505;GO:0008150;GO:0003674;GO:0005769;GO:0005770;GO:0005776;GO:0005794;GO:0016020;GO:0055037	Transmembrane protein 230
As001G001750	176	AT4G29870.1	AT4G29870.1	orthologue	GO:0006486;GO:0008250;GO:0003674;GO:0009101	At4g29870 (Oligosaccharyltransferase complex/magnesium transporter family protein)
As001G001760	376	AT4G29880.1	AT4G29880.1	orthologue	GO:0035556;GO:0003674;GO:0005739;;GO:0005737;GO:0005515	Plant intracellular Ras-group-related LRR protein 7
As001G001770	435	AT4G29890.1	AT4G29890.1	orthologue	GO:0019285;GO:0009507;GO:0005506;GO:0019133;GO:0009570;GO:0051537	Choline monooxygenase, chloroplastic (EC 1.14.15.7)
As001G001780	1072	AT4G29900.1	AT4G29900.1	orthologue	GO:0005886;GO:0048281;GO:0005388;GO:0016887;GO:0005634;GO:0070588;GO:0048367;GO:0051480;GO:0043231;GO:0009506;GO:0005516;GO:0005524;GO:0046872;GO:0019829;GO:0016020;GO:0000166;GO:0005215	Calcium-transporting ATPase 10, plasma membrane-type (EC 7.2.2.10) (Ca(2+)-ATPase isoform 10)
As001G001800	439	AT3G12220.1	AT3G12220.1	other	GO:0005576;GO:0016747;GO:0019748;GO:0006508;GO:0009507;GO:0004185;GO:0016752	Serine carboxypeptidase-like 16;Serine carboxypeptidase-like 16 (EC 3.4.16.-)
As001G001810	532	AT4G29910.2	AT4G29910.2	orthologue	GO:0005515;GO:0005634;GO:0005664;GO:0006270;GO:0003688;GO:0000808;GO:0006260;GO:0005524;GO:0009744	Origin of replication complex subunit 5 (AtORC5);Origin recognition complex protein 5
As001G001820	1003	AT4G29920.2	AT4G29920.2	orthologue	GO:0009651;GO:0005634;GO:0042631;GO:0005737;GO:0033500;GO:0003674;GO:0010233;GO:0016787	Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein;Protein SMAX1-LIKE 4 (AtSMXL4) (Protein HEAT SHOCK PROTEIN-RELATED) (AtHSPR) (EC 3.6.3.-)
As001G001830	269	AT4G29930.3	AT4G29930.3	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0046983;GO:0043565;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor bHLH27 (Basic helix-loop-helix protein 27) (AtbHLH27) (bHLH 27) (Transcription factor EN 42) (bHLH transcription factor bHLH027)
As001G001840	714	AT4G29940.1	AT4G29940.1	orthologue	GO:0045814;GO:0003700;GO:0003677;GO:0009733;GO:0005634;GO:0045893;GO:0043565;GO:0003682;GO:0005515;GO:0006952;GO:0008270	Pathogenesis related homeodomain protein A;Pathogenesis-related homeodomain protein (PRHA)
As001G001850	791	AT4G29950.1	AT4G29950.1	orthologue	GO:0005794;GO:0042147;GO:0005737;GO:0010008;GO:0005096;GO:0030904;GO:0005829;GO:0090630	Ypt/Rab-GAP domain of gyp1p superfamily protein
As001G001860	292	AT4G29960.1	AT4G29960.1	orthologue	GO:0036503;GO:0005515;GO:0005783;GO:0005634;GO:0016020	Transmembrane protein
As001G001870	188	AT2G19180.1	AT2G19180.1	orthologue	GO:0003674;GO:0009507	Expressed protein
As001G001880	588	AT1G69190.1	AT1G69190.1	orthologue	GO:0046654;GO:0003848;GO:0004156;GO:0009507;GO:0005829;GO:0006979;GO:0005524;GO:0016301;GO:0046656;GO:0046872;GO:0009396;GO:0042558	Folate synthesis bifunctional protein [Includes: 6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (HPPK) (EC 2.7.6.3) (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (PPPK); Dihydropteroate synthase (DHPS) (EC 2.5.1.15)]
As001G001890	90	AT4G30010.1	AT4G30010.1	orthologue	GO:0005739;GO:0005886;GO:0003674;GO:0045259;GO:0004386	AT4g30010/F6G3_40 (ATP-dependent RNA helicase)
As001G001900	820	AT4G30020.1	AT4G30020.1	orthologue	GO:0016020;GO:0004252;GO:0005576;GO:0006508;GO:0008236	Subtilisin-like protease SBT2.6 (EC 3.4.21.-) (Subtilase subfamily 2 member 6) (AtSBT2.6)
As001G001910	428	AT4G30030.1	AT4G30030.1	orthologue	GO:0005576;GO:0004190;GO:0008150;GO:0006508	Aspartyl protease family protein
As001G001920	394	AT4G30060.1	AT4G30060.1	orthologue	GO:0016757;GO:0005739;GO:0016020	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (Glycosyltransferase)
As001G001960	77	AT4G30067.1, AT4G30064.1, AT2G29045.1	AT4G30064.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0031640;GO:0050832	Defensin-like protein 171 (Low-molecular-weight cysteine-rich protein 61) (Protein LCR61);Defensin-like protein 173 (Low-molecular-weight cysteine-rich protein 63) (Protein LCR63);Putative defensin-like protein 170 (Putative low-molecular-weight cysteine-rich protein 62) (Protein LCR62)
As001G001970	77	AT4G30067.1, AT4G30064.1, AT2G29045.1	AT4G30064.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0031640;GO:0050832	Defensin-like protein 171 (Low-molecular-weight cysteine-rich protein 61) (Protein LCR61);Defensin-like protein 173 (Low-molecular-weight cysteine-rich protein 63) (Protein LCR63);Putative defensin-like protein 170 (Putative low-molecular-weight cysteine-rich protein 62) (Protein LCR62)
As001G001980	77	AT4G30067.1, AT4G30064.1, AT2G29045.1	AT4G30064.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0031640;GO:0050832	Defensin-like protein 171 (Low-molecular-weight cysteine-rich protein 61) (Protein LCR61);Defensin-like protein 173 (Low-molecular-weight cysteine-rich protein 63) (Protein LCR63);Putative defensin-like protein 170 (Putative low-molecular-weight cysteine-rich protein 62) (Protein LCR62)
As001G001990	83	AT4G30067.1, AT4G30064.1, AT2G29045.1	AT2G29045.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0031640;GO:0050832	Defensin-like protein 171 (Low-molecular-weight cysteine-rich protein 61) (Protein LCR61);Defensin-like protein 173 (Low-molecular-weight cysteine-rich protein 63) (Protein LCR63);Putative defensin-like protein 170 (Putative low-molecular-weight cysteine-rich protein 62) (Protein LCR62)
As001G002000	78	AT4G30067.1, AT4G30064.1, AT2G29045.1	AT2G29045.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0031640;GO:0050832	Defensin-like protein 171 (Low-molecular-weight cysteine-rich protein 61) (Protein LCR61);Defensin-like protein 173 (Low-molecular-weight cysteine-rich protein 63) (Protein LCR63);Putative defensin-like protein 170 (Putative low-molecular-weight cysteine-rich protein 62) (Protein LCR62)
As001G002040	647	AT4G30080.1	AT4G30080.1	orthologue	GO:0006355;GO:0005515;GO:0048829;GO:0009733;GO:0005634;GO:0003700;GO:0035198;GO:0051301;GO:0007389;GO:0003677;GO:0009734;GO:0009725	Auxin response factor 16
As001G002050	378	AT4G30090.1	AT4G30090.1	orthologue	GO:0009793;GO:0003674;GO:0005783;GO:0016020	Golgin family A protein
As001G002060	1342	AT4G30100.1	AT4G30100.1	orthologue	GO:0004386;GO:0003723;GO:0005634;GO:0008150;GO:0009506;GO:0005524;GO:0005694;GO:0016787	P-loop containing nucleoside triphosphate hydrolases superfamily protein
As001G002070	129					
As001G002080	1136	AT4G30110.1	AT4G30110.1	orthologue	GO:0022857;GO:0016463;GO:0005886;GO:0006882;GO:0016020;GO:0008551;GO:0016887;GO:0055085;GO:0015434;GO:0005524;GO:0046872;GO:0005215;GO:0000166;GO:0006812;GO:0019829	Cadmium/zinc-transporting ATPase HMA2 (EC 7.2.2.12) (EC 7.2.2.21) (Cadmium/zinc-transporting ATPase 3) (Protein HEAVY METAL ATPASE 2)
As001G002090	751	AT4G30120.1	AT4G30120.1	orthologue	GO:0005524;GO:0015662;GO:0016887;GO:0005886;GO:0005774;GO:0071585;GO:0055085;GO:0016020;GO:0019829;GO:0046872;GO:0022857;GO:0005215;GO:0000166;GO:0006812	Heavy metal atpase 3;Putative inactive cadmium/zinc-transporting ATPase HMA3 (Putative inactive cadmium/zinc-transporting ATPase 4) (Putative inactive protein HEAVY METAL ATPASE 3)
As001G002100	634	AT4G30130.1	AT4G30130.1	other	GO:0005634;GO:0003674	DUF630 family protein (DUF630 and DUF632)
As001G002110	353	AT4G30140.1	AT4G30140.1	orthologue	GO:0005615;GO:0050525;GO:0090406;GO:0005886;GO:0005576;GO:0016042;GO:0016788	GDSL esterase/lipase At4g30140 (EC 3.1.1.-) (Extracellular lipase At4g30140)
As001G002120	1863	AT4G30150.1	AT4G30150.1	orthologue	GO:0005730;GO:0042254;GO:0003674	Urb2/Npa2 family protein
As001G002130	969	AT4G30160.2	AT4G30160.2	orthologue	GO:0005634;GO:0007015;GO:0003729;GO:0030042;GO:0048767;GO:0051014;GO:0099636;GO:0005622;GO:0051015;GO:0005829;GO:0005884;GO:0005886;GO:0051764;GO:0005737;GO:0005856;GO:0051693;GO:0003779;GO:0007010	Villin-4
As001G002140	307	AT5G57330.1	AT5G57330.1	orthologue	GO:0047938;GO:0005829;GO:0005737;GO:0005975;GO:0030246;GO:0016853;GO:0003824	glucose-6-phosphate 1-epimerase (EC 5.1.3.15)
