Brassica_rapa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
NP_001288894.1	321	AT1G05850.1	AT1G05850.1	orthologue	GO:0016998;GO:0005794;GO:0009735;GO:0009825;GO:0009414;GO:0010053;GO:0030244;GO:0010167;GO:0043255;GO:0010337;GO:0005576;GO:0001708;GO:0006032;GO:0009809;GO:0009408;GO:0030247;GO:0009651;GO:0048046;GO:0009873;GO:0004568;GO:0005975	Chitinase-like protein 1 (AtCTL1) (Protein ANION ALTERED ROOT MORPHOLOGY) (Protein ECTOPIC DEPOSITION OF LIGNIN IN PITH 1) (Protein ECTOPIC ROOT HAIR 2) (Protein POM-POM1) (Protein SENSITIVE TO HOT TEMPERATURES 2)
NP_001288895.1	389	AT1G59900.1	AT1G59900.1	orthologue	GO:0006086;GO:0009507;GO:0005739;GO:0043231;GO:0046686;GO:0005829;GO:0004739;GO:0005634;GO:0005759;GO:0046872;GO:0016624	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1);Pyruvate dehydrogenase E1 component subunit alpha-1, mitochondrial (PDHE1-A) (EC 1.2.4.1)
NP_001288896.1	167	AT1G05720.1	AT1G05720.1	orthologue	GO:0000137;GO:0008150;GO:0016491;GO:0005788;GO:0005576	Selenoprotein F
NP_001288898.1	410				GO:0004672;GO:0006468;GO:0005524	
NP_001288899.1	260	AT2G28950.1	AT2G28950.1	orthologue	GO:0009664;GO:0009826;GO:0005576;GO:0006949;GO:0003674;GO:0009828;GO:0009505;GO:0016020	Expansin-A6 (AtEXPA6) (Alpha-expansin-6) (At-EXP6) (AtEx6) (Ath-ExpAlpha-1.8)
NP_001288900.1	362	AT3G25110.1	AT3G25110.1	orthologue	GO:0009507;GO:0000036;GO:0016297;GO:0006633;GO:0016790	Oleoyl-acyl carrier protein thioesterase 1, chloroplastic (EC 3.1.2.14) (18:0-acyl-carrier protein thioesterase) (18:0-ACP thioesterase) (Acyl-[acyl-carrier-protein] hydrolase)
NP_001288901.1	379	AT1G77120.1	AT1G77120.1	orthologue	GO:0006970;GO:0001666;GO:1900039;GO:0009651;GO:0009413;GO:0071456;GO:0009409;GO:0042542;GO:0042803;GO:0005829;GO:0009744;GO:0046294;GO:0009414;GO:0009737;GO:0004022;GO:0045333;GO:0051903;GO:0008270;GO:0032355;GO:0031000;GO:0005737;GO:0005886;GO:0000166;GO:0120542;GO:0016491;GO:0004024	Alcohol dehydrogenase class-P (AtADH) (EC 1.1.1.1)
NP_001288903.1	576	AT5G61380.1	AT5G61380.1	orthologue	GO:0007623;GO:0003677;GO:0005634;GO:0010468;GO:0006355;GO:0005515;GO:0000156;GO:0010629;GO:0009736;GO:0006351;GO:0010031;GO:0003700;GO:0000160;GO:0009908	Two-component response regulator-like APRR1 (ABI3-interacting protein 1) (Pseudo-response regulator 1) (Timing of CAB expression 1)
NP_001288904.1	769	AT1G15690.1	AT1G15690.1	orthologue	GO:0000325;GO:0004427;GO:0009705;GO:0009414;GO:0005794;GO:0005985;GO:0052546;GO:0009507;GO:0005886;GO:0005773;GO:0010008;GO:0009941;GO:0009926;GO:0009678;GO:0005739;GO:2000904;GO:0005774;GO:0009651;GO:0048366;GO:1902600;GO:0010248;GO:0005576;GO:0003729;GO:0046872;GO:0012505;GO:0016020	H(+)-exporting diphosphatase (EC 7.1.3.1);Pyrophosphate-energized vacuolar membrane proton pump 1 (EC 7.1.3.1) (Pyrophosphate-energized inorganic pyrophosphatase 1) (H(+)-PPase 1) (Vacuolar proton pyrophosphatase 1) (Vacuolar proton pyrophosphatase 3)
NP_001288906.1	119	AT5G07560.1, AT5G07571.1	AT5G07560.1	orthologue	GO:0019915;GO:0005681;GO:0008289;GO:1990715;GO:0048024;GO:0019953;GO:0012511;GO:0005576;GO:0005739;GO:0003674;GO:0009791;GO:0016020;GO:0048608	Glycine-rich protein 20 (Glycine-rich protein GRP20) (Oleosin-like protein);Oleosin family protein
NP_001288907.1	253	AT2G03090.1	AT2G03090.1	orthologue	GO:0009664;GO:0009826;GO:0009828;GO:0006949;GO:0003674;GO:0005576;GO:0016020	Expansin-A15 (AtEXPA15) (Alpha-expansin-15) (At-EXP15) (AtEx15) (Ath-ExpAlpha-1.3)
NP_001288908.1	426	AT4G28720.1	AT4G28720.1	orthologue	GO:0009723;GO:0050660;GO:0004499;GO:0004497;GO:0005634;GO:0010262;GO:0009742;GO:0010600;GO:0009851;GO:0009735;GO:0103075;GO:0050661	Probable indole-3-pyruvate monooxygenase YUCCA8 (EC 1.14.13.168) (Flavin-containing monooxygenase YUCCA8)
NP_001288909.1	549	AT4G26440.1	AT4G26440.1	orthologue	GO:0005634;GO:0003700;GO:0006355;GO:0009846;GO:0005515;GO:0009409;GO:0009555;GO:0000976;GO:0046872;GO:0043565	Probable WRKY transcription factor 34 (WRKY DNA-binding protein 34)
NP_001288910.1	475	AT2G03340.1	AT2G03340.1	orthologue	GO:0003700;GO:0005634;GO:0006355;GO:0009651;GO:0000976;GO:0043565	Probable WRKY transcription factor 3 (WRKY DNA-binding protein 3)
NP_001288911.1	379	AT5G46350.1	AT5G46350.1	orthologue	GO:0003700;GO:0005634;GO:0006355;GO:0051607;GO:0070301;GO:1901002;GO:0042742;GO:0050832;GO:0009737;GO:0043565;GO:0005515	WRKY transcription factor 8 (WRKY DNA-binding protein 8)
NP_001288912.1	490	AT4G01720.1	AT4G01720.1	orthologue	GO:0003700;GO:0005515;GO:0006355;GO:0043565;GO:0005634	Probable WRKY transcription factor 47 (WRKY DNA-binding protein 47)
NP_001288913.1	444	AT1G51760.1	AT1G51760.1	orthologue	GO:0005783;GO:0010179;GO:0009850;GO:0009611;GO:0009507;GO:0005634;GO:0005788;GO:0046872;GO:0016787	IAA-amino acid hydrolase ILR1-like 4 (EC 3.5.1.-) (jasmonoyl-L-amino acid hydrolase) (EC 3.5.1.127)
NP_001288914.1	497	AT5G24470.1	AT5G24470.1	orthologue	GO:0051170;GO:0009640;GO:0006355;GO:0007623;GO:0009736;GO:0005634;GO:0005515;GO:0000156;GO:0045892;GO:0003677;GO:0005622;GO:0010114;GO:0010218;GO:0000160;GO:0048511	Two-component response regulator-like APRR5 (Pseudo-response regulator 5)
NP_001288915.1	154	AT3G55280.1	AT3G55280.1	orthologue	GO:0005737;GO:0005829;GO:0022625;GO:0019843;GO:0009409;GO:0009644;GO:0006979;GO:0003729;GO:0003735;GO:0022626;GO:0006412;GO:0005840;GO:1990904	Large ribosomal subunit protein uL23y (60S ribosomal protein L23a-2);Ribosomal protein L23AB
NP_001288916.1	319	AT2G23320.1	AT2G23320.1	orthologue	GO:0000976;GO:0003700;GO:0006355;GO:0005516;GO:0005634;GO:0043565	Probable WRKY transcription factor 15 (WRKY DNA-binding protein 15);WRKY DNA-binding protein 15
NP_001288917.1	444	AT2G44100.1	AT2G44100.1	orthologue	GO:0015031;GO:0048227;GO:0005737;GO:0016192;GO:0005829;GO:0005093;GO:0007264;GO:0005515;GO:0005096;GO:0005092	Guanosine nucleotide diphosphate dissociation inhibitor 1 (AtGDI1)
NP_001288918.1	236	AT5G19140.1	AT5G19140.1	orthologue	GO:0009507;GO:0009536;GO:0005737;GO:0005886;GO:0003674	Aluminum induced protein with YGL and LRDR motifs;Aluminum induced protein with YGL and LRDR motifs (Putative aluminium-induced protein)
NP_001288919.1	138	AT3G26740.1	AT3G26740.1	orthologue	GO:0009507;GO:0098807;GO:0005829;GO:0003674;GO:0007623;GO:0009570;GO:0009941	Light-regulated protein 1, chloroplastic (Protein CCR-LIKE, chloroplastic)
NP_001288920.1	315	AT2G38750.1	AT2G38750.1	orthologue	GO:0009651;GO:0009408;GO:0009414;GO:0005737;GO:0009737;GO:0006970;GO:0005509;GO:0005544;GO:0001786;GO:0003729;GO:0009409;GO:0009506;GO:0005886;GO:0009986;GO:0009507;GO:0005794	Annexin 4;Annexin D4 (AnnAt4)
NP_001288921.1	134	AT3G05020.1	AT3G05020.1	orthologue	GO:0009507;GO:0006633;GO:0000036;GO:0031177	Acyl carrier protein 1, chloroplastic (ACP-1)
NP_001288923.1	165	AT4G10920.1	AT4G10920.1	orthologue	GO:0060261;GO:0005634;GO:0046982;GO:0005515;GO:0005737;GO:0003713;GO:0003677;GO:0006355	RNA polymerase II transcriptional coactivator KELP
NP_001288924.1	290	AT1G80840.1, AT3G32090.1	AT1G80840.1	orthologue	GO:0006355;GO:0043565;GO:0005575;GO:0003700;GO:0045892;GO:0050691;GO:0005515;GO:0005634;GO:0050832;GO:0042742;GO:0031347;GO:0000976;GO:0009611;GO:0009751;GO:0002237	Probable WRKY transcription factor 40 (WRKY DNA-binding protein 40);WRKY family transcription factor
NP_001288925.1	114	AT1G53400.1	AT1G53400.1	orthologue	GO:0005737;GO:0003674;GO:0005575	F12M16.29 (Ubiquitin domain-containing protein)
NP_001288926.1	198	AT5G64810.1	AT5G64810.1	orthologue	GO:0050832;GO:0009867;GO:0005634;GO:0042742;GO:0006355;GO:0043565;GO:0005515;GO:0003700	Probable WRKY transcription factor 51 (WRKY DNA-binding protein 51)
NP_001288927.1	769	AT1G15690.1	AT1G15690.1	other	GO:0000325;GO:0004427;GO:0009705;GO:0009414;GO:0005794;GO:0005985;GO:0052546;GO:0009507;GO:0005886;GO:0005773;GO:0010008;GO:0009941;GO:0009926;GO:0009678;GO:0005739;GO:2000904;GO:0005774;GO:0009651;GO:0048366;GO:1902600;GO:0010248;GO:0005576;GO:0003729;GO:0046872;GO:0012505;GO:0016020	H(+)-exporting diphosphatase (EC 7.1.3.1);Pyrophosphate-energized vacuolar membrane proton pump 1 (EC 7.1.3.1) (Pyrophosphate-energized inorganic pyrophosphatase 1) (H(+)-PPase 1) (Vacuolar proton pyrophosphatase 1) (Vacuolar proton pyrophosphatase 3)
NP_001288928.1	220	AT5G65260.1	AT5G65260.1	orthologue	GO:0003729;GO:0016607;GO:0005515;GO:0005634;GO:0008143;GO:0005737;GO:0003723;GO:0003676	Polyadenylate-binding protein 2 (AtPabN2) (AtPabN3) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 2) (Poly(A)-binding protein II) (PABII)
NP_001288930.1	498	AT3G30775.1	AT3G30775.1	orthologue	GO:0004657;GO:0071949;GO:0005739;GO:0010133;GO:0071456;GO:0042742;GO:0006979;GO:0009414;GO:0006562	Proline dehydrogenase 1, mitochondrial (EC 1.5.5.2) (Osmotic stress-induced proline dehydrogenase) (Proline oxidase) (Protein EARLY RESPONSIVE TO DEHYDRATION 5)
NP_001288932.1	357	AT5G22300.1	AT5G22300.1	orthologue	GO:0005829;GO:0080061;GO:0047558;GO:0047427;GO:0018822;GO:0051410;GO:0000257;GO:0019499;GO:0005886;GO:0016836;GO:0003824	Bifunctional nitrilase/nitrile hydratase NIT4 (EC 3.5.5.1) (EC 3.5.5.4) (EC 4.2.1.65) (Cyanoalanine nitrilase) (Nitrilase 4);cyanoalanine nitrilase (EC 3.5.5.4)
NP_001288933.1	288	AT2G39010.1	AT2G39010.1	orthologue	GO:0015250;GO:0003729;GO:0015267;GO:0055085;GO:0006833;GO:0005794;GO:0005886;GO:0009624;GO:0016020	Plasma membrane intrinsic protein 2E;Probable aquaporin PIP2-6 (Plasma membrane intrinsic protein 2-6) (AtPIP2;6) (Plasma membrane intrinsic protein 2e) (PIP2e)
NP_001288934.1	574	AT1G11310.1	AT1G11310.1	orthologue	GO:0003674;GO:0005576;GO:0009620;GO:0005886;GO:0009506;GO:0031348;GO:0009507;GO:0005794;GO:0005516;GO:0050832;GO:0006952;GO:0016020	MLO-like protein;MLO-like protein 2 (AtMlo2)
NP_001288935.1	244	AT5G13450.1	AT5G13450.1	orthologue	GO:0005739;GO:0009507;GO:0042776;GO:0045261;GO:0015986;GO:0046933;GO:0009536;GO:0008270;GO:0045259;GO:0050897;GO:0005743;GO:0016020	AT5G13450 protein (Delta subunit of Mt ATP synthase);ATP synthase subunit O, mitochondrial (Oligomycin sensitivity conferral protein) (OSCP)
NP_001288936.1	308	AT4G23550.1	AT4G23550.1	orthologue	GO:0003700;GO:0005634;GO:0000976;GO:0006952;GO:0043565;GO:0006355	Probable WRKY transcription factor 29 (WRKY DNA-binding protein 29);WRKY family transcription factor
NP_001288937.1	148	AT4G09320.1	AT4G09320.1	other	GO:0009506;GO:0006241;GO:0006228;GO:0005515;GO:0004550;GO:0070301;GO:0006183;GO:0005886;GO:0000325;GO:0048046;GO:0005777;GO:0005737;GO:0005829;GO:0009507;GO:0005524;GO:0005634;GO:0046872	Nucleoside diphosphate kinase 1 (EC 2.7.4.6) (Nucleoside diphosphate kinase I) (NDK I) (NDP kinase I) (NDPK I)
NP_001288938.1	265	AT2G20750.1	AT2G20750.1	orthologue	GO:0009826;GO:0006949;GO:0009828;GO:0009507;GO:0019953;GO:0005576;GO:0003674;GO:0009653;GO:0016020;GO:0009506	Expansin B1;Expansin-B1 (At-EXPB1) (AtEXPB1) (Ath-ExpBeta-1.5) (Beta-expansin-1)
NP_001288939.1	231	AT3G04730.1	AT3G04730.1	orthologue	GO:0005515;GO:0009733;GO:0005634;GO:0006355;GO:0003700;GO:0042802;GO:0000976;GO:0009734	Auxin-responsive protein IAA16 (Indoleacetic acid-induced protein 16)
NP_001288940.1	258	AT1G66550.1, AT1G66560.1, AT1G66600.1, AT1G80590.1	AT1G66550.1	other	GO:0003700;GO:0006355;GO:0000976;GO:0005634;GO:0009738;GO:0005515;GO:0043565;GO:0009651;GO:0000411;GO:0009737	Probable WRKY transcription factor 63 (WRKY DNA-binding protein 63);Probable WRKY transcription factor 64 (WRKY DNA-binding protein 64);Probable WRKY transcription factor 66 (WRKY DNA-binding protein 66);Probable WRKY transcription factor 67 (WRKY DNA-binding protein 67);WRKY DNA-binding protein 67
NP_001288941.1	270	AT2G39060.1	AT2G39060.1	orthologue	GO:0051119;GO:0005515;GO:0032588;GO:0005576;GO:0012506;GO:0016020;GO:0008515;GO:0071836;GO:0008643;GO:0005886;GO:0030659	Bidirectional sugar transporter SWEET9 (AtSWEET9) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 9)
NP_001288942.1	260	AT3G55500.1	AT3G55500.1	orthologue	GO:0009664;GO:0009828;GO:0009826;GO:0006949;GO:0003674;GO:0005576;GO:0016020	Expansin-A16 (AtEXPA16) (Alpha-expansin-16) (At-EXP16) (AtEx16) (Ath-ExpAlpha-1.7)
NP_001288943.1	163	AT3G15680.1	AT3G15680.1	orthologue	GO:0003729;GO:0005634;GO:0005737;GO:0008270;GO:0016301	At3g15680 (Ran BP2/NZF zinc finger-like superfamily protein) (Zinc finger protein-like Ser/Thr protein kinase-like protein)
NP_001288944.1	321	AT1G75800.1	AT1G75800.1	orthologue	GO:0006952;GO:0005576;GO:0003674	At1g75800/T4O12_2 (Pathogenesis-related thaumatin superfamily protein) (T4O12.3)
NP_001288946.1	135	AT1G80500.1	AT1G80500.1	other	GO:0005737;GO:0006888;GO:0030008;GO:0003674;GO:0005634;GO:0005739	SNARE-like superfamily protein
NP_001288947.1	323	AT4G23810.1	AT4G23810.1	orthologue	GO:2000022;GO:0005515;GO:0045893;GO:0042742;GO:0010193;GO:0003700;GO:0009751;GO:0005634;GO:0000976;GO:0009617;GO:0043565;GO:0031347;GO:0003677;GO:0009507;GO:0000981;GO:0010150;GO:0042542;GO:0006355	Probable WRKY transcription factor 53 (WRKY DNA-binding protein 53)
NP_001288948.1	328	AT1G68150.1	AT1G68150.1	orthologue	GO:0043565;GO:0006355;GO:0000976;GO:0003700;GO:0005634	Probable WRKY transcription factor 9 (WRKY DNA-binding protein 9)
NP_001288949.1	382	AT1G62360.1	AT1G62360.1	orthologue	GO:0009691;GO:0005515;GO:0003700;GO:0010582;GO:0010497;GO:0005634;GO:0005737;GO:0015630;GO:0006357;GO:0009506;GO:0000978;GO:0019827;GO:0005768;GO:0000981;GO:0005886;GO:0048440;GO:0003723;GO:0009934;GO:0042803;GO:0003677;GO:0006355	Homeobox protein SHOOT MERISTEMLESS
NP_001288951.1	509	AT5G61380.1	AT5G61380.1	orthologue	GO:0007623;GO:0003677;GO:0005634;GO:0010468;GO:0006355;GO:0005515;GO:0000156;GO:0010629;GO:0009736;GO:0006351;GO:0010031;GO:0003700;GO:0000160;GO:0009908	Two-component response regulator-like APRR1 (ABI3-interacting protein 1) (Pseudo-response regulator 1) (Timing of CAB expression 1)
NP_001288952.1	257	AT4G38210.1	AT4G38210.1	orthologue	GO:0009828;GO:0009664;GO:0009826;GO:0003674;GO:0006949;GO:0005576;GO:0016020	Expansin-A20 (AtEXPA20) (Alpha-expansin-20) (At-EXP20) (AtEx20) (Ath-ExpAlpha-1.23)
NP_001288953.1	159	AT3G53990.1	AT3G53990.1	orthologue	GO:0005886;GO:0005829;GO:0061077;GO:0009506;GO:0034337;GO:0009409;GO:0006979;GO:0005737;GO:0005634;GO:0009408;GO:0003676;GO:0006457;GO:0016787;GO:0044183	AT3g53990 (AT3g53990/F5K20_290) (Adenine nucleotide alpha hydrolases-like superfamily protein);Adenine nucleotide alpha hydrolases-like superfamily protein
NP_001288954.1	502	AT3G24170.1	AT3G24170.1	orthologue	GO:0004791;GO:0009860;GO:0005737;GO:0005777;GO:0050660;GO:0005829;GO:0045454;GO:0006749;GO:0004362;GO:0050661;GO:0005739;GO:0034599;GO:0016668;GO:0016491	Glutathione reductase, cytosolic (GR) (GRase) (EC 1.8.1.7) (OBP29)
NP_001288955.1	550	AT1G62300.1	AT1G62300.1	orthologue	GO:0045892;GO:0003700;GO:0016036;GO:0005634;GO:0000976;GO:0080169;GO:0005515;GO:0009873;GO:0006355;GO:0043565	WRKY transcription factor 6 (WRKY DNA-binding protein 6) (AtWRKY6)
NP_001288956.1	261	AT5G02260.1	AT5G02260.1	orthologue	GO:0009664;GO:0009826;GO:0009828;GO:0005576;GO:0003674;GO:0009653;GO:0016020	Expansin-A9 (AtEXPA9) (Alpha-expansin-9) (At-EXP9) (AtEx9) (Ath-ExpAlpha-1.10)
NP_001288958.1	860	AT5G56270.1	AT5G56270.1	orthologue	GO:0030010;GO:0003700;GO:0009942;GO:0006355;GO:0009555;GO:0000976;GO:0005634;GO:0005515;GO:0046872;GO:0043565	Probable WRKY transcription factor 2 (WRKY DNA-binding protein 2)
NP_001288959.1	323	AT2G47260.1	AT2G47260.1	orthologue	GO:1990110;GO:0000976;GO:0005634;GO:0006355;GO:1901703;GO:0009624;GO:2000144;GO:0009733;GO:0003700;GO:0043565	WRKY transcription factor 23 (WRKY DNA-binding protein 23)
NP_001288960.1	608	AT5G14430.1	AT5G14430.1	orthologue	GO:0005768;GO:0005794;GO:0000137;GO:0005802;GO:0005737;GO:0009505;GO:0000325;GO:0000139;GO:0008168;GO:0032259	Methyltransferase (EC 2.1.1.-);Probable methyltransferase PMT9 (EC 2.1.1.-)
NP_001288961.1	258	AT2G39700.1	AT2G39700.1	orthologue	GO:0009828;GO:0006949;GO:0009826;GO:0009664;GO:0003674;GO:0009506;GO:0009505;GO:0005576;GO:0016020	Expansin-A4 (AtEXPA4) (Alpha-expansin-4) (At-EXP4) (AtEx4) (Ath-ExpAlpha-1.6)
NP_001288962.1	298	AT4G01250.1	AT4G01250.1	orthologue	GO:0006355;GO:0005634;GO:0003700;GO:0071456;GO:0000976;GO:0010150;GO:0006952;GO:0043565	WRKY transcription factor 22 (WRKY DNA-binding protein 22)
NP_001288963.1	233	AT5G01900.1	AT5G01900.1	orthologue	GO:0042742;GO:0006355;GO:0003700;GO:0009863;GO:0005515;GO:0043565;GO:0005634	Probable WRKY transcription factor 62 (WRKY DNA-binding protein 62)
NP_001288964.1	276	AT5G15090.1	AT5G15090.1	orthologue	GO:0005739;GO:0009617;GO:0009505;GO:0005741;GO:0009409;GO:0005515;GO:0009060;GO:0008308;GO:0009941;GO:0098656;GO:0009507;GO:0005773;GO:0005886;GO:0000325;GO:0005730;GO:0010029;GO:0009536;GO:0009626;GO:0015288;GO:0046930;GO:0055085	Mitochondrial outer membrane protein porin 3 (Protein HYPERSENSITIVE RESPONSE 2) (Athsr2) (Voltage-dependent anion-selective channel protein 3) (AtVDAC3) (VDAC-3)
NP_001288965.1	600	AT4G18810.2	AT4G18810.2	orthologue	GO:0009507;GO:0009570;GO:0010257;GO:0005829;GO:0005773;GO:0051082	At4g18810 (NAD(P)-binding Rossmann-fold superfamily protein);NAD(P)-binding Rossmann-fold superfamily protein
NP_001288966.1	197	AT2G15970.1	AT2G15970.1	orthologue	GO:0042631;GO:0009631;GO:0009737;GO:0005886;GO:0000325;GO:0005739;GO:0003674;GO:0016020	Cold regulated 413 plasma membrane 1;Cold-regulated 413 plasma membrane protein 1 (AtCOR413-PM1) (WCOR413-like protein)
NP_001288967.1	594	AT5G66020.1	AT5G66020.1	orthologue	GO:0016791;GO:0009651;GO:0046856;GO:0005739;GO:0005783;GO:0043812;GO:0005789	Phosphoinositide phosphatase SAC6 (AtSAC6) (EC 3.1.3.-) (Protein IMPAIRED IN BABA-INDUCED STERILITY 2) (Protein SUPPRESSOR OF ACTIN 1B) (AtSAC1b) (Protein SUPPRESSOR OF ACTIN 6) (SAC domain protein 6) (SAC1-like protein AtSAC1b)
NP_001288969.1	308	AT4G31800.1	AT4G31800.1	orthologue	GO:0050691;GO:0003700;GO:0050832;GO:0005634;GO:0009751;GO:0005515;GO:0005737;GO:0042802;GO:0042742;GO:0006355;GO:0031347;GO:0002237;GO:0043565	WRKY DNA-binding protein 18;WRKY transcription factor 18 (WRKY DNA-binding protein 18) (AtWRKY18)
NP_001288970.1	162	AT2G47710.1	AT2G47710.1	orthologue	GO:0005737;GO:0003674;GO:0005794;GO:0005886;GO:0005829;GO:0000325;GO:0016787	Adenine nucleotide alpha hydrolases-like superfamily protein (Expressed protein)
NP_001288971.1	537	AT1G19880.1	AT1G19880.1	orthologue	GO:0051987;GO:0072356;GO:0016020;GO:0031267;GO:0005634;GO:0034260	Regulator of chromosome condensation (RCC1) family protein
NP_001288972.1	519	AT4G04450.1	AT4G04450.1	orthologue	GO:0003700;GO:0000976;GO:0005634;GO:1900057;GO:0045892;GO:0006355;GO:0003677;GO:0043565;GO:0005515	WRKY family transcription factor;WRKY transcription factor 42 (WRKY DNA-binding protein 42)
NP_001288974.1	348	AT4G24240.1	AT4G24240.1	orthologue	GO:0005516;GO:0003700;GO:0005634;GO:0005515;GO:0006355;GO:0043565;GO:0000976	Probable WRKY transcription factor 7 (WRKY DNA-binding protein 7);WRKY DNA-binding protein 7
NP_001288975.1	1082	AT3G01085.3	AT3G01085.3	orthologue	GO:0008353;GO:0032968;GO:0016310;GO:0005634;GO:0006468;GO:0000307;GO:0005524;GO:0004674;GO:0003700;GO:0006355;GO:0043565;GO:0004672;GO:0070816	At3g01085 (Protein kinase superfamily protein);Protein kinase superfamily protein
NP_001288976.1	206	AT3G49010.1, AT3G48960.1	AT3G49010.1	orthologue	GO:0006412;GO:0022625;GO:0003735;GO:0003723;GO:0005737;GO:0009506;GO:0000325;GO:0005829;GO:0022626;GO:0009505;GO:0005730;GO:0003729;GO:0005840;GO:1990904	60S ribosomal protein L13;Breast basic conserved 1;Large ribosomal subunit protein eL13y (Putative 60S ribosomal protein L13-2);Large ribosomal subunit protein eL13z (60S ribosomal protein L13-1) (Protein BBC1 homolog)
NP_001288977.1	227	AT4G21280.2	AT4G21280.2	orthologue	GO:0009543;GO:0009535;GO:0009579;GO:0009570;GO:0031977;GO:0009507;GO:0045156;GO:0009534;GO:0019898;GO:0009767;GO:0009654;GO:0005509;GO:0003729;GO:0018119;GO:0005829;GO:0015979;GO:0009523	Oxygen-evolving enhancer protein 3-1, chloroplastic (OEE3) (16 kDa subunit of oxygen evolving system of photosystem II) (OEC 16 kDa subunit)
NP_001288978.1	235	AT4G11010.1, AT4G23900.1	AT4G11010.1	other	GO:0006183;GO:0006228;GO:0006241;GO:0005739;GO:0005743;GO:0004550;GO:0009507;GO:0008270;GO:0050897;GO:0005829;GO:0005524;GO:0005758;GO:0009543	Nucleoside diphosphate kinase III, chloroplastic/mitochondrial (NDK III) (NDP kinase III) (NDPK III) (EC 2.7.4.6);Nucleoside diphosphate kinase IV, chloroplastic/mitochondrial (NDK IV) (NDP kinase IV) (NDPK IV) (EC 2.7.4.6) (Nucleoside diphosphate kinase 4)
NP_001288979.1	168	AT5G03220.1	AT5G03220.1	orthologue	GO:0051510;GO:0005634;GO:0006357;GO:0005515;GO:0009704;GO:0016592;GO:0003712;GO:0070847	Mediator of RNA polymerase II transcription subunit 7a
NP_001288980.1	205	AT5G41350.2	AT5G41350.2	orthologue	GO:0004842;GO:0005634;GO:0005829;GO:0005739;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
NP_001288981.1	444	AT5G56660.1, AT5G56650.1	AT5G56660.1	orthologue	GO:0005794;GO:0009850;GO:0010179;GO:0009507;GO:0010178;GO:0016787;GO:0005783;GO:0005788;GO:0046872	IAA-amino acid hydrolase ILR1-like 1 (EC 3.5.1.-);IAA-amino acid hydrolase ILR1-like 2 (EC 3.5.1.-);IAA-leucine resistant (ILR)-like 1
NP_001288983.1	180	AT2G01540.1	AT2G01540.1	orthologue	GO:0005634;GO:0009789;GO:0005096;GO:0000325;GO:0005543;GO:0005886;GO:0005515;GO:0043547;GO:0009738;GO:0046872	Protein C2-DOMAIN ABA-RELATED 10
NP_001288984.1	332	AT4G31550.1	AT4G31550.1	orthologue	GO:2000022;GO:0000976;GO:0005634;GO:0003700;GO:0006355;GO:0009682;GO:0043565;GO:0042742;GO:0009617;GO:0005516	Probable WRKY transcription factor 11 (WRKY DNA-binding protein 11);WRKY DNA-binding protein 11
NP_001288985.1	555	AT4G34240.1	AT4G34240.1	orthologue	GO:0009941;GO:0005737;GO:0009414;GO:0009737;GO:0004028;GO:0005886;GO:0009507;GO:0004029;GO:0006081;GO:0009536;GO:0043878;GO:0016620;GO:0033721;GO:0016491	Aldehyde dehydrogenase;Aldehyde dehydrogenase 3I1;Aldehyde dehydrogenase family 3 member I1, chloroplastic (AtALDH3) (Ath-ALDH3) (EC 1.2.1.3)
NP_001288987.1	312	AT4G18170.1	AT4G18170.1	orthologue	GO:0042659;GO:0003700;GO:0006355;GO:1900057;GO:0043565;GO:0005634	WRKY transcription factor 28 (WRKY DNA-binding protein 28)
NP_001288988.1	441	AT3G48760.1	AT3G48760.1	orthologue	GO:0005794;GO:0019706;GO:0005783;GO:0006612;GO:0005634;GO:0005886;GO:0016409;GO:0018230	Probable protein S-acyltransferase 5 (EC 2.3.1.225) (Probable palmitoyltransferase At3g48760) (Zinc finger DHHC domain-containing protein At3g48760)
NP_001288989.1	313	AT5G24110.1	AT5G24110.1	orthologue	GO:0000976;GO:0003700;GO:0006355;GO:0005737;GO:0010150;GO:0005515;GO:0005634;GO:0009751;GO:0010193;GO:0042542;GO:0043565	Probable WRKY transcription factor 30 (WRKY DNA-binding protein 30)
