Brassica_oleracea	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_013583401.1	165	AT4G13263.1, AT4G13261.1, AT5G35405.1, AT2G04041.1, AT2G04031.1, AT2G04037.1, AT1G47470.1, AT1G47450.1, AT3G11990.1, AT1G45190.1	AT1G45190.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005576	Downregulated in DIF1 18 (F27F5.27);ECA1 gametogenesis family protein (DUF784);ECA1 gametogenesis family protein (DUF784) (Genomic DNA, chromosome 5, BAC clone:F6I13);Prolamin-like protein (DUF784)
XP_013583402.1	488				GO:0003677	
XP_013583403.1	291	ATMG00240.1	ATMG00240.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005739	Uncharacterized mitochondrial protein AtMg00240 (ORF111a)
XP_013583404.1	157	AT3G13662.1	AT3G13662.1	orthologue	GO:0003674;GO:0005576;GO:0009699;GO:0048046	Dirigent protein 8 (AtDIR8)
XP_013583405.1	441					
XP_013583406.1	109	AT3G11480.1	AT3G11480.1	other	GO:0008757;GO:0032259;GO:0009611;GO:0052624;GO:0051707;GO:0080150;GO:0005634;GO:0006952;GO:0046872;GO:0008168	Salicylate/benzoate carboxyl methyltransferase (Benzoate O-methyltransferase) (EC 2.1.1.273) (S-adenosyl-L-methionine:benzoic acid carboxyl methyltransferase) (S-adenosyl-L-methionine:salicylate acid carboxyl methyltransferase) (SABATH methyltransferase) (Salicylate carboxymethyltransferase) (EC 2.1.1.274)
XP_013583407.1	167					
XP_013583408.1	475				GO:0003676;GO:0008270	
XP_013583409.1	122	AT2G07200.1, AT2G07190.1	AT2G07190.1	other	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0008234;GO:0005739;GO:0006508;GO:0016020	Cysteine proteinases superfamily protein;Transmembrane protein, putative (DUF1985)
XP_013583410.1	279				GO:0005741;GO:0055085;GO:0008308;GO:0098656	
XP_013583411.1	222	AT4G24540.1	AT4G24540.1	orthologue	GO:0045893;GO:0046982;GO:0006357;GO:0005515;GO:0010076;GO:0000978;GO:0005634;GO:0000981;GO:0010077;GO:0003700;GO:0048510;GO:0010582;GO:0010220;GO:0009739;GO:0043565;GO:0045944;GO:0042803;GO:0000977;GO:0048438;GO:0005737;GO:0030154;GO:0003677;GO:0046983;GO:0006355	MADS-box protein AGL24 (Protein AGAMOUS-LIKE 24)
XP_013583412.1	147	AT1G15020.2	AT1G15020.2	orthologue	GO:0016972;GO:0005576;GO:0006457;GO:0000137;GO:0009505;GO:0043157;GO:0016971;GO:0000139;GO:0005615;GO:0003756;GO:0043268	Sulfhydryl oxidase 1 (EC 1.8.3.2) (Quiescin-sulfhydryl oxidase 1) (AtQSOX1)
XP_013583413.1	349	AT4G31660.1	AT4G31660.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0003677	B3 domain-containing protein REM7 (Auxin response factor 25) (Protein REPRODUCTIVE MERISTEM 7)
XP_013583415.1	596	AT1G52950.1	AT1G52950.1	other	GO:0051321;GO:0007004;GO:0009506;GO:0006281;GO:0000724;GO:0005634;GO:0043047;GO:0003684;GO:0006310;GO:0005662;GO:0006289;GO:0006260;GO:0008270	Nucleic acid-binding, OB-fold-like protein (Putative replication protein; 94555-97079)
XP_013583416.1	424	AT3G10750.1	AT3G10750.1	orthologue	GO:0003674;GO:0005634;;GO:0005515	FBD domain family (T7M13.17 protein)
XP_013583418.1	385	AT1G32430.1	AT1G32430.1	orthologue	GO:0005634;GO:0003674;GO:0008150;;GO:0005515	Putative F-box/kelch-repeat protein At1g32430
XP_013583419.1	521					
XP_013583420.1	670					
XP_013583421.1	197					
XP_013583422.1	390	AT4G04690.1	AT4G04690.1	other	GO:0006511;GO:0005575;GO:0003674;;GO:0005515	Putative F-box only protein 15
XP_013583423.1	457	AT3G10750.1	AT3G10750.1	orthologue	GO:0003674;GO:0005634;;GO:0005515	FBD domain family (T7M13.17 protein)
XP_013583424.1	540	AT3G24255.7	AT3G24255.7	other	GO:0008150;GO:0005576;GO:0005634;GO:0003674;GO:0003964	RNA-directed DNA polymerase (Reverse transcriptase)-related family protein
XP_013583425.1	126	AT2G07800.1	AT2G07800.1	other	GO:0005575;GO:0008150;GO:0003674;;GO:0008270	Transmembrane protein
XP_013583426.1	276	AT3G10870.1	AT3G10870.1	orthologue	GO:0080030;GO:0016788;GO:0080032;GO:0048367;GO:0005515;GO:0033473;GO:0009696;GO:0005575;GO:0080031;GO:0009694	Methylesterase 17 (AtMES17) (EC 3.1.1.-) (Methyl indole-3-acetic acid esterase)
XP_013583427.1	557	AT3G21210.1, AT1G34480.1	AT1G34480.1	other	GO:0005634;GO:0003674;GO:0008270;GO:0008150	Cysteine/Histidine-rich C1 domain family protein (F12K21.20);Putative CHP-rich zinc finger protein (Zinc ion binding protein)
XP_013583428.1	274	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_013583429.1	227	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT1G34480.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737;GO:0000723;GO:0003678;GO:0006281	PIF1 helicase
XP_013583430.1	492	AT1G80930.1	AT1G80930.1	other	GO:0000398;GO:0071013;GO:0003723;GO:0005634;GO:0006417;GO:0005515	At1g80930/F23A5_23 (F23A5.29 protein) (MIF4G domain-containing protein / MA3 domain-containing protein)
XP_013583431.1	306					
XP_013583432.1	233				GO:0003676;GO:0008270	
XP_013583433.1	610	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964	Non-LTR retroelement reverse transcriptase
XP_013583434.1	449	AT3G09120.1	AT3G09120.1	orthologue	GO:0003674;GO:0008150;GO:0005575	DUF674 family protein
XP_013583435.1	106	AT4G16450.1	AT4G16450.1	orthologue	GO:0031966;GO:0045271;GO:0005739;GO:0005829;GO:0009853;GO:0003674;GO:0005747	At4g16450 (NADH-ubiquinone oxidoreductase)
XP_013583436.1	489	AT3G09110.1	AT3G09110.1	orthologue	GO:0008150;GO:0003674;GO:0005575	DUF674 family protein
XP_013583437.1	311	AT3G14250.1	AT3G14250.1	other	GO:0061630;GO:0004842;GO:0006511;GO:0005737;GO:0000151;GO:0016567;GO:0031624;GO:0008270	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)
XP_013583438.1	161	AT3G08040.1	AT3G08040.1	other	GO:0016036;GO:0009737;GO:0042910;GO:0030001;GO:0015137;GO:0006879;GO:0015297;GO:0005886;GO:0046873;GO:0005381;GO:0060586;GO:0016020;GO:0055085	MATE efflux family protein;Protein DETOXIFICATION 43 (AtDTX43) (Multidrug and toxic compound extrusion protein 43) (MATE protein 43) (Protein FERRIC REDUCTASE DEFECTIVE 3) (AtFRD3) (Protein MANGANESE ACCUMULATOR 1)
XP_013583439.1	298	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_013583440.1	329	AT3G47680.1	AT3G47680.1	orthologue	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_013583441.1	470	AT3G07730.1, AT4G01170.1	AT3G07730.1	orthologue	GO:0005634;GO:0003674;GO:0008150	F17A17.7 protein (MLP3.18 protein);Uncharacterized protein;Uncharacterized protein AT4g01170
XP_013583442.1	341				GO:0003676;GO:0008270	
XP_013583443.1	281	AT5G15660.1	AT5G15660.1	other	GO:0052542;GO:0003674;GO:0005634;GO:0005515	Putative F-box protein At5g15660
XP_013583444.1	196	AT3G23290.2	AT3G23290.2	orthologue	GO:0009299;GO:0005634;GO:0005739;GO:0009416;GO:0090698;GO:0003674;GO:0003677	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 4 (Protein ORGAN BOUNDARY 4)
XP_013583445.1	139					
XP_013583446.1	314	AT3G07120.1	AT3G07120.1	orthologue	GO:0005634;GO:0003674;GO:0008270	At3g07120 (Putative RING zinc finger protein) (RING/U-box superfamily protein)
XP_013583447.1	201				GO:0004672;GO:0005524;GO:0006468;GO:0004674	
XP_013583448.1	410	AT5G28730.1, AT3G30525.1	AT5G28730.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0005575;GO:0004518;GO:0016787;GO:0046872	Nuclease
XP_013583449.1	195	AT2G07200.1	AT2G07200.1	orthologue	GO:0008234;GO:0005739;GO:0006508	Cysteine proteinases superfamily protein
XP_013583450.1	702	AT4G27290.2, AT1G65800.1, AT1G65790.1, AT4G21380.1	AT1G65800.1	other	GO:0004674;GO:0004675;GO:0005886;GO:0031625;GO:0007165;GO:0005773;GO:0009506;GO:0048544;GO:0009507;GO:0006955;GO:0005516;GO:0005576;GO:0005829;GO:0006468;GO:0004672;GO:0046777;GO:0007178;GO:0071215;GO:0016020;GO:0019199;GO:0005634;GO:0005524;GO:0009738;GO:0030246;GO:0106310	G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290 (EC 2.7.11.1);Receptor kinase 3;Receptor-like serine/threonine-protein kinase (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase SD1-6 (EC 2.7.11.1) (Arabidopsis thaliana receptor kinase 2) (S-domain-1 (SD1) receptor kinase 6) (SD1-6);Receptor-like serine/threonine-protein kinase SD1-7 (EC 2.7.11.1) (Arabidopsis thaliana receptor kinase 1) (S-domain-1 (SD1) receptor kinase 7) (SD1-7);Receptor-like serine/threonine-protein kinase SD1-8 (EC 2.7.11.1) (Arabidopsis thaliana receptor kinase 3) (S-domain-1 (SD1) receptor kinase 8) (SD1-8);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_013583451.1	768	AT3G06620.1	AT3G06620.1	other	GO:0004712;GO:0006355;GO:0005524;GO:0006468;GO:0005737;GO:0004674;GO:0007165;GO:0009881;GO:0016020;GO:0004672	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_013583452.1	254	AT3G04600.1	AT3G04600.1	other	GO:0006436;GO:0005737;GO:0004830;GO:0005829;GO:0005524;GO:0009791;GO:0016740;GO:0048608;GO:0000166;GO:0004812;GO:0006418	Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase);Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)
XP_013583453.1	173					
XP_013583454.1	593	AT1G26540.1, AT2G47230.2	AT2G47230.2	orthologue	GO:0005634;GO:0042393;GO:0042803;GO:0008150;GO:0000325	Agenet domain-containing protein;DUF724 domain-containing protein 3 (AtDUF3);DUF724 domain-containing protein 6 (AtDUF6)
XP_013583455.1	285					
XP_013583456.1	183	AT1G03720.1, AT5G17080.1, AT5G17140.1	AT5G17080.1	other	GO:0004197;GO:0005615;GO:0051603;GO:0005764;GO:0008234;GO:0006508;GO:0009507	Cathepsin-related (Cysteine proteinases superfamily protein);Cysteine proteinases superfamily protein;Cysteine proteinases superfamily protein (F21B7.32)
XP_013583457.1	161	AT4G23330.1	AT4G23330.1	orthologue	GO:0005634;GO:0003674;GO:0005829;GO:0008150	BLOC-1-related complex subunit 6 C-terminal helix domain-containing protein
XP_013583458.1	126	AT3G10525.1	AT3G10525.1	orthologue	GO:0005515;GO:0032877;GO:0042742;GO:0090393;GO:0005634;GO:0004860;GO:0032875	Cyclin-dependent protein kinase inhibitor SMR1 (Protein LOSS OF GIANT CELLS FROM ORGANS) (Protein SIAMESE-RELATED 1)
XP_013583459.1	432	AT3G05620.1	AT3G05620.1	other	GO:0046910;GO:0030599;GO:0045490;GO:0005575;GO:0042545;GO:0004857;GO:0005576	Putative pectinesterase/pectinesterase inhibitor 22 [Includes: Pectinesterase inhibitor 22 (Pectin methylesterase inhibitor 22); Pectinesterase 22 (PE 22) (EC 3.1.1.11) (Pectin methylesterase 22) (AtPME22)]
XP_013583460.1	616	AT3G05610.1	AT3G05610.1	orthologue	GO:0030599;GO:0046910;GO:0042545;GO:0004857;GO:0045490;GO:0005575;GO:0016020	Probable pectinesterase/pectinesterase inhibitor 21 [Includes: Pectinesterase inhibitor 21 (Pectin methylesterase inhibitor 21); Pectinesterase 21 (PE 21) (EC 3.1.1.11) (Pectin methylesterase 21) (AtPME21)]
XP_013583461.1	284	AT5G27830.4	AT5G27830.4	other	GO:0009751;GO:0008517;GO:0005634;GO:0005576;GO:0015884;GO:0006979;GO:0005542;GO:0016020	Folate receptor family protein;Folate-binding protein 1 (AtFBP1)
XP_013583462.1	118					
XP_013583463.1	267	AT3G04960.3	AT3G04960.3	orthologue	GO:0003674;GO:0005794;GO:0005634;GO:0005737	At3g04960 (Trichohyalin, putative (DUF3444));Trichohyalin, putative (DUF3444)
XP_013583464.1	181					
XP_013583465.1	419	AT4G28890.1	AT4G28890.1	orthologue	GO:0016567;GO:0004842;GO:0005634;GO:0008270;GO:0016020	E3 ubiquitin-protein ligase ATL42 (EC 2.3.2.27) (RING-H2 finger protein ATL42) (RING-type E3 ubiquitin transferase ATL42)
XP_013583466.1	443					
XP_013583467.1	295	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_013583468.1	288	AT2G02520.1, AT4G05095.1, AT3G25727.1	AT2G02520.1	other	GO:0005739;GO:0003674;GO:0008150;GO:0003964;GO:0016020	Non-LTR retrolelement reverse transcriptase;Putative non-LTR retroelement reverse transcriptase (RNA-directed DNA polymerase (Reverse transcriptase)-related family protein)
XP_013583470.1	132	AT2G36180.1, AT3G03400.1, AT3G03410.1, AT5G17470.1	AT3G03410.1	other	GO:0005509;GO:0008150;GO:0005575;GO:0005634	Probable calcium-binding protein CML31 (Calmodulin-like protein 31);Probable calcium-binding protein CML32 (Calmodulin-like protein 32);Probable calcium-binding protein CML33 (Calmodulin-like protein 33);Probable calcium-binding protein CML34 (Calmodulin-like protein 2) (Calmodulin-like protein 34)
XP_013583471.1	204	AT4G29090.1	AT4G29090.1	other	GO:0004523;GO:0003676;GO:0009507;GO:0008150;GO:0003964	Putative reverse transcriptase/RNA-dependent DNA polymerase (Ribonuclease H-like superfamily protein)
XP_013583472.1	206	AT2G34320.1, AT4G29090.1, AT5G38920.1, AT5G42965.1	AT4G29090.1	other	GO:0004523;GO:0003676;GO:0005739;GO:0008150;GO:0009507;GO:0005575;GO:0003964;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein (Putative non-LTR retroelement reverse transcriptase);Putative reverse transcriptase/RNA-dependent DNA polymerase (Ribonuclease H-like superfamily protein)
XP_013583473.1	169	AT3G03330.1	AT3G03330.1	orthologue	GO:0005886;GO:0005783;GO:0005576;GO:0016491;GO:0016020	AT3g03330/T21P5_25 (NAD(P)-binding Rossmann-fold superfamily protein)
XP_013583474.1	553	AT3G02810.1	AT3G02810.1	orthologue	GO:0003674;GO:0010183;GO:0005886;GO:0005634;GO:0090404;GO:0004674;GO:0005524;GO:0004672;GO:0006468	Receptor-like kinase LIP2 (EC 2.7.11.-) (Protein LOST IN POLLEN TUBE GUIDANCE 2) (AtLIP2)
XP_013583475.1	445	AT3G24200.2	AT3G24200.2	orthologue	GO:0005739;GO:0008681;GO:0016491;GO:0016120;GO:0006744;GO:0071949;GO:0016123;GO:0016709;GO:0016712;GO:0031314;GO:0106364;GO:0016705;GO:0050660	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.15.45) (2-methoxy-6-polyprenolphenol 4-hydroxylase) (EC 1.14.15.46)
XP_013583476.1	371	AT3G02410.1	AT3G02410.1	orthologue	GO:0010296;GO:0000139;GO:0005789;GO:0009737;GO:0005576;GO:0016787	Probable isoprenylcysteine alpha-carbonyl methylesterase ICMEL2 (EC 3.1.1.n2) (Isoprenylcysteine methylesterase-like protein 2);protein-S-isoprenylcysteine alpha-carbonyl methylesterase (EC 3.1.1.n2)
XP_013583477.1	505	AT3G02250.1	AT3G02250.1	orthologue	GO:0045489;GO:0005737;GO:0016757;GO:0000139;GO:0006004;GO:0071555	Rhamnogalacturonan I rhamnosyltransferase 1 (EC 2.4.1.351) (O-fucosyltransferase 21) (O-FucT-21) (O-fucosyltransferase family protein)
XP_013583478.1	470	AT3G19340.1	AT3G19340.1	orthologue	GO:0005886;GO:0003674;GO:0005783;GO:0005829;GO:0004177	Aminopeptidase (DUF3754)
XP_013583479.1	513	AT3G24255.7	AT3G24255.7	other	GO:0008150;GO:0005576;GO:0005634;GO:0003674;GO:0003964	RNA-directed DNA polymerase (Reverse transcriptase)-related family protein
XP_013583480.1	347					
XP_013583481.1	158				GO:0003676;GO:0004523	
XP_013583482.1	323					
XP_013583483.1	212	AT3G20600.1, AT3G20590.1	AT3G20600.1	orthologue	GO:0005886;GO:0042742;GO:0098542;GO:0009626;GO:0016020;GO:0005515;GO:0006952;GO:0009506;GO:0003674;GO:0050832;GO:0098552	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (Non-race specific disease resistance protein-like);Protein NDR1 (Non-race specific disease resistance protein 1) (AtNDR1)
XP_013583484.1	221				GO:0003676;GO:0004523	
XP_013583485.1	157	AT3G01513.1	AT3G01513.1	orthologue	GO:0003674;GO:0005575	Uncharacterized protein
XP_013583486.1	900	AT1G11350.1	AT1G11350.1	orthologue	GO:0004672;GO:0004674;GO:0005886;GO:0071446;GO:0007165;GO:0005576;GO:0042742;GO:0006955;GO:0046777;GO:0031625;GO:0005516;GO:0048544;GO:0005524;GO:0030246;GO:0106310;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase SD1-13 (EC 2.7.11.1) (Calmodulin-binding receptor-like protein kinase 1) (Receptor-like protein kinase 2) (S-domain-1 (SD1) receptor kinase 13) (SD1-13)
XP_013583488.1	842	AT1G11410.4	AT1G11410.4	orthologue	GO:0004674;GO:0005886;GO:0005576;GO:0005516;GO:0007165;GO:0048544;GO:0006955;GO:0005524;GO:0030246;GO:0031625;GO:0106310;GO:0004672;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11410 (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
XP_013583489.1	840	AT1G11330.2	AT1G11330.2	other	GO:0004674;GO:0006468;GO:0007165;GO:0004672;GO:0005886;GO:0005516;GO:0005576;GO:0006955;GO:0048544;GO:0002229;GO:0005524;GO:0030246;GO:0106310	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330 (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
XP_013583490.1	839	AT1G11330.2	AT1G11330.2	other	GO:0004674;GO:0006468;GO:0007165;GO:0004672;GO:0005886;GO:0005516;GO:0005576;GO:0006955;GO:0048544;GO:0002229;GO:0005524;GO:0030246;GO:0106310	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330 (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
XP_013583492.1	829	AT1G11340.1	AT1G11340.1	orthologue	GO:0004674;GO:0006955;GO:0005576;GO:0007165;GO:0005886;GO:0048544;GO:0005516;GO:0002229;GO:0005524;GO:0030246;GO:0031625;GO:0106310;GO:0006468;GO:0004672	G-type lectin S-receptor-like serine/threonine-protein kinase RKS1 (EC 2.7.11.1) (Receptor-like protein kinase 1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
XP_013583493.1	826	AT1G11340.1	AT1G11340.1	other	GO:0004674;GO:0006955;GO:0005576;GO:0007165;GO:0005886;GO:0048544;GO:0005516;GO:0002229;GO:0005524;GO:0030246;GO:0031625;GO:0106310;GO:0004672;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase RKS1 (EC 2.7.11.1) (Receptor-like protein kinase 1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
XP_013583494.1	469	AT4G37770.1	AT4G37770.1	orthologue	GO:0042218;GO:0006520;GO:0009693;GO:0016847;GO:0042802;GO:0005515;GO:0030170;GO:0005737;GO:0008483;GO:0009835;GO:0003824;GO:0009058	1-aminocyclopropane-1-carboxylate synthase 8 (ACC synthase 8) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 8)
XP_013583495.1	787	AT1G80740.1	AT1G80740.1	other	GO:0003886;GO:0044027;GO:0009294;GO:0003677;GO:0005634;GO:0003682;GO:0006325;GO:0032259;GO:0008168;GO:0010424	Putative DNA (cytosine-5)-methyltransferase CMT1 (EC 2.1.1.37) (Chromomethylase 1) (Protein CHROMOMETHYLASE 1)
XP_013583496.1	761	AT1G11130.1	AT1G11130.1	orthologue	GO:0005515;GO:0010071;GO:0005524;GO:0005886;GO:0000902;GO:0010063;GO:0048437;GO:0010497;GO:0048367;GO:0004672;GO:0048481;GO:0010305;GO:0007165;GO:0048366;GO:0009506;GO:0010059;GO:0042127;GO:0042802;GO:0048729;GO:0016020;GO:0006468	Leucine-rich repeat protein kinase family protein;Protein STRUBBELIG (Leucine-rich repeat receptor kinase-like protein SUB) (Protein SCRAMBLED)
XP_013583498.1	608	AT1G11390.1	AT1G11390.1	orthologue	GO:0016301;GO:0005739;GO:1902074;GO:0016020	Protein kinase superfamily protein
XP_013583499.1	572	AT1G11310.1	AT1G11310.1	orthologue	GO:0003674;GO:0005576;GO:0009620;GO:0005886;GO:0009506;GO:0031348;GO:0009507;GO:0005794;GO:0005516;GO:0050832;GO:0006952;GO:0016020	MLO-like protein;MLO-like protein 2 (AtMlo2)
XP_013583500.1	522	AT1G11260.1	AT1G11260.1	orthologue	GO:0005886;GO:0005576;GO:0000325;GO:0015145;GO:0005737;GO:0015749;GO:0009506;GO:0015144;GO:0015293;GO:0016020;GO:0022857;GO:0055085	Sugar transport protein 1 (Glucose transporter) (Hexose transporter 1)
XP_013583501.1	433	AT1G11170.1	AT1G11170.1	orthologue	GO:0009507;GO:0005739;GO:0016757	At1g11170/T28P6_16 (Lysine ketoglutarate reductase trans-splicing-like protein);Lysine ketoglutarate reductase trans-splicing-like protein (DUF707)
XP_013583502.1	498	AT3G10630.1	AT3G10630.1	orthologue	GO:0016757;GO:0005575;GO:0008150;GO:0016020	Mannosyltransferase, putative (UDP-Glycosyltransferase superfamily protein)
XP_013583508.1	92	AT3G12290.1	AT3G12290.1	other	GO:0035999;GO:0009507;GO:0046653;GO:0004477;GO:0005737;GO:0004488;GO:0005829;GO:0009853	Bifunctional protein FolD 2 (Tetrahydrofolate dehydrogenase/cyclohydrolase 2) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
XP_013583509.1	428	AT1G11320.1	AT1G11320.1	orthologue	GO:0009536;GO:0003674	GDSL esterase/lipase (T28P6.3 protein)
XP_013583511.1	298	AT1G11250.1	AT1G11250.1	orthologue	GO:0016192;GO:0006887;GO:0000149;GO:0006886;GO:0005484;GO:0031201;GO:0048278;GO:0006906;GO:0012505;GO:0061025;GO:0005634;GO:0005886;GO:0016020	Syntaxin-125 (AtSYP125)
XP_013583512.1	297	AT1G11210.1	AT1G11210.1	orthologue	GO:0003674;GO:0005575;GO:0006979;GO:0016020	At1g11210 (Cotton fiber protein, putative (DUF761)) (T28P6.13 protein)
XP_013583513.1	291	AT1G11180.2	AT1G11180.2	orthologue	GO:0055038;GO:0015031;GO:0032588;GO:0005886;GO:0003674;GO:0030658;GO:0016020	Secretory carrier-associated membrane protein (Secretory carrier membrane protein);Secretory carrier-associated membrane protein 5 (Secretory carrier membrane protein 5)
XP_013583514.1	247	AT1G11380.1	AT1G11380.1	orthologue	GO:0003674;GO:0005737;GO:0016020	At1g11380 (PLAC8 family protein)
XP_013583515.1	225	AT1G11400.1	AT1G11400.1	orthologue	GO:1903259;GO:0005634;GO:0005515;GO:0005654;GO:0005737;GO:0010628;GO:0003723;GO:0035145;GO:0005730;GO:0000184;GO:0006417;GO:0051028	Partner of Y14 and mago (AtPYM)
XP_013583516.1	199	AT1G11240.1	AT1G11240.1	orthologue	GO:0005730;GO:0005634;GO:0019843	Ribosomal RNA-processing protein
XP_013583517.1	147	AT1G61340.1	AT1G61340.1	other	GO:0009651;GO:0005739;GO:0009751;GO:0009753;GO:0071456;GO:0009737;GO:0009617;GO:0006970;GO:0009961;GO:0005515;GO:0009611	F-box protein At1g61340
XP_013583518.1	142	AT1G12080.2	AT1G12080.2	orthologue	GO:1902074;GO:0010555;GO:0043617;GO:0002237;GO:0071370;GO:0051592;GO:0009409;GO:0072708;GO:0010038;GO:0009646;GO:0009749;GO:0005829;GO:0005576;GO:0003674;GO:0009738	Cytosolic calcium-binding protein 2 (Cytosolic Ca(2+)-binding protein 2)
XP_013583519.1	75	AT3G12300.1	AT3G12300.1	other	GO:0009507;GO:0003674	AT3g12300/F28J15_117 (Cilia/flagella-associated protein)
